zipcode,DealerName,Address,Link,city,state,county_name,Latitude,Longitude,IV_link
1020,Curry Nissan Chicopee,"765 MEMORIAL DRIVE, CHICOPEE, MA 01020",http://www.currynissanma.com,Chicopee,MA,Hampden County,NA,NA,http://www.currynissanma.com/new-inventory/index.htm
1035,Country Nissan,"40 RUSSELL ST, HADLEY, MA 01035",http://www.countrynissan.com/,Hadley,MA,Hampshire County,NA,NA,http://www.countrynissan.com/new-inventory/
1089,Jerry Rome Nissan,"500 RIVERDALE ST, WEST SPRINGFIELD, MA 01089",http://www.jerryromenissan.com/,West Springfield,MA,Hampden County,NA,NA,http://www.jerryromenissan.com/new-inventory/index.htm
1201,Haddad Nissan,"25 W HOUSATONIC STREET, PITTSFIELD, MA 01201",http://www.haddadnissan.com/,Pittsfield,MA,Berkshire County,NA,NA,http://www.haddadnissan.com/inventory/newsearch/New/
1501,Bertera Nissan,"569 OXFORD ST S, AUBURN, MA 01501",http://www.berteranissan.com/,Auburn,MA,Worcester County,NA,NA,http://www.berteranissan.com/new-inventory/index.htm
1523,Ron Bouchard's Nissan,"490 OLD UNION TURNPIKE, LANCASTER, MA 01523",http://www.ronbouchardsnissan.com/,Lancaster,MA,Worcester County,NA,NA,http://www.ronbouchardsnissan.com/new-inventory/index.htm
1581,Glick Nissan,"273 TURNPIKE RD, WESTBOROUGH, MA 01581",http://www.glicknissan.com/,Westborough,MA,Worcester County,NA,NA,http://www.glicknissan.com/new-inventory/index.htm
1752,Marlboro Nissan,"740 BOSTON POST ROAD, MARLBOROUGH, MA 01752",http://www.marlboronissan.com,Marlborough,MA,Middlesex County,NA,NA,http://www.marlboronissan.com/new-inventory/
1757,Milford Nissan,"320 EAST MAIN STREET, MILFORD, MA 01757",http://www.milfordnissan.com,Milford,MA,Worcester County,NA,NA,http://www.milfordnissan.com/new-inventory/
1841,Commonwealth Nissan,"ONE COMMONWEALTH DRIVE, LAWRENCE, MA 01841",http://commonwealthnissan.com,Lawrence,MA,Essex County,NA,NA,http://www.commonwealthnissan.com/new-inventory/index.htm
1876,Autofair Nissan Of Tewksbury,"623 MAIN STREET, TEWKSBURY, MA 01876",http://www.autofairnissanma.com,Tewksbury,MA,Middlesex County,NA,NA,http://www.autofairnissanma.com/new-cars-tewksbury-ma
1915,Roland D Kelly Nissan,"420 CABOT ST., ROUTE 1A, BEVERLY, MA 01915",http://www.kellynissanofbeverly.com,Beverly,MA,Essex County,NA,NA,http://www.kellynissanofbeverly.com/new-inventory/index.htm
1940,Kelly Nissan Of Lynnfield,"271-275 BROADWAY, LYNNFIELD, MA 01940",http://lynnfield.kellyauto.com/,Lynnfield,MA,Essex County,NA,NA,http://lynnfield.kellyauto.com/new-inventory/index.htm
2061,Coastal Nissan,"109 ACCORD PARK DR, NORWELL, MA 02061",http://www.coastalnissan.com/,Norwell,MA,Plymouth County,NA,NA,http://www.coastalnissan.com/commercial-new-inventory/index.htm
2062,Clay Nissan,"525 BOSTON PROVIDENCE TP, NORWOOD, MA 02062",http://www.claynissannorwood.com,Norwood,MA,Norfolk County,NA,NA,http://claynissannorwood.com/New_Inventory
2155,Colonial Nissan/Medford,"100-104 MYSTIC AVE, MEDFORD, MA 02155",http://www.buycolonialnissan.com/,Medford,MA,Middlesex County,NA,NA,http://buycolonialnissan.com/New_Inventory
2169,Quirk Nissan,"600 SOUTHERN ARTERY, QUINCY, MA 02169",http://www.quirknissan.com/,Quincy,MA,Norfolk County,NA,NA,http://www.quirknissan.com/new-inventory/index.htm
2180,Kelly Nissan Of Woburn,"95 CEDAR STREET, STONEHAM, MA 02180",http://www.nissanofwoburn.com,Stoneham,MA,Middlesex County,NA,NA,http://www.nissanofwoburn.com/new-inventory/index.htm
2301,Nissan 24,"1016 BELMONT ST, BROCKTON, MA 02301",http://www.nissan24auto.com,Brockton,MA,Plymouth County,NA,NA,http://www.nissan24auto.com/type/new-inventory
2364,Sullivan Bros Nissan L/M,"1 CRANBERRY RD, KINGSTON, MA 02364",http://www.sullivanbrothersnissan.com,Kingston,MA,Plymouth County,NA,NA,http://sullivanbrothersnissan.com/inventory/view/New/
2458,Clay Nissan Of Newton,"431 WASHINGTON ST, NEWTON, MA 02458",http://www.claynissannewton.com,Newton,MA,Middlesex County,NA,NA,http://claynissannewton.com/New_Inventory
2532,Nissan Of Bourne,"60 MACARTHUR BLVD, BOURNE, MA 02532",http://www.nissanofbourne.com/,Buzzards Bay,MA,Barnstable County,NA,NA,http://www.nissanofbourne.com/new-inventory/index.htm
2601,Balise Nissan Of Cape Cod,"322 FALMOUTH ROAD, HYANNIS, MA 02601",http://www.balisenissancapecod.com/,Hyannis,MA,Barnstable County,NA,NA,http://www.balisenissancapecod.com/new-inventory/
2747,Tasca Nissan Of Dartmouth,"483 STATE ROAD, NORTH DARTMOUTH, MA 02747",http://www.tascanissanma.com,North Dartmouth,MA,Bristol County,NA,NA,http://www.tascanissanma.com/inventory/view/New/
2761,Nissan Village Of North Attleboro,"685 S WASHINGTON STREET, NORTH ATTLEBORO, MA 02761",http://nissanvillage.com/,North Attleboro,MA,Bristol County,NA,NA,http://www.nissanvillage.com/searchnew.aspx
2767,Mastria Nissan,"1305 NEW STATE HWY, RAYNHAM, MA 02767",http://www.mastrianissan.com/,Raynham,MA,Bristol County,NA,NA,http://www.mastrianissan.com/new-inventory/index.htm
2842,Premier Nissan Of Newport,"295 EAST MAIN RD., MIDDLETOWN, RI 02842",http://premiernissanofnewport.com,Middletown,RI,Newport County,NA,NA,http://www.premiernissanofnewport.com/new-inventory/
2888,Balise Nissan,"1350 POST RD, WARWICK, RI 02888",http://www.balisenissanri.com/,Warwick,RI,Kent County,NA,NA,http://www.balisenissanri.com/new-inventory/
2893,Nissan West Warwick,"885 QUAKER LN, WEST WARWICK, RI 02893",http://www.inskipnissan.com/,West Warwick,RI,Kent County,NA,NA,http://www.inskipnissan.com/new-cars.aspx
2896,Anchor Nissan,"1041 EDDIE DOWLING HWY, NORTH SMITHFIELD, RI 02896",http://WWW.ANCHOR-NISSAN.COM,North Smithfield,RI,Providence County,NA,NA,http://www.anchor-nissan.com/new-inventory/index.htm
2914,Tasca Nissan,"845 TAUNTON AVENUE, EAST PROVIDENCE, RI 02914",http://www.tascanissan.com,East Providence,RI,Providence County,NA,NA,http://www.tascanissan.com/inventory/view/New/
3063,Peter's Nissan Of Nashua,"280 AMHERST ST, NASHUA, NH 03063",http://www.petersnissan.com/index.cfm?,Nashua,NH,Hillsborough County,NA,NA,http://www.petersnissan.com/new-inventory/
3079,Salem Nissan,"343 MAIN STREET, SALEM, NH 03079",http://www.nissanofsalem.com,Salem,NH,Rockingham County,NA,NA,http://www.nissanofsalem.com/new-inventory/index.htm
3103,Team Nissan,"70 KELLER ST, MANCHESTER, NH 03103",http://www.teamnissannh.com/,Manchester,NH,Hillsborough County,NA,NA,http://www.teamnissannh.com/new-inventory/index.htm
3276,Autoserv Nissan Of Tilton,"40 EAST MAIN ST, TILTON, NH 03276",http://www.autoservnissan.com,Tilton,NH,Belknap County,NA,NA,http://www.autoservnissan.com/new-inventory/index.htm
3301,Concord Nissan,"175 MANCHESTER ST, CONCORD, NH 03301",http://www.concordnissan.com/,Concord,NH,Merrimack County,NA,NA,http://www.concordnissan.com/new-inventory/index.htm
3446,Nissan Of Keene,"544 MONADNOCK HWY, SWANZEY, NH 03446",http://www.nissanofkeene.com/,Swanzey,NH,Cheshire County,NA,NA,http://www.nissanofkeene.com/new-inventory/index.htm
3581,Berlin City Nissan,"485 MAIN ST, GORHAM, NH 03581",http://WWW.BERLINCITYNISSANNH.COM,Gorham,NH,Coos County,NA,NA,http://www.berlincitynissannh.com/searchnew.aspx
3766,Team Nissan North,"51 EVANS DRIVE, LEBANON, NH 03766",http://www.TeamNissanNorth.com,Lebanon,NH,Grafton County,NA,NA,http://www.teamnissannorth.com/new-inventory/index.htm
3801,Port City Nissan,"120 SPAULDING TURNPIKE, PORTSMOUTH, NH 03801",http://portcitynissan.com/,Portsmouth,NH,Rockingham County,NA,NA,http://www.portcitynissan.com/new-inventory/index.htm
