zipcode,DealerName,Address,Link,city,state,county_name,Latitude,IV_link,Longitude
1060,Lia Toyota of Northampton,"280 King Street, Northampton, Massachusetts 01060",http://www.liatoyotaofnorthampton.com,Northampton,MA,Hampshire County,NA,http://www.liatoyotaofnorthampton.com/new-inventory/index.htm,NA
1089,Balise Toyota,"1399 Riverdale Street, West Springfield, Massachusetts 01089",http://www.balisetoyota.com,West Springfield,MA,Hampden County,NA,http://www.balisetoyota.com/web/inventory/new,NA
1095,Lia Toyota,"2145 Boston Road, Wilbraham, Massachusetts 01095",http://www.liatoyotaofwilbraham.com,Wilbraham,MA,Hampden County,NA,NA,NA
1201,Haddad Toyota,"130 Pittsfield-Lenox Rd., Pittsfield, Massachusetts 01201",http://www.haddadtoyota.com,Pittsfield,MA,Berkshire County,NA,http://haddadtoyota.com/NewToyotaCars,NA
1247,K-M Toyota,"51 West Main Street, North Adams, Massachusetts 01247",http://www.kmmotors.com,North Adams,MA,Berkshire County,NA,http://www.kmmotors.com/VehicleSearchResults?search=new,NA
1301,Toyota of Greenfield,"One Main Street, Greenfield, Massachusetts 01301",http://www.toyotaofgreenfield.com,Greenfield,MA,Franklin County,NA,http://www.toyotaofgreenfield.com/new-inventory/?,NA
1460,Acton Toyota of Littleton,"221 Great Road, Littleton, Massachusetts 01460",http://www.actontoyota.com,Littleton,MA,Middlesex County,NA,http://www.actontoyota.com/new-inventory/index.htm,NA
1501,Herb Chambers Toyota of Auburn,"809 Washington Street, Auburn, Massachusetts 01501",http://www.Herbchamberstoyotaofauburn.com,Auburn,MA,Worcester County,NA,http://www.herbchamberstoyotaofauburn.com/new-inventory/index.htm,NA
1523,Prime Toyota Route 2,"700 Old Union Turnpike, Lancaster, Massachusetts 01523",http://www.primetoyotart2.com,Lancaster,MA,Worcester County,NA,http://www.primetoyotart2.com/inventory/new-vehicles,NA
1571,Tri-State Toyota,"191 W. Main Street, Dudley, Massachusetts 01571",http://www.tristatetoyota.com,Dudley,MA,Worcester County,NA,http://www.tristatetoyota.com/new-inventory/?,NA
1581,"Westboro Toyota, Inc.","271 Turnpike Road, Westborough, Massachusetts 01581",http://www.westborotoyota.com,Westborough,MA,Worcester County,NA,http://westborotoyota.com/inventory/condition=new/,NA
1606,Harr Toyota,"100 Gold Star Boulevard, Worcester, Massachusetts 01606",http://www.harrtoyota.com,Worcester,MA,Worcester County,NA,http://www.harrtoyota.com/search/new/tp/,NA
1702,Bernardi Toyota,"1626 Worcester Road, Framingham, Massachusetts 01702",http://www.bernarditoyota.com,Framingham,MA,Middlesex County,NA,http://www.bernarditoyota.com/new-inventory/,NA
1757,Ira Toyota III,"300 Fortune Blvd., Milford, Massachusetts 01757",http://www.toyotaofmilford.com,Milford,MA,Worcester County,NA,http://www.toyotaofmilford.com/new-inventory/index.htm,NA
1801,Woburn Toyota,"394 Washington Street, Woburn, Massachusetts 01801",http://www.woburntoyota.com,Woburn,MA,Middlesex County,NA,NA,NA
1832,Jaffarian Volvo Toyota,"600 River St, Haverhill, Massachusetts 01832",http://www.jaffarian-toyota.com,Haverhill,MA,Essex County,NA,http://www.jaffarian-toyota.com/new-inventory/index.htm,NA
1876,Ira Toyota II,"468 Main Street, Tewksbury, Massachusetts 01876",http://www.toyotaoftewksbury.com,Tewksbury,MA,Middlesex County,NA,http://www.toyotaoftewksbury.com/new-inventory/index.htm,NA
1905,"Atlantic Toyota, Inc.","671 Lynnway, Lynn, Massachusetts 01905",http://www.atlantictoyota.com,Lynn,MA,Essex County,NA,http://www.atlantictoyota.com/inventory/new-vehicles,NA
1923,Ira Toyota,"99B Andover Street, Danvers, Massachusetts 01923",http://www.toyotaofdanvers.com,Danvers,MA,Essex County,NA,http://www.toyotaofdanvers.com/new-inventory/index.htm,NA
2062,Boch Toyota,"277 Providence Highway, Norwood, Massachusetts 02062",http://www.bochtoyota.com,Norwood,MA,Norfolk County,NA,http://www.bochtoyota.com/new-inventory/index.htm,NA
2122,Expressway Toyota,"700 Morrissey Blvd., Dorchester, Massachusetts 02122",http://www.expresswaytoyota.com,Boston,MA,Suffolk County,NA,http://www.expresswaytoyota.com/new-inventory/index.htm,NA
2132,Prime Toyota - Boston,"1605 VFW Parkway, Boston, Massachusetts 02132",http://www.primetoyotacars.com,West Roxbury,MA,Suffolk County,NA,http://www.primetoyotacars.com/inventory/new-vehicles,NA
2134,Herb Chambers Toyota of Boston,"32 Brighton Avenue, Boston, Massachusetts 02134",http://www.herbchamberstoyotaofboston.com,Allston,MA,Suffolk County,NA,http://www.herbchamberstoyotaofboston.com/new-inventory/index.htm,NA
