Name,Adress,Zipcode,City,GeoLatitude,GeoLongtitude,Website
Balise Chevrolet Buick GMC,"440 Hall of Fame Avenue, Springfield, MA 01105, United States",1001,Agawam,42.087323,-72.58161,http://www.balisechevybuickgmc.com/
Central Chevrolet,"675 Memorial Avenue, West Springfield, MA 01089, United States",1001,Agawam,42.095763,-72.608322,http://www.centralchevyauto.com/
Bertera Dodge Chrysler Jeep,"01085, 167 Springfield Road, Westfield, MA 01085, United States",1001,Agawam,42.107575,-72.705203,http://www.berteradodge.com/
Bertera Collision Repair Center,"160 Westfield Street, West Springfield, MA 01089, United States",1001,Agawam,42.106998,-72.626752,http://www.berterachryslerjeep.com/west-springfield-collision-repair-by-bertera.htm
Classic Chevrolet,"40 Dickinson Street, Amherst, MA 01002, United States",1002,Amherst,42.374168,-72.512918,http://www.classicchevyauto.com/
Classic Chevrolet,"40 Dickinson Street, Amherst, MA 01002, United States",1003,Amherst,42.374168,-72.512918,http://www.classicchevyauto.com+G7
Classic Chevrolet,"40 Dickinson Street, Amherst, MA 01002, United States",1004,Amherst,42.374168,-72.512918,http://www.classicchevyauto.com/
Bertera Chevrolet Inc,"1187 Thorndike Street, Palmer, MA 01069, United States",1009,Bondsville,42.172781,-72.323086,http://berterachevy.com/
Bertera Chevrolet Inc,"1187 Thorndike Street, Palmer, MA 01069, United States",1010,Brimfield,42.172781,-72.323086,http://berterachevy.com/
Balise Chevrolet Buick GMC,"440 Hall of Fame Avenue, Springfield, MA 01105, United States",1013,Chicopee,42.087323,-72.58161,http://www.balisechevybuickgmc.com/
Central Chevrolet,"675 Memorial Avenue, West Springfield, MA 01089, United States",1013,Chicopee,42.095763,-72.608322,http://www.centralchevyauto.com/
Bertera Dodge Chrysler Jeep,"01085, 167 Springfield Road, Westfield, MA 01085, United States",1013,Chicopee,42.107575,-72.705203,http://www.berteradodge.com/
Bertera Collision Repair Center,"160 Westfield Street, West Springfield, MA 01089, United States",1013,Chicopee,42.106998,-72.626752,http://www.berterachryslerjeep.com/west-springfield-collision-repair-by-bertera.htm
Balise Chevrolet Buick GMC,"440 Hall of Fame Avenue, Springfield, MA 01105, United States",1014,Chicopee,42.087323,-72.58161,http://www.balisechevybuickgmc.com/
Central Chevrolet,"675 Memorial Avenue, West Springfield, MA 01089, United States",1014,Chicopee,42.095763,-72.608322,http://www.centralchevyauto.com/
Bertera Dodge Chrysler Jeep,"01085, 167 Springfield Road, Westfield, MA 01085, United States",1014,Chicopee,42.107575,-72.705203,http://www.berteradodge.com/
Bertera Collision Repair Center,"160 Westfield Street, West Springfield, MA 01089, United States",1014,Chicopee,42.106998,-72.626752,http://www.berterachryslerjeep.com/west-springfield-collision-repair-by-bertera.htm
Balise Chevrolet Buick GMC,"440 Hall of Fame Avenue, Springfield, MA 01105, United States",1020,Chicopee,42.087323,-72.58161,http://www.balisechevybuickgmc.com/
Central Chevrolet,"675 Memorial Avenue, West Springfield, MA 01089, United States",1020,Chicopee,42.095763,-72.608322,http://www.centralchevyauto.com/
Bertera Dodge Chrysler Jeep,"01085, 167 Springfield Road, Westfield, MA 01085, United States",1020,Chicopee,42.107575,-72.705203,http://www.berteradodge.com/
Bertera Collision Repair Center,"160 Westfield Street, West Springfield, MA 01089, United States",1020,Chicopee,42.106998,-72.626752,http://www.berterachryslerjeep.com/west-springfield-collision-repair-by-bertera.htm
Balise Chevrolet Buick GMC,"440 Hall of Fame Avenue, Springfield, MA 01105, United States",1021,Chicopee,42.087323,-72.58161,http://www.balisechevybuickgmc.com/
Central Chevrolet,"675 Memorial Avenue, West Springfield, MA 01089, United States",1021,Chicopee,42.095763,-72.608322,http://www.centralchevyauto.com/
Bertera Dodge Chrysler Jeep,"01085, 167 Springfield Road, Westfield, MA 01085, United States",1021,Chicopee,42.107575,-72.705203,http://www.berteradodge.com/
Bertera Collision Repair Center,"160 Westfield Street, West Springfield, MA 01089, United States",1021,Chicopee,42.106998,-72.626752,http://www.berterachryslerjeep.com/west-springfield-collision-repair-by-bertera.htm
Balise Chevrolet Buick GMC,"440 Hall of Fame Avenue, Springfield, MA 01105, United States",1022,Chicopee,42.087323,-72.58161,http://www.balisechevybuickgmc.com/
Central Chevrolet,"675 Memorial Avenue, West Springfield, MA 01089, United States",1022,Chicopee,42.095763,-72.608322,http://www.centralchevyauto.com/
Bertera Dodge Chrysler Jeep,"01085, 167 Springfield Road, Westfield, MA 01085, United States",1022,Chicopee,42.107575,-72.705203,http://www.berteradodge.com/
Bertera Collision Repair Center,"160 Westfield Street, West Springfield, MA 01089, United States",1022,Chicopee,42.106998,-72.626752,http://www.berterachryslerjeep.com/west-springfield-collision-repair-by-bertera.htm
Burke Chevrolet,"200 North King Street, Northampton, MA 01060, United States",1027,Easthampton,42.343032,-72.643071,http://www.burkechevy.com/
Burke Chevrolet Automotive Dealership and Service,"200 North King Street, Northampton, MA 01060, United States",1027,Easthampton,42.343222,-72.642776,http://www.burkechevy.com/
Balise Chevrolet Buick GMC,"440 Hall of Fame Avenue, Springfield, MA 01105, United States",1028,East Longmeadow,42.087323,-72.58161,http://www.balisechevybuickgmc.com/
Central Chevrolet,"675 Memorial Avenue, West Springfield, MA 01089, United States",1028,East Longmeadow,42.095763,-72.608322,http://www.centralchevyauto.com/
Bertera Collision Repair Center,"160 Westfield Street, West Springfield, MA 01089, United States",1028,East Longmeadow,42.106998,-72.626752,http://www.berterachryslerjeep.com/west-springfield-collision-repair-by-bertera.htm
Balise Chevrolet Buick GMC,"440 Hall of Fame Avenue, Springfield, MA 01105, United States",1030,Feeding Hills,42.087323,-72.58161,http://www.balisechevybuickgmc.com/
Central Chevrolet,"675 Memorial Avenue, West Springfield, MA 01089, United States",1030,Feeding Hills,42.095763,-72.608322,http://www.centralchevyauto.com/
Bertera Dodge Chrysler Jeep,"01085, 167 Springfield Road, Westfield, MA 01085, United States",1030,Feeding Hills,42.107575,-72.705203,http://www.berteradodge.com/
