Name,Adress,Zipcode,City,GeoLatitude,GeoLongtitude,Website
Sarat Ford Lincoln,"245 Springfield Street, Agawam, MA 01001, United States",01001,Agawam,42.088988,-72.637658,http://www.saratford.net/
Sarat Ford Lincoln,"245 Springfield Street, Agawam, MA 01001, United States",01001,Agawam,42.088251,-72.637915,http://www.saratford.net/
Sarat Ford Lincoln,"245 Springfield Street, Agawam, MA 01001, United States",01001,Agawam,42.088026,-72.637905,http://saratford.com/
Bertera Chrysler Jeep Dodge Ram,"539 Riverdale Street, West Springfield, MA 01089, United States",01001,Agawam,42.121089,-72.624795,http://www.berterachryslerjeep.com/
"Marcotte Ford Sales, Inc.","1025 Main Street, Holyoke, MA 01040, United States",01013,Chicopee,42.180366,-72.629617,http://www.marcotteford.com/
Sarat Ford Lincoln,"245 Springfield Street, Agawam, MA 01001, United States",01013,Chicopee,42.088988,-72.637658,http://www.saratford.net/
Kent Harold Ford Inc,"60 Fuller Road, Chicopee, MA 01020, United States",01013,Chicopee,42.168146,-72.573192,
Marcotte Ford,"1025 Main Street, Holyoke, MA 01040, United States",01013,Chicopee,42.180287,-72.629557,http://marcotteford.com/
Sarat Ford Lincoln,"245 Springfield Street, Agawam, MA 01001, United States",01013,Chicopee,42.088251,-72.637915,http://www.saratford.net/
"Marcotte Ford Sales, Inc.","1025 Main Street, Holyoke, MA 01040, United States",01013,Chicopee,42.180337,-72.629609,http://www.marcotteford.com/
Sarat Ford Lincoln,"245 Springfield Street, Agawam, MA 01001, United States",01013,Chicopee,42.088026,-72.637905,http://saratford.com/
Bertera Chrysler Jeep Dodge Ram,"539 Riverdale Street, West Springfield, MA 01089, United States",01013,Chicopee,42.121089,-72.624795,http://www.berterachryslerjeep.com/
Gary Rome Hyundai,"1000 Main Street, Holyoke, MA 01040, United States",01013,Chicopee,42.180757,-72.628383,http://www.garyromehyundai.com/
"Marcotte Ford Sales, Inc.","1025 Main Street, Holyoke, MA 01040, United States",01014,Chicopee,42.180366,-72.629617,http://www.marcotteford.com/
Sarat Ford Lincoln,"245 Springfield Street, Agawam, MA 01001, United States",01014,Chicopee,42.088988,-72.637658,http://www.saratford.net/
Kent Harold Ford Inc,"60 Fuller Road, Chicopee, MA 01020, United States",01014,Chicopee,42.168146,-72.573192,
Marcotte Ford,"1025 Main Street, Holyoke, MA 01040, United States",01014,Chicopee,42.180287,-72.629557,http://marcotteford.com/
Sarat Ford Lincoln,"245 Springfield Street, Agawam, MA 01001, United States",01014,Chicopee,42.088251,-72.637915,http://www.saratford.net/
"Marcotte Ford Sales, Inc.","1025 Main Street, Holyoke, MA 01040, United States",01014,Chicopee,42.180337,-72.629609,http://www.marcotteford.com/
Sarat Ford Lincoln,"245 Springfield Street, Agawam, MA 01001, United States",01014,Chicopee,42.088026,-72.637905,http://saratford.com/
Bertera Chrysler Jeep Dodge Ram,"539 Riverdale Street, West Springfield, MA 01089, United States",01014,Chicopee,42.121089,-72.624795,http://www.berterachryslerjeep.com/
Gary Rome Hyundai,"1000 Main Street, Holyoke, MA 01040, United States",01014,Chicopee,42.180757,-72.628383,http://www.garyromehyundai.com/
"Marcotte Ford Sales, Inc.","1025 Main Street, Holyoke, MA 01040, United States",01020,Chicopee,42.180366,-72.629617,http://www.marcotteford.com/
