"zip","city","state","latitude","longitude"
"99501","Anchorage","AK",61.216799,-149.87828
"99502","Anchorage","AK",61.153693,-149.95932
"99503","Anchorage","AK",61.19026,-149.89341
"99504","Anchorage","AK",61.204466,-149.74633
"99505","Fort Richardson","AK",61.261518,-149.66336
"99506","Elmendorf AFB","AK",61.224384,-149.77461
"99507","Anchorage","AK",61.154834,-149.82865
"99508","Anchorage","AK",61.203953,-149.8144
"99509","Anchorage","AK",61.108864,-149.440311
"99510","Anchorage","AK",61.144568,-149.878418
"99511","Anchorage","AK",61.068324,-149.800476
"99512","Anchorage","AK",61.203954,-149.808426
"99513","Anchorage","AK",61.214877,-149.88617
"99514","Anchorage","AK",61.108864,-149.440311
"99515","Anchorage","AK",61.122943,-149.88852
"99516","Anchorage","AK",61.101142,-149.77311
"99517","Anchorage","AK",61.188276,-149.93438
"99518","Anchorage","AK",61.156565,-149.88335
"99519","Anchorage","AK",61.108864,-149.440311
"99520","Anchorage","AK",61.108864,-149.440311
"99521","Anchorage","AK",61.108864,-149.440311
"99522","Anchorage","AK",61.108864,-149.440311
"99523","Anchorage","AK",61.108864,-149.440311
"99524","Anchorage","AK",61.108864,-149.440311
"99529","Anchorage","AK",61.18,-149.98
"99530","Anchorage","AK",61.26,-149.97
"99540","Indian","AK",60.973454,-149.4583
"99545","Kongiganak","AK",60.78,-161.79
"99546","Adak","AK",51.87957,-176.63675
"99547","Atka","AK",52.227555,-174.19628
"99548","Chignik Lake","AK",56.252156,-158.74638
"99549","Port Heiden","AK",56.946256,-158.62832
"99550","Port Lions","AK",57.867089,-152.88568
"99551","Akiachak","AK",60.88981,-161.42393
"99552","Akiak","AK",60.911865,-161.22577
"99553","Akutan","AK",54.098693,-165.88176
"99554","Alakanuk","AK",62.683391,-164.65455
"99555","Aleknagik","AK",59.269535,-158.62458
"99556","Anchor Point","AK",59.798363,-151.73566
"99557","Aniak","AK",61.570981,-158.88072
"99558","Anvik","AK",62.632905,-160.21336
"99559","Bethel","AK",60.766603,-161.88006
"99561","Chefornak","AK",60.143735,-164.25283
"99563","Chevak","AK",61.527953,-165.57029
"99564","Chignik","AK",56.298297,-158.4044
"99565","Chignik Lagoon","AK",56.307535,-158.53502
"99566","Chitina","AK",61.555701,-144.14233
"99567","Chugiak","AK",61.413717,-149.42644
"99568","Clam Gulch","AK",60.23458,-151.3934
"99569","Clarks Point","AK",58.83256,-158.55254
"99571","Cold Bay","AK",55.315003,-162.634
"99572","Cooper Landing","AK",60.484146,-149.78153
"99573","Copper Center","AK",61.832347,-145.2308
"99574","Cordova","AK",60.474512,-145.40256
"99575","Crooked Creek","AK",61.859821,-158.12888
"99576","Dillingham","AK",59.068709,-158.44407
"99577","Eagle River","AK",61.310222,-149.51689
"99578","Eek","AK",60.214239,-162.03799
"99579","Egegik","AK",58.217621,-157.34841
"99580","Ekwok","AK",59.360233,-157.4838
"99581","Emmonak","AK",62.729019,-164.29917
"99583","False Pass","AK",54.849999,-163.42011
"99584","Flat","AK",65.226375,-151.025085
"99585","Marshall","AK",61.878073,-162.08481
"99586","Gakona","AK",62.667589,-144.49059
"99587","Girdwood","AK",60.952049,-149.0838
"99588","Glennallen","AK",62.12042,-145.58592
"99589","Goodnews Bay","AK",59.125873,-161.59999
"99590","Grayling","AK",62.90813,-160.06675
"99591","Saint George Island","AK",56.605546,-169.55958
"99599","Anchorage","AK",61.187188,-149.880393
"99602","Holy Cross","AK",62.198048,-159.77341
"99603","Homer","AK",59.665074,-151.4493
"99604","Hooper Bay","AK",61.52898,-166.09619
"99605","Hope","AK",60.911003,-149.62708
"99606","Iliamna","AK",59.748806,-154.8124
"99607","Kalskag","AK",61.535511,-160.30165
"99608","Karluk","AK",57.578081,-154.36255
"99609","Kasigluk","AK",60.873178,-162.5196
"99610","Kasilof","AK",60.318451,-151.28948
"99611","Kenai","AK",60.587598,-151.23355
"99612","King Cove","AK",55.063736,-162.3124
"99613","King Salmon","AK",58.687446,-156.64007
"99614","Kipnuk","AK",59.937619,-164.04392
"99615","Kodiak","AK",57.74663,-152.51142
"99619","Kodiak","AK",58.268704,-155.797078
"99620","Kotlik","AK",62.945434,-163.76142
"99621","Kwethluk","AK",60.810509,-161.4219
"99622","Kwigillingok","AK",59.870295,-163.16752
"99623","Wasilla","AK",61.61,-149.58
"99624","Larsen Bay","AK",57.529161,-154.00286
"99625","Levelock","AK",59.116273,-156.84802
"99626","Lower Kalskag","AK",61.518175,-160.37019
"99627","McGrath","AK",62.94914,-155.57265
"99628","Manokotak","AK",58.981087,-159.0558
"99629","Wasilla","AK",61.58,-149.44
"99630","Mekoryuk","AK",60.364246,-166.28601
"99631","Moose Pass","AK",60.499602,-149.40247
"99632","Mountain Village","AK",62.090075,-163.72393
"99633","Naknek","AK",58.745436,-156.95331
"99634","Napakiak","AK",60.695049,-161.9909
"99635","Nikiski","AK",60.784804,-151.06473
"99636","New Stuyahok","AK",59.452339,-157.31368
"99637","Toksook Bay","AK",60.532936,-165.10529
"99638","Nikolski","AK",52.785684,-169.19469
"99639","Ninilchik","AK",59.992821,-151.54194
"99640","Nondalton","AK",59.971286,-154.85008
"99641","Nunapitchuk","AK",60.898967,-162.43712
"99643","Old Harbor","AK",57.19926,-153.30438
"99644","Ouzinkie","AK",57.929664,-152.46085
"99645","Palmer","AK",61.598203,-149.04109
"99646","Palmer","AK",61.586896,-149.094699
"99647","Pedro Bay","AK",59.781241,-154.10833
"99648","Perryville","AK",55.91076,-159.15591
"99649","Pilot Point","AK",57.508178,-157.39907
"99650","Pilot Station","AK",61.93605,-162.8834
"99651","Platinum","AK",59.00689,-161.81529
"99652","Big Lake","AK",61.556311,-149.89098
"99653","Port Alsworth","AK",60.102331,-154.55708
"99654","Wasilla","AK",61.580187,-149.48821
"99655","Quinhagak","AK",59.754016,-161.90079
"99656","Red Devil","AK",61.810587,-157.3437
"99657","Russian Mission","AK",61.785228,-161.36476
"99658","Saint Marys","AK",62.048263,-163.1937
"99659","Saint Michael","AK",63.477448,-162.03841
"99660","Saint Paul Island","AK",57.130894,-170.27203
"99661","Sand Point","AK",55.311735,-160.48813
"99662","Scammon Bay","AK",61.783788,-165.53972
"99663","Seldovia","AK",59.422698,-151.71513
"99664","Seward","AK",60.151652,-149.41271
"99665","Shageluk","AK",62.655998,-159.53113
"99666","Sheldon Point","AK",62.495675,-164.97188
"99667","Skwentna","AK",61.898872,-151.51587
"99668","Sleetmute","AK",61.683931,-157.15202
"99669","Soldotna","AK",60.489536,-151.02091
"99670","South Naknek","AK",58.71163,-157.01746
"99671","Stebbins","AK",63.511893,-162.27463
"99672","Sterling","AK",60.532394,-150.74033
"99674","Sutton","AK",61.751348,-148.69632
"99675","Takotna","AK",62.969642,-156.10264
"99676","Talkeetna","AK",62.298254,-149.87542
"99677","Tatitlek","AK",60.863764,-146.68013
"99678","Togiak","AK",59.101934,-160.50353
"99679","Tuluksak","AK",61.102912,-160.96325
"99680","Tuntutuliak","AK",60.343879,-162.66587
"99681","Tununak","AK",60.582127,-165.25645
"99682","Tyonek","AK",61.067777,-151.14169
"99683","Trapper Creek","AK",62.415294,-150.37044
"99684","Unalakleet","AK",63.882081,-160.76294
"99685","Unalaska","AK",53.872017,-166.52287
"99686","Valdez","AK",61.128176,-146.2357
"99687","Wasilla","AK",61.391728,-149.99002
"99688","Willow","AK",61.796774,-150.07792
"99689","Yakutat","AK",59.538728,-139.71052
"99690","Nightmute","AK",60.527618,-164.81976
"99691","Nikolai","AK",62.999213,-154.41957
"99692","Dutch Harbor","AK",53.883729,-166.5485
"99693","Whittier","AK",60.639257,-148.54211
"99694","Houston","AK",61.629635,-149.79507
"99695","Anchorage","AK",61.402544,-150.57485
"99697","Kodiak","AK",57.564289,-153.40755
"99699","Funny River","AK",60.516935,-150.719924
"99701","Fairbanks","AK",64.83507,-147.72045
"99702","Eielson AFB","AK",64.661627,-147.02121
"99703","Fort Wainwright","AK",64.827164,-147.6265
"99704","Clear","AK",64.289856,-149.17778
"99705","North Pole","AK",64.777233,-147.3649
"99706","Fairbanks","AK",64.852055,-147.937747
"99707","Fairbanks","AK",64.699839,-147.405134
"99708","Fairbanks","AK",64.947462,-147.856443
"99709","Fairbanks","AK",64.854937,-147.87406
"99710","Fairbanks","AK",64.948648,-147.535549
"99711","Fairbanks","AK",64.826445,-147.38884
"99712","Fairbanks","AK",64.926041,-147.49573
"99714","Salcha","AK",64.464105,-146.91648
"99716","Two Rivers","AK",64.874591,-146.898195
"99720","Allakaket","AK",66.557586,-152.6559
"99721","Anaktuvuk Pass","AK",68.148216,-151.72854
"99722","Arctic Village","AK",68.121828,-145.52768
"99723","Barrow","AK",71.299525,-156.74891
"99724","Beaver","AK",66.359719,-147.39743
"99725","Ester","AK",64.842326,-148.02197
"99726","Bettles Field","AK",66.917381,-151.50508
"99727","Buckland","AK",65.979144,-161.12225
"99729","Cantwell","AK",63.255516,-148.39873
"99730","Central","AK",65.551022,-144.71982
"99731","Fort Greely","AK",64.04,-145.73
"99732","Chicken","AK",64.070738,-141.87489
"99733","Circle","AK",65.796306,-144.06388
"99734","Prudhoe Bay","AK",66.693255,-153.993988
"99736","Deering","AK",66.075713,-162.71822
"99737","Delta Junction","AK",63.978355,-145.4623
"99738","Eagle","AK",64.778099,-141.19257
"99739","Elim","AK",64.620513,-162.27718
"99740","Fort Yukon","AK",66.566652,-145.28231
"99741","Galena","AK",64.739082,-156.89456
"99742","Gambell","AK",63.776098,-171.70088
"99743","Healy","AK",64.010218,-149.10712
"99744","Anderson","AK",64.349263,-149.19265
"99745","Hughes","AK",66.044094,-154.25703
"99746","Huslia","AK",65.701858,-156.38713
"99747","Kaktovik","AK",70.13346,-143.62436
"99748","Kaltag","AK",64.324887,-158.73204
"99749","Kiana","AK",66.97172,-160.43016
"99750","Kivalina","AK",67.733313,-164.54522
"99751","Kobuk","AK",66.908604,-156.88828
"99752","Kotzebue","AK",66.897192,-162.58544
"99753","Koyuk","AK",64.932225,-161.15597
"99754","Koyukuk","AK",64.881745,-157.70439
"99755","Denali National Park","AK",63.657441,-148.83396
"99756","Manley Hot Springs","AK",65.021337,-150.50318
"99757","Lake Minchumina","AK",63.893902,-152.30201
"99758","Minto","AK",65.152583,-149.39156
"99759","Point Lay","AK",69.741023,-163.00861
"99760","Nenana","AK",64.560888,-149.07674
