"zip","city","state","latitude","longitude"
"35004","Moody","AL",33.606379,-86.50249
"35005","Adamsville","AL",33.592585,-86.95969
"35006","Adger","AL",33.451714,-87.23957
"35007","Alabaster","AL",33.232422,-86.80871
"35010","Alexander City","AL",32.903432,-85.92669
"35011","Alexander City","AL",32.990191,-85.958001
"35013","Allgood","AL",33.922162,-86.449262
"35014","Alpine","AL",33.35596,-86.2772
"35015","Alton","AL",33.544622,-86.929208
"35016","Arab","AL",34.323715,-86.49278
"35019","Baileyton","AL",34.29254,-86.63505
"35020","Bessemer","AL",33.405559,-86.95141
"35021","Bessemer","AL",33.544622,-86.929208
"35022","Bessemer","AL",33.346817,-86.95252
"35023","Bessemer","AL",33.443039,-87.0193
"35026","Clanton","AL",32.859262,-86.638819
"35031","Blountsville","AL",34.111425,-86.5338
"35032","Bon Air","AL",33.256886,-86.338572
"35033","Bremen","AL",33.952939,-87.02889
"35034","Brent","AL",32.915182,-87.21488
"35035","Brierfield","AL",33.041166,-86.95117
"35036","Brookside","AL",33.63815,-86.91956
"35038","Burnwell","AL",33.804411,-87.202136
"35039","Brookside","AL",33.635848,-86.918818
"35040","Calera","AL",33.107572,-86.74996
"35041","Cardiff","AL",33.64672,-86.931818
"35042","Centreville","AL",32.963486,-87.13867
"35043","Chelsea","AL",33.317093,-86.66295
"35044","Childersburg","AL",33.268471,-86.35582
"35045","Clanton","AL",32.834501,-86.64355
"35046","Clanton","AL",32.894351,-86.56504
"35048","Clay","AL",33.544622,-86.929208
"35049","Cleveland","AL",33.963435,-86.5954
"35050","Columbiana","AL",33.158454,-86.621931
"35051","Columbiana","AL",33.201789,-86.61584
"35052","Cook Springs","AL",33.593115,-86.4084
"35053","Crane Hill","AL",34.041061,-87.06771
"35054","Cropwell","AL",33.506012,-86.31547
"35055","Cullman","AL",34.167893,-86.82506
"35056","Cullman","AL",34.196448,-86.895226
"35057","Cullman","AL",34.139198,-86.92449
"35058","Cullman","AL",34.223732,-86.7562
"35060","Docena","AL",33.559455,-86.92968
"35061","Dolomite","AL",33.462541,-86.95736
"35062","Dora","AL",33.731278,-87.0361
"35063","Empire","AL",33.805216,-87.00192
"35064","Fairfield","AL",33.476908,-86.91684
"35068","Fultondale","AL",33.611297,-86.81518
"35070","Garden City","AL",34.011027,-86.74877
"35071","Gardendale","AL",33.67933,-86.8206
"35072","Goodwater","AL",33.089342,-86.04682
"35073","Graysville","AL",33.640865,-86.96885
"35074","Green Pond","AL",33.22584,-87.12515
"35077","Hanceville","AL",34.043589,-86.80644
"35078","Harpersville","AL",33.337092,-86.44085
"35079","Hayden","AL",33.922179,-86.7607
"35080","Helena","AL",33.280625,-86.88411
"35082","Hollins","AL",33.116909,-86.1698
"35083","Holly Pond","AL",34.198738,-86.59814
"35085","Jemison","AL",32.96512,-86.74405
"35087","Joppa","AL",34.303718,-86.58323
"35089","Kellyton","AL",32.941708,-86.06098
"35091","Kimberly","AL",33.77109,-86.80672
"35094","Leeds","AL",33.530698,-86.55506
"35096","Lincoln","AL",33.605233,-86.12079
"35097","Locust Fork","AL",33.896526,-86.63056
"35098","Logan","AL",34.120006,-87.05075
"35111","McCalla","AL",33.279946,-87.10148
"35112","Margaret","AL",33.681899,-86.48237
"35114","Maylene","AL",33.225377,-86.86443
"35115","Montevallo","AL",33.114972,-86.8738
"35116","Morris","AL",33.74137,-86.78543
"35117","Mount Olive","AL",33.665823,-86.87111
"35118","Mulga","AL",33.529224,-87.01546
"35119","New Castle","AL",33.640823,-86.77574
"35120","Odenville","AL",33.668341,-86.43641
"35121","Oneonta","AL",33.944897,-86.45813
"35123","Palmerdale","AL",33.544622,-86.929208
"35124","Pelham","AL",33.317471,-86.78726
"35125","Pell City","AL",33.606663,-86.28912
"35126","Pinson","AL",33.728568,-86.66052
"35127","Pleasant Grove","AL",33.487675,-86.97331
"35128","Pell City","AL",33.561597,-86.30285
"35130","Quinton","AL",33.640629,-87.11584
"35131","Ragland","AL",33.721107,-86.17492
"35133","Remlap","AL",33.827521,-86.60703
"35135","Riverside","AL",33.614465,-86.20067
"35136","Rockford","AL",32.8697,-86.2822
"35137","Saginaw","AL",33.206302,-86.781162
"35139","Sayre","AL",33.712204,-86.97203
"35142","Shannon","AL",33.406869,-86.87347
"35143","Shelby","AL",33.080971,-86.53875
"35144","Siluria","AL",33.28241,-86.683891
"35146","Springville","AL",33.781133,-86.45052
"35147","Sterrett","AL",33.397441,-86.54218
"35148","Sumiton","AL",33.753474,-87.04756
"35149","Sycamore","AL",33.252906,-86.20523
"35150","Sylacauga","AL",33.185782,-86.25105
"35151","Sylacauga","AL",33.137515,-86.33414
"35160","Talladega","AL",33.415449,-86.10908
"35161","Talladega","AL",33.420206,-86.102782
"35171","Thorsby","AL",32.907616,-86.71868
"35172","Trafford","AL",33.823416,-86.71537
"35173","Trussville","AL",33.623485,-86.58546
"35175","Union Grove","AL",34.426844,-86.51841
"35176","Vandiver","AL",33.4776,-86.5126
"35178","Vincent","AL",33.414831,-86.3925
"35179","Vinemont","AL",34.256106,-86.92158
"35180","Warrior","AL",33.82343,-86.81569
"35181","Watson","AL",33.544622,-86.929208
"35182","Wattsville","AL",33.706786,-86.256658
"35183","Weogufka","AL",33.016558,-86.33936
"35184","West Blocton","AL",33.118259,-87.13548
"35185","Westover","AL",33.335629,-86.543692
"35186","Wilsonville","AL",33.241272,-86.50614
"35187","Wilton","AL",33.08104,-86.879328
"35188","Woodstock","AL",33.195743,-87.16252
"35201","Birmingham","AL",33.456412,-86.801904
