"zip","city","state","latitude","longitude"
"38041","Henning","AR",35.629555,-89.86945
"38063","Ripley","AR",35.637993,-89.86859
"65733","Protem","AR",36.483329,-92.81449
"65761","Theodosia","AR",36.489216,-92.69301
"71601","Pine Bluff","AR",34.215648,-91.98841
"71602","White Hall","AR",34.261359,-92.09592
"71603","Pine Bluff","AR",34.189398,-92.04495
"71611","Pine Bluff","AR",34.261465,-91.955115
"71612","White Hall","AR",34.277534,-91.832539
"71613","Pine Bluff","AR",34.157876,-92.071284
"71630","Arkansas City","AR",33.608935,-91.20577
"71631","Banks","AR",33.580919,-92.26477
"71635","Crossett","AR",33.125032,-91.97037
"71638","Dermott","AR",33.525266,-91.47922
"71639","Dumas","AR",33.900515,-91.50041
"71640","Eudora","AR",33.118147,-91.26107
"71642","Fountain Hill","AR",33.375479,-91.86188
"71643","Gould","AR",34.004537,-91.5784
"71644","Grady","AR",34.110042,-91.70488
"71646","Hamburg","AR",33.224814,-91.79176
"71647","Hermitage","AR",33.384421,-92.14897
"71649","Jennie","AR",33.283901,-91.25206
"71650","Jerome","AR",33.590601,-91.732829
"71651","Jersey","AR",33.346473,-92.31954
"71652","Kingsland","AR",33.914079,-92.33251
"71653","Lake Village","AR",33.351501,-91.27133
"71654","McGehee","AR",33.628723,-91.38236
"71655","Monticello","AR",33.62086,-91.76272
"71656","Monticello","AR",33.592575,-91.81237
"71657","Monticello","AR",33.590601,-91.732829
"71658","Montrose","AR",33.323463,-91.54633
"71659","Moscow","AR",34.154012,-91.80062
"71660","New Edinburg","AR",33.736301,-92.18447
"71661","Parkdale","AR",33.133126,-91.53103
"71662","Pickens","AR",33.818318,-91.214054
"71663","Portland","AR",33.236401,-91.47982
"71665","Rison","AR",33.941582,-92.14575
"71666","McGehee","AR",33.763205,-91.27239
"71667","Star City","AR",33.945654,-91.83957
"71670","Tillar","AR",33.737729,-91.41876
"71671","Warren","AR",33.608004,-92.08101
"71674","Watson","AR",33.873022,-91.24235
"71675","Wilmar","AR",33.592313,-91.93607
"71676","Wilmot","AR",33.059255,-91.55866
"71677","Winchester","AR",33.749668,-91.4657
"71678","Yorktown","AR",33.978738,-91.699077
"71691","Warren","AR",33.608542,-92.081022
"71701","Camden","AR",33.578096,-92.81368
"71711","Camden","AR",33.589009,-92.842649
"71720","Bearden","AR",33.733334,-92.64664
"71721","Beirne","AR",34.055486,-93.189406
"71722","Bluff City","AR",33.704074,-93.13364
"71724","Calion","AR",33.326096,-92.53866
"71725","Carthage","AR",34.058224,-92.56519
"71726","Chidester","AR",33.686264,-93.01966
"71728","Curtis","AR",34.010316,-93.097627
"71730","El Dorado","AR",33.218456,-92.64911
"71731","El Dorado","AR",33.198024,-92.52891
"71740","Emerson","AR",33.091077,-93.18468
"71742","Fordyce","AR",33.834201,-92.43421
"71743","Gurdon","AR",33.913838,-93.13855
"71744","Hampton","AR",33.521575,-92.47898
"71745","Harrell","AR",33.525889,-92.39227
"71747","Huttig","AR",33.050688,-92.18501
"71748","Ivan","AR",33.97547,-92.647817
"71749","Junction City","AR",33.067477,-92.76449
"71750","Lawson","AR",33.198024,-92.52891
"71751","Louann","AR",33.397936,-92.77116
"71752","McNeil","AR",33.362351,-93.20045
"71753","Magnolia","AR",33.249608,-93.20427
"71754","Magnolia","AR",33.242571,-93.22996
"71758","Mount Holly","AR",33.325889,-92.90485
"71759","Norphlet","AR",33.323051,-92.66095
"71762","Smackover","AR",33.350296,-92.7379
"71763","Sparkman","AR",33.91855,-92.80484
"71764","Stephens","AR",33.4125,-93.06263
"71765","Strong","AR",33.123334,-92.34988
"71766","Thornton","AR",33.741892,-92.48834
"71767","Hampton","AR",33.535994,-92.543915
"71768","Urbana","AR",33.198024,-92.52891
"71769","Village","AR",33.236156,-93.234494
"71770","Waldo","AR",33.34937,-93.31176
"71772","Whelen Springs","AR",33.832537,-93.1238
"71801","Hope","AR",33.657969,-93.59486
"71802","Hope","AR",33.765584,-93.559162
"71820","Alleene","AR",33.780463,-94.24384
"71822","Ashdown","AR",33.675597,-94.13465
"71823","Ben Lomond","AR",33.822226,-94.13294
"71825","Blevins","AR",33.867903,-93.57136
"71826","Bradley","AR",33.102083,-93.67372
"71827","Buckner","AR",33.378452,-93.43692
"71828","Cale","AR",33.70082,-93.294126
"71831","Columbus","AR",33.793524,-93.807007
"71832","De Queen","AR",34.038226,-94.33597
"71833","Dierks","AR",34.152505,-94.03786
"71834","Doddridge","AR",33.09863,-93.95261
"71835","Emmet","AR",33.70485,-93.46779
"71836","Foreman","AR",33.731908,-94.38751
"71837","Fouke","AR",33.271824,-93.85202
"71838","Fulton","AR",33.638783,-93.80828
"71839","Garland City","AR",33.312764,-93.71734
"71840","Genoa","AR",33.316578,-93.854484
"71841","Gillham","AR",34.163393,-94.3049
"71842","Horatio","AR",33.927425,-94.30834
"71844","Laneburg","AR",33.70082,-93.294126
"71845","Lewisville","AR",33.326251,-93.58986
"71846","Lockesburg","AR",33.961768,-94.14717
"71847","McCaskill","AR",33.920355,-93.63751
"71851","Mineral Springs","AR",33.859173,-93.92692
"71852","Nashville","AR",33.985613,-93.85214
"71853","Ogden","AR",33.582879,-94.01151
"71854","Texarkana","AR",33.428618,-93.99236
"71855","Ozan","AR",33.865305,-93.7512
"71857","Prescott","AR",33.806886,-93.36595
"71858","Rosston","AR",33.551439,-93.28269
"71859","Saratoga","AR",33.740704,-93.91747
"71860","Stamps","AR",33.35996,-93.49293
"71861","Taylor","AR",33.108043,-93.47283
"71862","Washington","AR",33.761309,-93.71273
"71864","Willisville","AR",33.70082,-93.294126
"71865","Wilton","AR",33.741986,-94.14867
"71866","Winthrop","AR",33.865609,-94.38408
"71901","Hot Springs National Park","AR",34.506487,-93.01941
"71902","Hot Springs National Park","AR",34.581374,-93.099403
"71903","Hot Springs National Park","AR",34.581374,-93.099403
"71907","Hot Springs","AR",34.532516,-93.048397
"71909","Hot Springs Village","AR",34.657742,-92.9811
"71910","Hot Springs Village","AR",34.581374,-93.099403
"71913","Hot Springs National Park","AR",34.47056,-93.08805
"71914","Hot Springs National Park","AR",34.513682,-92.968531
"71920","Alpine","AR",34.055486,-93.189406
"71921","Amity","AR",34.257603,-93.45822
"71922","Antoine","AR",34.033062,-93.42614
"71923","Arkadelphia","AR",34.111837,-93.05585
"71929","Bismarck","AR",34.285033,-93.19533
"71932","Board Camp","AR",34.537164,-94.0972
"71933","Bonnerdale","AR",34.397266,-93.4063
"71935","Caddo Gap","AR",34.373399,-93.70591
"71937","Cove","AR",34.398483,-94.39398
"71940","Delight","AR",34.082845,-93.51733
"71941","Donaldson","AR",34.254277,-92.95971
"71942","Friendship","AR",34.223546,-93.002367
"71943","Glenwood","AR",34.320028,-93.5993
"71944","Grannis","AR",34.24238,-94.35535
"71945","Hatfield","AR",34.496472,-94.3691
"71946","Hatton","AR",34.459413,-94.200221
"71949","Jessieville","AR",34.727093,-93.03315
"71950","Kirby","AR",34.251107,-93.76005
"71951","Hot Springs National Park","AR",34.581374,-93.099403
"71952","Langley","AR",34.29627,-93.83656
"71953","Mena","AR",34.588479,-94.21567
"71956","Mountain Pine","AR",34.663502,-93.23591
"71957","Mount Ida","AR",34.571277,-93.58361
"71958","Murfreesboro","AR",34.118589,-93.69401
"71959","Newhope","AR",34.229742,-93.88694
"71960","Norman","AR",34.480095,-93.72298
"71961","Oden","AR",34.606137,-93.82391
"71962","Okolona","AR",34.072187,-93.33704
"71964","Pearcy","AR",34.424114,-93.24096
"71965","Pencil Bluff","AR",34.655204,-93.73748
"71966","Oden","AR",34.542995,-93.66463
"71968","Royal","AR",34.522254,-93.25662
"71969","Sims","AR",34.679542,-93.61788
"71970","Story","AR",34.669401,-93.4857
"71971","Umpire","AR",34.299569,-94.03479
"71972","Vandervoort","AR",34.381056,-94.19716
"71973","Wickes","AR",34.302177,-94.35083
"71998","Arkadelphia","AR",34.055486,-93.189406
"71999","Arkadelphia","AR",34.055486,-93.189406
"72001","Adona","AR",35.058503,-92.88762
"72002","Alexander","AR",34.644387,-92.50223
"72003","Almyra","AR",34.403216,-91.40953
"72004","Altheimer","AR",34.252213,-91.7679
"72005","Amagon","AR",35.569503,-91.10435
"72006","Augusta","AR",35.251768,-91.35603
"72007","Austin","AR",34.998573,-91.98417
"72010","Bald Knob","AR",35.321261,-91.54989
"72011","Bauxite","AR",34.523858,-92.46989
"72012","Beebe","AR",35.095774,-91.90636
"72013","Bee Branch","AR",35.452494,-92.36279
"72014","Beedeville","AR",35.429694,-91.10723
"72015","Benton","AR",34.564734,-92.59562
"72016","Bigelow","AR",34.993579,-92.62183
"72017","Biscoe","AR",34.864607,-91.40408
"72018","Benton","AR",34.597345,-92.622857
"72019","North Little Rock","AR",34.804791,-92.28925
"72020","Bradford","AR",35.461798,-91.46353
"72021","Brinkley","AR",34.867846,-91.19271
"72022","Bryant","AR",34.606079,-92.49472
"72023","Cabot","AR",34.967043,-92.03537
"72024","Carlisle","AR",34.776306,-91.74635
"72025","Casa","AR",35.043093,-93.00689
"72026","Casscoe","AR",34.505369,-91.30213
"72027","Center Ridge","AR",35.365909,-92.57876
"72028","Choctaw","AR",35.57727,-92.545572
"72029","Clarendon","AR",34.697068,-91.29347
"72030","Cleveland","AR",35.423473,-92.67942
"72031","Clinton","AR",35.586064,-92.48355
"72032","Conway","AR",35.075467,-92.43401
"72033","Conway","AR",35.105306,-92.354915
"72034","Conway","AR",35.074617,-92.444426
"72035","Conway","AR",35.105306,-92.354915
"72036","Cotton Plant","AR",35.011873,-91.25449
"72037","Coy","AR",34.541185,-91.875767
"72038","Crocketts Bluff","AR",34.438327,-91.26907
"72039","Damascus","AR",35.339128,-92.4036
"72040","Des Arc","AR",34.955641,-91.52399
"72041","De Valls Bluff","AR",34.745671,-91.46945
"72042","De Witt","AR",34.283347,-91.32515
"72043","Diaz","AR",35.633263,-91.26187
