"zip","city","state","latitude","longitude"
"84536","Monument Valley","AZ",36.990184,-110.2123
"85001","Phoenix","AZ",33.703967,-112.351835
"85002","Phoenix","AZ",33.276539,-112.18717
"85003","Phoenix","AZ",33.451143,-112.07838
"85004","Phoenix","AZ",33.451093,-112.07057
"85005","Phoenix","AZ",33.276539,-112.18717
"85006","Phoenix","AZ",33.466392,-112.04875
"85007","Phoenix","AZ",33.449995,-112.09024
"85008","Phoenix","AZ",33.466393,-112.0008
"85009","Phoenix","AZ",33.45635,-112.12378
"85010","Phoenix","AZ",33.276539,-112.18717
"85011","Phoenix","AZ",33.276539,-112.18717
"85012","Phoenix","AZ",33.505251,-112.0703
"85013","Phoenix","AZ",33.50711,-112.08483
"85014","Phoenix","AZ",33.511325,-112.05711
"85015","Phoenix","AZ",33.50689,-112.10262
"85016","Phoenix","AZ",33.503742,-112.03235
"85017","Phoenix","AZ",33.514092,-112.12285
"85018","Phoenix","AZ",33.498076,-111.98603
"85019","Phoenix","AZ",33.511992,-112.1417
"85020","Phoenix","AZ",33.563663,-112.05519
"85021","Phoenix","AZ",33.559437,-112.09281
"85022","Phoenix","AZ",33.630497,-112.0521
"85023","Phoenix","AZ",33.638271,-112.09341
"85024","Phoenix","AZ",33.675564,-112.04717
"85025","Phoenix","AZ",33.422621,-111.723635
"85026","Phoenix","AZ",33.276539,-112.18717
"85027","Phoenix","AZ",33.698731,-112.11429
"85028","Phoenix","AZ",33.585037,-112.00815
"85029","Phoenix","AZ",33.598841,-112.12023
"85030","Phoenix","AZ",33.276539,-112.18717
"85031","Phoenix","AZ",33.493496,-112.17108
"85032","Phoenix","AZ",33.62414,-112.00416
"85033","Phoenix","AZ",33.496091,-112.21405
"85034","Phoenix","AZ",33.437772,-112.0281
"85035","Phoenix","AZ",33.472492,-112.1875
"85036","Phoenix","AZ",33.276539,-112.18717
"85037","Phoenix","AZ",33.493006,-112.25539
"85038","Phoenix","AZ",33.276539,-112.18717
"85039","Phoenix","AZ",33.276539,-112.18717
"85040","Phoenix","AZ",33.393323,-112.02857
"85041","Phoenix","AZ",33.386995,-112.10076
"85042","Phoenix","AZ",33.381234,-112.027663
"85043","Phoenix","AZ",33.435405,-112.20009
"85044","Phoenix","AZ",33.333591,-111.99246
"85045","Phoenix","AZ",33.29974,-112.09812
"85046","Phoenix","AZ",33.276539,-112.18717
"85048","Phoenix","AZ",33.302098,-112.02477
"85050","Phoenix","AZ",33.683603,-111.99271
