"zip","city","state","latitude","longitude"
"89439","Verdi","CA",39.523693,-120.03012
"90001","Los Angeles","CA",33.972914,-118.24878
"90002","Los Angeles","CA",33.948315,-118.24845
"90003","Los Angeles","CA",33.962714,-118.276
"90004","Los Angeles","CA",34.07711,-118.30755
"90005","Los Angeles","CA",34.058911,-118.30848
"90006","Los Angeles","CA",34.048351,-118.2943
"90007","Los Angeles","CA",34.026448,-118.2829
"90008","Los Angeles","CA",34.009754,-118.33705
"90009","Los Angeles","CA",33.786594,-118.298662
"90010","Los Angeles","CA",34.062709,-118.31481
"90011","Los Angeles","CA",34.007063,-118.25868
"90012","Los Angeles","CA",34.061611,-118.23944
"90013","Los Angeles","CA",34.044662,-118.24255
"90014","Los Angeles","CA",34.042912,-118.25193
"90015","Los Angeles","CA",34.038993,-118.26516
"90016","Los Angeles","CA",34.029711,-118.35255
"90017","Los Angeles","CA",34.052561,-118.26434
"90018","Los Angeles","CA",34.029112,-118.3183
"90019","Los Angeles","CA",34.048411,-118.34015
"90020","Los Angeles","CA",34.06646,-118.30863
"90021","Los Angeles","CA",34.029313,-118.24182
"90022","Los Angeles","CA",34.023662,-118.15581
"90023","Los Angeles","CA",34.023039,-118.20231
"90024","Los Angeles","CA",34.063209,-118.43643
"90025","Los Angeles","CA",34.045006,-118.44527
"90026","Los Angeles","CA",34.07851,-118.26596
"90027","Los Angeles","CA",34.111208,-118.28842
"90028","Los Angeles","CA",34.098859,-118.32745
"90029","Los Angeles","CA",34.090259,-118.29455
"90030","Los Angeles","CA",33.786594,-118.298662
"90031","Los Angeles","CA",34.07871,-118.2161
"90032","Los Angeles","CA",34.08166,-118.17568
"90033","Los Angeles","CA",34.050411,-118.21195
"90034","Los Angeles","CA",34.03056,-118.39804
"90035","Los Angeles","CA",34.05266,-118.38531
"90036","Los Angeles","CA",34.07036,-118.34926
"90037","Los Angeles","CA",34.002063,-118.28737
"90038","Los Angeles","CA",34.089459,-118.3285
"90039","Los Angeles","CA",34.110425,-118.25832
"90040","Los Angeles","CA",33.997492,-118.15284
"90041","Los Angeles","CA",34.137557,-118.20765
"90042","Los Angeles","CA",34.114558,-118.19233
"90043","Los Angeles","CA",33.987463,-118.334
"90044","Los Angeles","CA",33.953814,-118.29158
"90045","Los Angeles","CA",33.960041,-118.3949
"90046","Los Angeles","CA",34.098908,-118.36241
"90047","Los Angeles","CA",33.958464,-118.30998
"90048","Los Angeles","CA",34.073759,-118.37376
"90049","Los Angeles","CA",34.067409,-118.47528
