"zip","city","state","latitude","longitude"
"80000","Aurora","CO",39.669637,-104.773083
"80001","Arvada","CO",39.522014,-105.223945
"80002","Arvada","CO",39.795006,-105.0981
"80003","Arvada","CO",39.825357,-105.06439
"80004","Arvada","CO",39.81431,-105.12263
"80005","Arvada","CO",39.843304,-105.11896
"80006","Arvada","CO",39.522014,-105.223945
"80007","Arvada","CO",39.833442,-105.18591
"80010","Aurora","CO",39.739387,-104.8621
"80011","Aurora","CO",39.739737,-104.80905
"80012","Aurora","CO",39.698387,-104.83956
"80013","Aurora","CO",39.659105,-104.7791
"80014","Aurora","CO",39.665637,-104.83421
"80015","Aurora","CO",39.623896,-104.77723
"80016","Aurora","CO",39.595115,-104.7485
"80017","Aurora","CO",39.695269,-104.78439
"80018","Aurora","CO",39.689244,-104.7166
"80019","Aurora","CO",39.784036,-104.72289
"80020","Broomfield","CO",39.93404,-105.05454
"80021","Broomfield","CO",39.881608,-105.09953
"80022","Commerce City","CO",39.836586,-104.9039
"80023","Broomfield","CO",39.96,-105.02
"80024","Dupont","CO",39.844685,-104.91851
"80025","Eldorado Springs","CO",39.92926,-105.28863
"80026","Lafayette","CO",40.002156,-105.10036
"80027","Louisville","CO",39.963322,-105.15053
"80028","Louisville","CO",40.087835,-105.373507
"80030","Westminster","CO",39.830936,-105.03736
"80031","Westminster","CO",39.866785,-105.04143
"80033","Wheat Ridge","CO",39.774341,-105.10036
"80034","Wheat Ridge","CO",39.522014,-105.223945
"80035","Westminster","CO",39.80797,-104.407918
"80036","Westminster","CO",39.80797,-104.407918
"80037","Commerce City","CO",39.80797,-104.407918
"80038","Broomfield","CO",40.087835,-105.373507
"80040","Aurora","CO",39.80797,-104.407918
"80041","Aurora","CO",39.738752,-104.408349
"80042","Aurora","CO",39.80797,-104.407918
"80044","Aurora","CO",39.738752,-104.408349
"80045","Aurora","CO",39.746736,-104.838361
"80046","Aurora","CO",39.738752,-104.408349
"80047","Aurora","CO",39.738752,-104.408349
"80061","Westminster","CO",39.862286,-105.072049
"80101","Agate","CO",39.378712,-104.02409
"80102","Bennett","CO",39.760573,-104.431
"80103","Byers","CO",39.746563,-104.17162
"80104","Castle Rock","CO",39.385141,-104.85962
"80105","Deer Trail","CO",39.631741,-104.01594
"80106","Elbert","CO",39.148692,-104.5635
"80107","Elizabeth","CO",39.397242,-104.58696
"80108","Castle Rock","CO",39.453833,-104.885409
"80109","Castle Rock","CO",39.380857,-104.89947
"80110","Englewood","CO",39.646847,-104.99076
"80111","Englewood","CO",39.610431,-104.88139
"80112","Englewood","CO",39.579454,-104.88288
"80113","Englewood","CO",39.64,-104.96
"80115","Aurora","CO",39.636562,-104.82093
"80116","Franktown","CO",39.355957,-104.7241
"80117","Kiowa","CO",39.382543,-104.42847
"80118","Larkspur","CO",39.206652,-104.90983
"80120","Littleton","CO",39.599687,-105.00658
"80121","Littleton","CO",39.607386,-104.95805
"80122","Littleton","CO",39.582604,-104.95834
"80123","Littleton","CO",39.616114,-105.07393
"80124","Littleton","CO",39.543478,-104.89644
"80125","Littleton","CO",39.479365,-105.06708
"80126","Littleton","CO",39.544549,-104.96808
"80127","Littleton","CO",39.599755,-105.13052
"80128","Littleton","CO",39.576838,-105.07882
"80129","Littleton","CO",39.539556,-105.009739
"80130","Lone Tree","CO",39.541571,-104.92152
"80131","Louviers","CO",39.347863,-104.994708
"80132","Monument","CO",39.098692,-104.8684
"80133","Palmer Lake","CO",39.113371,-104.90493
"80134","Parker","CO",39.508608,-104.78031
"80135","Sedalia","CO",39.340969,-105.05404
"80136","Strasburg","CO",39.776934,-104.30997
"80137","Watkins","CO",39.749664,-104.60811
"80138","Parker","CO",39.523171,-104.70607
"80139","Parker","CO",39.51474,-104.744145
"80150","Englewood","CO",39.738752,-104.408349
"80151","Englewood","CO",39.738752,-104.408349
"80154","Englewood","CO",39.738752,-104.408349
"80155","Englewood","CO",39.738752,-104.408349
"80160","Littleton","CO",39.738752,-104.408349
"80161","Littleton","CO",39.738752,-104.408349
"80162","Littleton","CO",39.522014,-105.223945
"80163","Littleton","CO",39.347863,-104.994708
"80165","Littleton","CO",39.738752,-104.408349
"80166","Littleton","CO",39.738752,-104.408349
"80201","Denver","CO",39.726303,-104.856808
"80202","Denver","CO",39.751586,-104.99699
"80203","Denver","CO",39.731286,-104.98306
"80204","Denver","CO",39.734686,-105.01966
"80205","Denver","CO",39.758986,-104.96678
"80206","Denver","CO",39.731237,-104.95243
"80207","Denver","CO",39.759386,-104.91945
"80208","Denver","CO",39.738752,-104.408349
"80209","Denver","CO",39.706535,-104.96698
"80210","Denver","CO",39.679437,-104.96473
"80211","Denver","CO",39.767536,-105.01973
"80212","Denver","CO",39.770336,-105.04688
"80214","Denver","CO",39.745526,-105.06251
"80215","Denver","CO",39.744437,-105.10441
"80216","Denver","CO",39.784622,-104.96214
