"zip","city","state","latitude","longitude"
"06001","Avon","CT",41.789698,-72.86431
"06002","Bloomfield","CT",41.832798,-72.72642
"06006","Windsor","CT",41.879637,-72.734271
"06010","Bristol","CT",41.682249,-72.93365
"06011","Bristol","CT",41.791776,-72.718832
"06013","Burlington","CT",41.758415,-72.94642
"06016","Broad Brook","CT",41.909097,-72.54393
"06018","Canaan","CT",42.02351,-73.31103
"06019","Canton","CT",41.834247,-72.89174
"06020","Canton Center","CT",41.864597,-72.91003
"06021","Colebrook","CT",42.027797,-73.11835
"06022","Collinsville","CT",41.832842,-72.92526
"06023","East Berlin","CT",41.612748,-72.72017
"06024","East Canaan","CT",42.010733,-73.26877
"06025","East Glastonbury","CT",41.688896,-72.534482
"06026","East Granby","CT",41.935501,-72.72718
"06027","East Hartland","CT",42.002345,-72.90922
"06028","East Windsor Hill","CT",41.859248,-72.603033
"06029","Ellington","CT",41.909147,-72.45026
"06030","Farmington","CT",41.791776,-72.718832
"06031","Falls Village","CT",41.948694,-73.3296
"06032","Farmington","CT",41.725195,-72.83032
"06033","Glastonbury","CT",41.707932,-72.57085
"06034","Farmington","CT",41.791776,-72.718832
"06035","Granby","CT",41.959713,-72.79826
"06037","Kensington","CT",41.619048,-72.76734
"06039","Lakeville","CT",41.951783,-73.43722
"06040","Manchester","CT",41.778888,-72.52384
"06041","Manchester","CT",41.794681,-72.564832
"06042","Manchester","CT",41.79,-72.53
"06043","Bolton","CT",41.771265,-72.43669
"06045","Manchester","CT",41.791776,-72.718832
"06049","Melrose","CT",41.791776,-72.718832
"06050","New Britain","CT",41.666049,-72.778391
"06051","New Britain","CT",41.666249,-72.76996
"06052","New Britain","CT",41.659099,-72.80129
"06053","New Britain","CT",41.686949,-72.7908
"06057","New Hartford","CT",41.852712,-73.00492
"06058","Norfolk","CT",41.986861,-73.19437
"06059","North Canton","CT",41.937513,-72.92017
"06060","North Granby","CT",42.012195,-72.8445
"06061","Pine Meadow","CT",41.874382,-72.967958
"06062","Plainville","CT",41.671548,-72.86294
"06063","Pleasant Valley","CT",41.926696,-72.96783
"06064","Poquonock","CT",41.791776,-72.718832
"06065","Riverton","CT",41.961127,-73.01859
"06066","Vernon Rockville","CT",41.841615,-72.46708
"06067","Rocky Hill","CT",41.660949,-72.66098
"06068","Salisbury","CT",42.014673,-73.42408
"06069","Sharon","CT",41.866222,-73.46331
"06070","Simsbury","CT",41.874064,-72.81644
"06071","Somers","CT",41.995851,-72.45336
"06072","Somersville","CT",41.976466,-72.490593
"06073","South Glastonbury","CT",41.660899,-72.56887
"06074","South Windsor","CT",41.836665,-72.56076
"06075","Stafford","CT",41.81152,-72.308779
"06076","Stafford Springs","CT",41.979871,-72.27863
"06077","Staffordville","CT",41.991645,-72.257735
"06078","Suffield","CT",41.985946,-72.63897
"06079","Taconic","CT",42.032012,-73.403763
"06080","Suffield","CT",41.948597,-72.628802
"06081","Tariffville","CT",41.907114,-72.76831
"06082","Enfield","CT",41.987238,-72.56365
"06083","Enfield","CT",41.791776,-72.718832
"06084","Tolland","CT",41.87688,-72.36806
"06085","Unionville","CT",41.749832,-72.8898
"06087","Unionville","CT",41.757616,-72.884953
"06088","East Windsor","CT",41.908464,-72.60547
"06089","Weatogue","CT",41.839731,-72.81974
"06090","West Granby","CT",41.953596,-72.85242
"06091","West Hartland","CT",42.002748,-72.98906
"06092","West Simsbury","CT",41.861297,-72.86055
"06093","West Suffield","CT",42.019907,-72.73357
"06094","Winchester Center","CT",41.896321,-73.146312
"06095","Windsor","CT",41.857303,-72.66654
"06096","Windsor Locks","CT",41.926997,-72.64688
"06098","Winsted","CT",41.925967,-73.06944
"06101","Hartford","CT",41.78007,-72.677099
"06102","Hartford","CT",41.791776,-72.718832
"06103","Hartford","CT",41.767049,-72.67433
"06104","Hartford","CT",41.791776,-72.718832
"06105","Hartford","CT",41.771166,-72.70255
"06106","Hartford","CT",41.7469,-72.69593
"06107","W Hartford","CT",41.75275,-72.7546
"06108","East Hartford","CT",41.778316,-72.62313
"06109","Wethersfield","CT",41.702049,-72.6747
"06110","W Hartford","CT",41.7313,-72.73374
"06111","Newington","CT",41.688899,-72.73101
"06112","Hartford","CT",41.793299,-72.6954
"06114","Hartford","CT",41.7387,-72.67889
"06115","Hartford","CT",41.758849,-72.679387
