"zip","city","state","latitude","longitude"
"20001","Washington","DC",38.907711,-77.01732
"20002","Washington","DC",38.901811,-76.99097
"20003","Washington","DC",38.881762,-76.99447
"20004","Washington","DC",38.895268,-77.0276
"20005","Washington","DC",38.904461,-77.03088
"20006","Washington","DC",38.897567,-77.04195
"20007","Washington","DC",38.913961,-77.07179
"20008","Washington","DC",38.934866,-77.06039
"20009","Washington","DC",38.919211,-77.03777
"20010","Washington","DC",38.933311,-77.02929
"20011","Washington","DC",38.95211,-77.02097
"20012","Washington","DC",38.97808,-77.02858
"20013","Washington","DC",38.893311,-77.014647
"20015","Washington","DC",38.96516,-77.06737
"20016","Washington","DC",38.94081,-77.08723
"20017","Washington","DC",38.937478,-76.99125
"20018","Washington","DC",38.928761,-76.97523
"20019","Washington","DC",38.891445,-76.93811
"20020","Washington","DC",38.863079,-76.97138
"20022","Washington","DC",38.91,-76.96
"20023","Washington","DC",38.9,-77.01
"20024","Washington","DC",38.880112,-77.02362
"20026","Washington","DC",38.893311,-77.014647
"20027","Washington","DC",38.9,-76.98
"20029","Washington","DC",38.893311,-77.014647
"20030","Washington","DC",38.893311,-77.014647
"20032","Washington","DC",38.836145,-77.00058
"20033","Washington","DC",38.893311,-77.014647
"20035","Washington","DC",38.893311,-77.014647
"20036","Washington","DC",38.906778,-77.04148
"20037","Washington","DC",38.900394,-77.05126
"20038","Washington","DC",38.893311,-77.014647
"20039","Washington","DC",38.893311,-77.014647
"20040","Washington","DC",38.893311,-77.014647
"20041","Washington","DC",38.893311,-77.014647
"20042","Washington","DC",38.893311,-77.014647
"20043","Washington","DC",38.893311,-77.014647
"20044","Washington","DC",38.893311,-77.014647
"20045","Washington","DC",38.896599,-77.0319
"20046","Washington","DC",38.893311,-77.014647
"20047","Washington","DC",38.893311,-77.014647
"20049","Washington","DC",38.895911,-77.020998
"20050","Washington","DC",38.893311,-77.014647
"20051","Washington","DC",38.893311,-77.014647
"20052","Washington","DC",38.90014,-77.047899
"20053","Washington","DC",38.893311,-77.014647
"20055","Washington","DC",38.901633,-77.020959
"20056","Washington","DC",38.893311,-77.014647
"20057","Washington","DC",38.893311,-77.014647
"20058","Washington","DC",38.893311,-77.014647
"20059","Washington","DC",38.893311,-77.014647
"20060","Washington","DC",38.918011,-77.020398
"20061","Washington","DC",38.893311,-77.014647
"20062","Washington","DC",38.900009,-77.036948
"20063","Washington","DC",38.905317,-77.046645
"20064","Washington","DC",38.933161,-76.996348
"20065","Washington","DC",38.883412,-77.028198
"20066","Washington","DC",38.893311,-77.014647
"20067","Washington","DC",38.893311,-77.014647
