"zip","city","state","latitude","longitude"
"32003","Fleming Island","FL",30.16,-81.7
"32004","Ponte Vedra Beach","FL",29.937673,-81.420603
"32006","Fleming Island","FL",30.11,-81.72
"32007","Bostwick","FL",29.799631,-81.627324
"32008","Branford","FL",29.928691,-82.91032
"32009","Bryceville","FL",30.421425,-81.95741
"32011","Callahan","FL",30.567684,-81.84051
"32013","Day","FL",30.193758,-83.29266
"32024","Lake City","FL",30.108128,-82.72529
"32025","Lake City","FL",30.155229,-82.62165
"32026","Raiford","FL",30.06,-82.24
"32030","Doctors Inlet","FL",30.105553,-81.768964
"32033","Elkton","FL",29.787831,-81.44668
"32034","Fernandina Beach","FL",30.641487,-81.46092
"32035","Fernandina Beach","FL",30.551558,-81.698422
"32038","Fort White","FL",29.922221,-82.71425
"32040","Glen Saint Mary","FL",30.272356,-82.21351
"32041","Yulee","FL",30.6233,-81.590249
"32042","Graham","FL",29.968926,-82.122553
"32043","Green Cove Springs","FL",29.97289,-81.72195
"32044","Hampton","FL",29.863141,-82.15623
"32046","Hilliard","FL",30.685319,-81.93061
"32047","Yulee","FL",30.621671,-81.617754
"32050","Middleburg","FL",30.031702,-81.848401
"32052","Jasper","FL",30.491893,-82.94876
"32053","Jennings","FL",30.581517,-83.13841
"32054","Lake Butler","FL",30.005135,-82.38103
"32055","Lake City","FL",30.216073,-82.6396
"32056","Lake City","FL",30.162772,-82.651184
"32058","Lawtey","FL",30.061174,-82.0943
"32059","Lee","FL",30.421598,-83.27037
"32060","Live Oak","FL",30.285127,-83.04106
"32061","Lulu","FL",30.101542,-82.50337
"32062","McAlpin","FL",30.13762,-82.98732
"32063","Macclenny","FL",30.267664,-82.12457
"32064","Live Oak","FL",30.331517,-82.957151
"32065","Orange Park","FL",30.133007,-81.77904
"32066","Mayo","FL",30.084849,-83.21849
"32067","Orange Park","FL",29.956068,-81.815115
"32068","Middleburg","FL",30.074926,-81.87932
"32071","O Brien","FL",30.039096,-82.94481
"32072","Olustee","FL",30.210947,-82.43601
"32073","Orange Park","FL",30.160965,-81.72916
"32079","Penney Farms","FL",29.979095,-81.80991
"32080","St. Augustine","FL",29.838279,-81.275174
"32081","Pomona Park","FL",29.50199,-81.600108
"32082","Ponte Vedra Beach","FL",30.189934,-81.38213
"32083","Raiford","FL",30.070341,-82.22371
"32084","Saint Augustine","FL",29.87131,-81.29464
"32085","Saint Augustine","FL",29.937673,-81.420603
"32086","Saint Augustine","FL",29.811123,-81.30987
"32087","Sanderson","FL",30.390734,-82.26039
"32091","Starke","FL",29.937512,-82.11706
"32092","Saint Augustine","FL",29.955409,-81.51284
"32094","Wellborn","FL",30.203153,-82.81421
"32095","Saint Augustine","FL",29.923718,-81.33962
"32096","White Springs","FL",30.366085,-82.76055
"32097","Yulee","FL",30.63928,-81.59442
"32098","Palm Valley","FL",30.164918,-81.378181
