"zip","city","state","latitude","longitude"
"30002","Avondale Estates","GA",33.772122,-84.26491
"30003","Norcross","GA",33.960353,-84.037859
"30004","Alpharetta","GA",34.119177,-84.30292
"30005","Alpharetta","GA",34.080035,-84.21929
"30006","Marietta","GA",33.912473,-84.557181
"30007","Marietta","GA",33.912473,-84.557181
"30008","Marietta","GA",33.907336,-84.5788
"30009","Alpharetta","GA",33.844371,-84.47405
"30010","Norcross","GA",33.960353,-84.037859
"30011","Auburn","GA",34.022974,-83.83416
"30012","Conyers","GA",33.696714,-84.01732
"30013","Conyers","GA",33.633685,-83.98382
"30014","Covington","GA",33.581406,-83.851
"30015","Covington","GA",33.555791,-83.864915
"30016","Covington","GA",33.542118,-83.93372
"30017","Grayson","GA",33.888829,-83.96848
"30018","Jersey","GA",33.717989,-83.801451
"30019","Dacula","GA",33.981721,-83.88302
"30021","Clarkston","GA",33.809604,-84.2387
"30022","Alpharetta","GA",34.026238,-84.24506
"30023","Alpharetta","GA",33.844371,-84.47405
"30024","Suwanee","GA",34.052698,-84.07485
"30025","Social Circle","GA",33.65072,-83.70779
"30026","Duluth","GA",33.962979,-84.092267
"30028","Cumming","GA",34.193041,-84.092588
"30029","Duluth","GA",33.960353,-84.037859
"30030","Decatur","GA",33.771705,-84.29407
"30031","Decatur","GA",33.891251,-84.07456
"30032","Decatur","GA",33.740055,-84.26791
"30033","Decatur","GA",33.811354,-84.28335
"30034","Decatur","GA",33.693448,-84.24743
"30035","Decatur","GA",33.725739,-84.21114
"30036","Decatur","GA",33.891251,-84.07456
"30037","Decatur","GA",33.891251,-84.07456
"30038","Lithonia","GA",33.676358,-84.15381
"30039","Snellville","GA",33.822204,-84.03707
"30040","Cumming","GA",34.235408,-84.17441
"30041","Cumming","GA",34.201503,-84.09764
"30042","Lawrenceville","GA",33.929464,-84.103226
"30043","Lawrenceville","GA",34.001159,-84.01487
"30044","Lawrenceville","GA",33.91967,-84.07482
"30045","Lawrenceville","GA",33.949054,-83.98565
"30046","Lawrenceville","GA",33.960353,-84.037859
"30047","Lilburn","GA",33.872371,-84.11655
"30048","Lilburn","GA",33.960353,-84.037859
"30049","Lawrenceville","GA",33.64,-84.26
"30052","Loganville","GA",33.823809,-83.89423
"30054","Oxford","GA",33.658113,-83.86249
"30055","Mansfield","GA",33.504952,-83.74735
"30056","Newborn","GA",33.500008,-83.67165
"30058","Lithonia","GA",33.750257,-84.0964
"30060","Marietta","GA",33.932052,-84.54746
"30061","Marietta","GA",33.932842,-84.556004
"30062","Marietta","GA",33.99605,-84.47464
"30063","Marietta","GA",33.965294,-84.511209
"30064","Marietta","GA",33.946735,-84.602
"30065","Marietta","GA",33.912473,-84.557181
"30066","Marietta","GA",34.027533,-84.51475
"30067","Marietta","GA",33.933002,-84.47633
"30068","Marietta","GA",33.965601,-84.4433
"30069","Marietta","GA",33.912473,-84.557181
"30070","Porterdale","GA",33.576043,-83.89821
"30071","Norcross","GA",33.940768,-84.2062
"30072","Pine Lake","GA",33.791505,-84.20642
"30073","Decatur","GA",33.7,-84.25
"30074","Redan","GA",33.891251,-84.07456
"30075","Roswell","GA",34.049789,-84.38539
"30076","Roswell","GA",34.032532,-84.31774
"30077","Roswell","GA",33.844371,-84.47405
"30078","Snellville","GA",33.860955,-84.01807
"30079","Scottdale","GA",33.791537,-84.25994
