"zip","city","state","latitude","longitude"
"96371","Kawela Bay","HI",21.703,-157.996233
"96373","Hawaiian Ocean View","HI",19.112099,-155.798594
"96385","Volcano","HI",19.44707,-155.243925
"96477","Kaneohe","HI",21.41345,-157.80575
"96701","Aiea","HI",21.389167,-157.93091
"96703","Anahola","HI",22.148133,-159.31765
"96704","Captain Cook","HI",19.307543,-155.88338
"96705","Eleele","HI",21.910767,-159.58222
"96706","Ewa Beach","HI",21.338055,-158.02499
"96707","Kapolei","HI",21.345535,-158.08587
"96708","Haiku","HI",20.899634,-156.27315
"96709","Kapolei","HI",23.573339,-164.701172
"96710","Hakalau","HI",19.857045,-155.15249
"96712","Haleiwa","HI",21.630633,-158.07448
"96713","Hana","HI",20.739217,-156.03893
"96714","Hanalei","HI",22.208401,-159.4896
"96715","Hanamaulu","HI",21.979991,-159.512392
"96716","Hanapepe","HI",21.917153,-159.59407
"96717","Hauula","HI",21.60625,-157.90949
"96718","Hawaii National Park","HI",19.435739,-155.26648
"96719","Hawi","HI",20.241109,-155.84459
"96720","Hilo","HI",19.713562,-155.09842
"96721","Hilo","HI",19.593456,-155.438015
"96722","Princeville","HI",22.223635,-159.49025
"96725","Holualoa","HI",19.410727,-155.7478
"96726","Honaunau","HI",19.278298,-155.845329
"96727","Honokaa","HI",20.089087,-155.51679
"96728","Honomu","HI",19.866007,-155.12172
"96729","Hoolehua","HI",21.168775,-157.08588
"96730","Kaaawa","HI",21.554467,-157.85108
"96731","Kahuku","HI",21.68762,-157.95903
"96732","Kahului","HI",20.883951,-156.46579
"96733","Kahului","HI",20.866638,-156.646667
"96734","Kailua","HI",21.3949,-157.74529
"96737","Ocean View","HI",19.101978,-155.76114
"96738","Waikoloa","HI",19.947774,-155.78634
"96739","Keauhou","HI",19.593456,-155.438015
"96740","Kailua Kona","HI",19.675386,-155.97588
"96741","Kalaheo","HI",21.999721,-159.4776
"96742","Kalaupapa","HI",21.191665,-156.9818
"96743","Kamuela","HI",20.040191,-155.69999
"96744","Kaneohe","HI",21.501854,-157.87926
"96745","Kailua Kona","HI",19.593456,-155.438015
"96746","Kapaa","HI",22.077472,-159.34463
"96747","Kaumakani","HI",21.920292,-159.62428
"96748","Kaunakakai","HI",21.111246,-156.9741
"96749","Keaau","HI",19.625495,-155.01121
"96750","Kealakekua","HI",19.526845,-155.9215
"96751","Kealia","HI",22.111837,-159.31283
"96752","Kekaha","HI",21.97313,-159.71766
"96753","Kihei","HI",20.771418,-156.45769
"96754","Kilauea","HI",22.212733,-159.40787
"96755","Kapaau","HI",20.222668,-155.78664
"96756","Koloa","HI",21.910013,-159.48044
"96757","Kualapuu","HI",21.156174,-157.03622
"96759","Kunia","HI",21.4603,-158.06446
"96760","Kurtistown","HI",19.5604,-155.05686
"96761","Lahaina","HI",20.913335,-156.65765
"96762","Laie","HI",21.6485,-157.92556
"96763","Lanai City","HI",20.823607,-156.9274
"96764","Laupahoehoe","HI",19.983584,-155.25963
"96765","Lawai","HI",21.930922,-159.499342
"96766","Lihue","HI",21.98081,-159.37746
"96767","Lahaina","HI",20.866638,-156.646667
"96768","Makawao","HI",20.865115,-156.33158
"96769","Makaweli","HI",21.946244,-159.65981
"96770","Maunaloa","HI",21.15058,-157.1977
"96771","Mountain View","HI",19.516132,-155.11305
"96772","Naalehu","HI",19.110687,-155.58738
"96773","Ninole","HI",19.942301,-155.18112
"96774","Ookala","HI",19.996769,-155.31153
"96775","Paauhau","HI",19.593456,-155.438015
"96776","Paauilo","HI",20.022513,-155.37514
"96777","Pahala","HI",19.226749,-155.49217
"96778","Pahoa","HI",19.494625,-154.9266
"96779","Paia","HI",20.906999,-156.38202
"96780","Papaaloa","HI",19.946758,-155.2086
"96781","Papaikou","HI",19.800318,-155.10649
"96782","Pearl City","HI",21.408333,-157.9669
"96783","Pepeekeo","HI",19.843259,-155.10548
"96784","Puunene","HI",20.866638,-156.646667
"96785","Volcano","HI",19.447717,-155.21012
"96786","Wahiawa","HI",21.501722,-158.03543
"96788","Pukalani","HI",20.855864,-156.325923
"96789","Mililani","HI",21.459206,-158.0116
"96790","Kula","HI",20.724391,-156.34031
"96791","Waialua","HI",21.572131,-158.13489
"96792","Waianae","HI",21.434246,-158.17092
"96793","Wailuku","HI",20.889294,-156.50497
"96795","Waimanalo","HI",21.33743,-157.70599
"96796","Waimea","HI",21.997746,-159.7187
"96797","Waipahu","HI",21.403487,-158.01389
"96801","Honolulu","HI",24.859832,-168.021815
"96802","Honolulu","HI",24.859832,-168.021815
"96803","Honolulu","HI",24.859832,-168.021815
"96804","Honolulu","HI",24.859832,-168.021815
"96805","Honolulu","HI",24.859832,-168.021815
"96806","Honolulu","HI",24.859832,-168.021815
"96807","Honolulu","HI",24.859832,-168.021815
"96808","Honolulu","HI",24.859832,-168.021815
"96809","Honolulu","HI",24.859832,-168.021815
"96810","Honolulu","HI",24.859832,-168.021815
"96811","Honolulu","HI",24.859832,-168.021815
"96812","Honolulu","HI",24.859832,-168.021815
"96813","Honolulu","HI",21.313033,-157.85615
"96814","Honolulu","HI",21.300167,-157.84777
"96815","Honolulu","HI",21.2782,-157.82199
"96816","Honolulu","HI",21.284,-157.79925
"96817","Honolulu","HI",21.3307,-157.85913
"96818","Honolulu","HI",21.36425,-157.96316
"96819","Honolulu","HI",21.3452,-157.88165
"96820","Honolulu","HI",24.859832,-168.021815
"96821","Honolulu","HI",21.287967,-157.75456
"96822","Honolulu","HI",21.31275,-157.82195
"96823","Honolulu","HI",24.859832,-168.021815
"96824","Honolulu","HI",24.859832,-168.021815
"96825","Honolulu","HI",21.2946,-157.69721
"96826","Honolulu","HI",21.2951,-157.83066
"96827","Honolulu","HI",24.859832,-168.021815
"96828","Honolulu","HI",24.859832,-168.021815
"96830","Honolulu","HI",24.859832,-168.021815
"96835","Honolulu","HI",24.859832,-168.021815
"96836","Honolulu","HI",24.859832,-168.021815
"96837","Honolulu","HI",24.859832,-168.021815
"96838","Honolulu","HI",24.859832,-168.021815
"96839","Honolulu","HI",24.859832,-168.021815
"96840","Honolulu","HI",24.859832,-168.021815
"96841","Honolulu","HI",24.859832,-168.021815
"96842","Honolulu","HI",24.859832,-168.021815
"96843","Honolulu","HI",24.859832,-168.021815
"96844","Honolulu","HI",24.859832,-168.021815
"96845","Honolulu","HI",24.859832,-168.021815
"96846","Honolulu","HI",24.859832,-168.021815
"96847","Honolulu","HI",24.859832,-168.021815
"96848","Honolulu","HI",24.859832,-168.021815
"96849","Honolulu","HI",24.859832,-168.021815
"96850","Honolulu","HI",24.859832,-168.021815
"96853","Hickam AFB","HI",24.859832,-168.021815
"96854","Wheeler Army Airfield","HI",24.859832,-168.021815
"96857","Schofield Barracks","HI",24.859832,-168.021815
"96858","Fort Shafter","HI",24.859832,-168.021815
"96859","Tripler Army Medical Ctr","HI",24.859832,-168.021815
"96860","Pearl Harbor","HI",24.859832,-168.021815
"96861","Camp H M Smith","HI",24.859832,-168.021815
"96862","Barbers Point N A S","HI",21.3017,-158.08174
"96863","M C B H Kaneohe Bay","HI",21.439867,-157.74772
"96885","Volcano","HI",19.433152,-155.238743
"96898","Wake Island","HI",24.859832,-168.021815
