"zip","city","state","latitude","longitude"
"50001","Ackworth","IA",41.363615,-93.41494
"50002","Adair","IA",41.507565,-94.64805
"50003","Adel","IA",41.612628,-94.03587
"50005","Albion","IA",42.116477,-93.00357
"50006","Alden","IA",42.50767,-93.40082
"50007","Alleman","IA",41.804875,-93.60475
"50008","Allerton","IA",40.688451,-93.37907
"50009","Altoona","IA",41.644716,-93.46641
"50010","Ames","IA",42.02933,-93.60966
"50011","Ames","IA",42.035998,-93.465172
"50012","Ames","IA",42.023557,-93.648465
"50013","Ames","IA",42.023535,-93.640818
"50014","Ames","IA",42.033235,-93.66741
"50015","Ankeny","IA",41.672687,-93.572173
"50020","Anita","IA",41.445635,-94.75806
"50021","Ankeny","IA",41.725288,-93.60475
"50022","Atlantic","IA",41.410484,-95.00852
"50023","Ankeny","IA",41.71,-93.62
"50025","Audubon","IA",41.741295,-94.92781
"50026","Bagley","IA",41.853498,-94.43912
"50027","Barnes City","IA",41.472488,-92.46899
"50028","Baxter","IA",41.820644,-93.14743
"50029","Bayard","IA",41.845871,-94.55588
"50031","Beaver","IA",42.038746,-94.143566
"50032","Berwick","IA",41.666513,-93.53916
"50033","Bevington","IA",41.360357,-93.79219
"50034","Blairsburg","IA",42.490439,-93.64187
"50035","Bondurant","IA",41.704455,-93.46171
"50036","Boone","IA",42.074515,-93.87437
"50037","Boone","IA",42.036552,-93.931686
"50038","Booneville","IA",41.519724,-93.90483
"50039","Bouton","IA",41.830156,-94.01444
"50040","Boxholm","IA",42.174905,-94.10552
"50041","Bradford","IA",42.632923,-93.2459
"50042","Brayton","IA",41.534416,-94.90323
"50043","Buckeye","IA",42.417866,-93.375544
"50044","Bussey","IA",41.202354,-92.88621
"50046","Cambridge","IA",41.89949,-93.5311
"50047","Carlisle","IA",41.491089,-93.48058
"50048","Casey","IA",41.514342,-94.52139
"50049","Chariton","IA",41.02891,-93.29857
"50050","Churdan","IA",42.16372,-94.50771
"50051","Clemons","IA",42.13644,-93.14222
"50052","Clio","IA",40.639737,-93.45615
"50054","Colfax","IA",41.682808,-93.23591
"50055","Collins","IA",41.880967,-93.29691
"50056","Colo","IA",42.011477,-93.31293
"50057","Columbia","IA",41.185045,-93.1683
"50058","Coon Rapids","IA",41.87131,-94.6884
"50059","Cooper","IA",41.919495,-94.34518
"50060","Corydon","IA",40.756632,-93.31527
"50061","Cumming","IA",41.491203,-93.78537
"50062","Dallas","IA",41.23022,-93.23904
"50063","Dallas Center","IA",41.687847,-93.94852
"50064","Dana","IA",42.114858,-94.23112
"50065","Davis City","IA",40.623677,-93.80106
"50066","Dawson","IA",41.827287,-94.21237
"50067","Decatur","IA",40.734072,-93.85169
"50068","Derby","IA",40.937432,-93.45659
"50069","De Soto","IA",41.53106,-94.00842
"50070","Dexter","IA",41.488275,-94.23785
"50071","Dows","IA",42.653654,-93.50761
"50072","Earlham","IA",41.468077,-94.12488
"50073","Elkhart","IA",41.792118,-93.52595
"50074","Ellston","IA",40.852515,-94.07546
"50075","Ellsworth","IA",42.325266,-93.56507
"50076","Exira","IA",41.592497,-94.87032
"50078","Ferguson","IA",41.93746,-92.865
"50099","Boone","IA",42.05,-93.88
"50101","Galt","IA",42.682176,-93.61472
"50102","Garden City","IA",42.24489,-93.39783
"50103","Garden Grove","IA",40.801638,-93.60711
"50104","Gibson","IA",41.472819,-92.3841
"50105","Gilbert","IA",42.110624,-93.64504
"50106","Gilman","IA",41.87955,-92.79387
"50107","Grand Junction","IA",42.036623,-94.21948
"50108","Grand River","IA",40.834902,-93.95414
"50109","Granger","IA",41.759988,-93.81486
"50110","Gray","IA",41.84115,-94.9812
"50111","Grimes","IA",41.67822,-93.7935
"50112","Grinnell","IA",41.736434,-92.72123
"50115","Guthrie Center","IA",41.690084,-94.52602
"50116","Hamilton","IA",41.17969,-92.94775
"50117","Hamlin","IA",41.671777,-94.84924
"50118","Hartford","IA",41.457014,-93.39078
"50119","Harvey","IA",41.313748,-92.93875
"50120","Haverhill","IA",41.940175,-92.96979
"50122","Hubbard","IA",42.30884,-93.31162
"50123","Humeston","IA",40.854525,-93.49863
"50124","Huxley","IA",41.893335,-93.59844
"50125","Indianola","IA",41.354068,-93.57506
"50126","Iowa Falls","IA",42.515426,-93.26217
"50127","Ira","IA",41.777174,-93.21383
"50128","Jamaica","IA",41.855913,-94.29981
"50129","Jefferson","IA",42.017677,-94.37939
"50130","Jewell","IA",42.302683,-93.65232
"50131","Johnston","IA",41.674757,-93.71865
"50132","Kamrar","IA",42.393155,-93.70867
"50133","Kellerton","IA",40.70332,-94.08143
"50134","Kelley","IA",41.949947,-93.6648
"50135","Kellogg","IA",41.736358,-92.89481
"50136","Keswick","IA",41.463624,-92.26841
"50137","Killduff","IA",41.607887,-92.90573
"50138","Knoxville","IA",41.307595,-93.10226
"50139","Lacona","IA",41.182964,-93.36927
"50140","Lamoni","IA",40.630919,-93.94857
"50141","Laurel","IA",41.88053,-92.95464
"50142","Le Grand","IA",42.00533,-92.77525
"50143","Leighton","IA",41.324195,-92.80631
"50144","Leon","IA",40.736802,-93.74273
"50145","Liberty Center","IA",41.203946,-93.50069
"50146","Linden","IA",41.668493,-94.26066
"50147","Lineville","IA",40.60243,-93.52778
"50148","Liscomb","IA",42.187863,-93.00381
"50149","Lorimor","IA",41.137674,-94.08042
"50150","Lovilia","IA",41.120845,-92.93572
"50151","Lucas","IA",41.06058,-93.49076
"50152","Luther","IA",41.967091,-93.82106
"50153","Lynnville","IA",41.573516,-92.79458
"50154","McCallsburg","IA",42.168307,-93.39718
"50155","Macksburg","IA",41.210955,-94.18994
"50156","Madrid","IA",41.877415,-93.79925
"50157","Malcom","IA",41.7388,-92.56155
"50158","Marshalltown","IA",42.042506,-92.90646
"50160","Martensdale","IA",41.373193,-93.74093
"50161","Maxwell","IA",41.86625,-93.40134
"50162","Melbourne","IA",41.939663,-93.07114
"50163","Melcher","IA",41.242194,-93.173193
"50164","Menlo","IA",41.504978,-94.4065
"50165","Millerton","IA",40.847504,-93.30502
"50166","Milo","IA",41.283703,-93.41399
"50167","Minburn","IA",41.750745,-94.04659
"50168","Mingo","IA",41.780089,-93.26916
"50169","Mitchellville","IA",41.661112,-93.35327
"50170","Monroe","IA",41.528347,-93.10517
"50171","Montezuma","IA",41.581309,-92.53946
"50173","Montour","IA",41.980296,-92.711
"50174","Murray","IA",41.039527,-93.95498
"50177","Grinnell","IA",41.685742,-92.532032
"50197","Knoxville","IA",41.334549,-93.099205
"50198","Knoxville","IA",41.334549,-93.099205
"50201","Nevada","IA",42.026021,-93.4484
"50206","New Providence","IA",42.250902,-93.2007
"50207","New Sharon","IA",41.445018,-92.64823
"50208","Newton","IA",41.702148,-93.04467
"50210","New Virginia","IA",41.193148,-93.71388
"50211","Norwalk","IA",41.470726,-93.68225
"50212","Ogden","IA",42.045766,-94.0443
"50213","Osceola","IA",41.031309,-93.77004
"50214","Otley","IA",41.456325,-93.0738
"50216","Panora","IA",41.701873,-94.36488
"50217","Paton","IA",42.17191,-94.25943
"50218","Patterson","IA",41.348815,-93.88068
"50219","Pella","IA",41.411394,-92.91126
"50220","Perry","IA",41.846679,-94.10961
