"zip","city","state","latitude","longitude"
"83120","Freedom","ID",43.001889,-111.0932
"83201","Pocatello","ID",42.883214,-112.43968
"83202","Pocatello","ID",42.96866,-112.43182
"83203","Fort Hall","ID",43.040466,-112.48638
"83204","Pocatello","ID",42.847727,-112.50329
"83205","Pocatello","ID",42.80616,-112.410283
"83206","Pocatello","ID",42.639474,-112.313836
"83209","Pocatello","ID",42.639474,-112.313836
"83210","Aberdeen","ID",42.97228,-112.83218
"83211","American Falls","ID",42.75159,-112.91931
"83212","Arbon","ID",42.514471,-112.54626
"83213","Arco","ID",43.65183,-113.31639
"83214","Arimo","ID",42.539952,-112.23971
"83215","Atomic City","ID",43.442618,-112.81316
"83217","Bancroft","ID",42.768812,-111.87207
"83218","Basalt","ID",43.317823,-112.16356
"83220","Bern","ID",42.339083,-111.37641
"83221","Blackfoot","ID",43.211238,-112.39454
"83223","Bloomington","ID",42.188641,-111.40853
"83226","Challis","ID",44.53742,-114.18803
"83227","Clayton","ID",44.20719,-114.5981
"83228","Clifton","ID",42.213131,-112.01429
"83229","Cobalt","ID",44.968059,-113.816735
"83230","Conda","ID",42.719102,-111.596651
"83232","Dayton","ID",42.129892,-111.97605
"83233","Dingle","ID",42.177359,-111.217381
"83234","Downey","ID",42.43627,-112.11647
"83235","Ellis","ID",44.633935,-113.99217
"83236","Firth","ID",43.287888,-112.12765
"83237","Franklin","ID",42.021688,-111.79977
"83238","Geneva","ID",42.324873,-111.09002
"83239","Georgetown","ID",42.483479,-111.35333
"83241","Grace","ID",42.525021,-111.7509
"83243","Holbrook","ID",42.217418,-112.64211
"83244","Howe","ID",43.854175,-113.04362
"83245","Inkom","ID",42.79471,-112.23562
"83246","Lava Hot Springs","ID",42.616477,-112.01889
"83250","McCammon","ID",42.659404,-112.21484
"83251","Mackay","ID",43.969772,-113.74907
"83252","Malad City","ID",42.192579,-112.32902
"83253","May","ID",44.486997,-113.80293
"83254","Montpelier","ID",42.327996,-111.32637
"83255","Moore","ID",43.774709,-113.45086
"83256","Moreland","ID",43.222648,-112.442253
"83261","Paris","ID",42.22771,-111.39651
"83262","Pingree","ID",43.115708,-112.59511
"83263","Preston","ID",42.165399,-111.82369
"83271","Rockland","ID",42.542266,-112.84484
"83272","Saint Charles","ID",42.127915,-111.3922
"83274","Shelley","ID",43.366017,-112.11712
