"zip","city","state","latitude","longitude"
"52761","Muscatine","IL",41.413372,-91.00612
"60001","Alden","IL",42.324761,-88.452481
"60002","Antioch","IL",42.46617,-88.09995
"60004","Arlington Heights","IL",42.108428,-87.97723
"60005","Arlington Heights","IL",42.069327,-87.98464
"60006","Arlington Heights","IL",41.811929,-87.68732
"60007","Elk Grove Village","IL",42.005978,-87.99847
"60008","Rolling Meadows","IL",42.07506,-88.02508
"60009","Elk Grove Village","IL",41.811929,-87.68732
"60010","Barrington","IL",42.160791,-88.15231
"60011","Barrington","IL",42.322814,-87.610053
"60012","Crystal Lake","IL",42.265643,-88.31664
"60013","Cary","IL",42.217523,-88.24338
"60014","Crystal Lake","IL",42.226623,-88.33066
"60015","Deerfield","IL",42.169325,-87.86556
"60016","Des Plaines","IL",42.047178,-87.89058
"60017","Des Plaines","IL",42.028779,-87.894366
"60018","Des Plaines","IL",42.008429,-87.89234
"60019","Des Plaines","IL",42.024278,-87.907066
"60020","Fox Lake","IL",42.409445,-88.17822
"60021","Fox River Grove","IL",42.194946,-88.21676
"60022","Glencoe","IL",42.130976,-87.76252
"60025","Glenview","IL",42.07672,-87.81922
"60026","Glenview Nas","IL",41.811929,-87.68732
"60029","Golf","IL",42.056529,-87.79286
"60030","Grayslake","IL",42.338955,-88.03433
"60031","Gurnee","IL",42.375821,-87.93517
"60033","Harvard","IL",42.424338,-88.61431
"60034","Hebron","IL",42.468318,-88.43125
"60035","Highland Park","IL",42.181875,-87.80956
"60037","Fort Sheridan","IL",42.21196,-87.80808
"60038","Palatine","IL",42.097976,-88.014072
"60039","Crystal Lake","IL",42.324761,-88.452481
"60040","Highwood","IL",42.205724,-87.81421
"60041","Ingleside","IL",42.372721,-88.15303
"60042","Island Lake","IL",42.277691,-88.20074
"60043","Kenilworth","IL",42.088128,-87.716
"60044","Lake Bluff","IL",42.286222,-87.86309
"60045","Lake Forest","IL",42.238087,-87.86093
"60046","Lake Villa","IL",42.410687,-88.05462
"60047","Lake Zurich","IL",42.199957,-88.05859
"60048","Libertyville","IL",42.290922,-87.95169
"60049","Long Grove","IL",42.198674,-88.041875
"60050","Mchenry","IL",42.348406,-88.24769
"60051","Mchenry","IL",42.324761,-88.452481
"60053","Morton Grove","IL",42.041999,-87.78882
"60054","McHenry","IL",42.35344,-88.260692
"60055","Palatine","IL",42.097976,-88.014072
"60056","Mount Prospect","IL",42.065427,-87.93621
"60060","Mundelein","IL",42.263623,-88.01172
"60061","Vernon Hills","IL",42.229856,-87.96779
"60062","Northbrook","IL",42.124576,-87.84303
"60064","North Chicago","IL",42.326072,-87.85202
"60065","Northbrook","IL",41.811929,-87.68732
"60067","Palatine","IL",42.10979,-88.04917
"60068","Park Ridge","IL",42.01183,-87.84158
"60069","Lincolnshire","IL",42.188074,-87.92717
"60070","Prospect Heights","IL",42.105576,-87.92816
"60071","Richmond","IL",42.464639,-88.3028
"60072","Ringwood","IL",42.405464,-88.30274
"60073","Round Lake","IL",42.366253,-88.09647
"60074","Palatine","IL",42.143819,-88.02546
"60075","Russell","IL",42.322814,-87.610053
"60076","Skokie","IL",42.03618,-87.7321
"60077","Skokie","IL",42.033313,-87.75764
"60078","Palatine","IL",41.811929,-87.68732
"60079","Waukegan","IL",42.322814,-87.610053
"60080","Solon Mills","IL",42.442519,-88.276047
"60081","Spring Grove","IL",42.441869,-88.22167
"60082","Techny","IL",42.116377,-87.812064
"60083","Wadsworth","IL",42.428187,-87.92935
"60084","Wauconda","IL",42.263181,-88.14328
"60085","Waukegan","IL",42.361271,-87.86187
"60086","North Chicago","IL",42.43335,-87.776595
"60087","Waukegan","IL",42.404272,-87.86525
"60088","Great Lakes","IL",42.312372,-87.85284
"60089","Buffalo Grove","IL",42.167638,-87.96393
"60090","Wheeling","IL",42.131526,-87.92958
"60091","Wilmette","IL",42.077178,-87.72373
"60092","Libertyville","IL",42.322814,-87.610053
"60093","Winnetka","IL",42.104127,-87.75016
"60094","Palatine","IL",41.811929,-87.68732
"60095","Palatine","IL",41.811929,-87.68732
"60096","Winthrop Harbor","IL",42.48067,-87.83018
"60097","Wonder Lake","IL",42.384504,-88.3495
"60098","Woodstock","IL",42.316121,-88.43884
"60099","Zion","IL",42.451371,-87.84862
"60101","Addison","IL",41.931573,-88.00222
"60102","Algonquin","IL",42.17315,-88.31849
"60103","Bartlett","IL",41.977477,-88.17257
"60104","Bellwood","IL",41.882924,-87.87642
"60105","Bensenville","IL",41.839679,-88.088716
"60106","Bensenville","IL",41.956479,-87.95117
"60107","Streamwood","IL",42.023977,-88.17657
"60108","Bloomingdale","IL",41.94954,-88.08256
"60109","Burlington","IL",42.052112,-88.54829
