"zip","city","state","latitude","longitude"
"46001","Alexandria","IN",40.257082,-85.673
"46011","Anderson","IN",40.112913,-85.737
"46012","Anderson","IN",40.132892,-85.65097
"46013","Anderson","IN",40.061092,-85.67672
"46014","Anderson","IN",40.161733,-85.719659
"46015","Anderson","IN",40.093792,-85.657825
"46016","Anderson","IN",40.098641,-85.68452
"46017","Anderson","IN",40.096343,-85.60147
"46018","Anderson","IN",40.161733,-85.719659
"46030","Arcadia","IN",40.17449,-86.01736
"46031","Atlanta","IN",40.211166,-86.02304
"46032","Carmel","IN",39.970241,-86.15416
"46033","Carmel","IN",39.973731,-86.08875
"46034","Cicero","IN",40.127019,-86.03121
"46035","Colfax","IN",40.1915,-86.67137
"46036","Elwood","IN",40.279375,-85.83761
"46037","Fishers","IN",39.96,-85.94
"46038","Fishers","IN",39.95645,-86.00872
"46039","Forest","IN",40.366648,-86.30867
"46040","Fortville","IN",39.93549,-85.84047
"46041","Frankfort","IN",40.290615,-86.5028
"46044","Frankton","IN",40.221208,-85.77612
"46045","Goldsmith","IN",40.289779,-86.15004
"46046","Hillisburg","IN",40.304473,-86.469044
"46047","Hobbs","IN",40.284101,-85.94676
"46048","Ingalls","IN",39.95634,-85.80252
"46049","Kempton","IN",40.292007,-86.22757
"46050","Kirklin","IN",40.196061,-86.35846
"46051","Lapel","IN",40.065589,-85.84631
"46052","Lebanon","IN",40.047966,-86.46592
"46055","McCordsville","IN",39.898378,-85.9159
"46056","Markleville","IN",39.974904,-85.61733
"46057","Michigantown","IN",40.333772,-86.38161
"46058","Mulberry","IN",40.349135,-86.66424
"46060","Noblesville","IN",40.050109,-85.99815
"46061","Noblesville","IN",40.072462,-86.052285
"46062","Noblesville","IN",40.05,-86.03
"46063","Orestes","IN",40.27046,-85.72871
"46064","Pendleton","IN",39.997694,-85.75075
"46065","Rossville","IN",40.427919,-86.61059
"46067","Sedalia","IN",40.304473,-86.469044
"46068","Sharpsville","IN",40.378829,-86.09362
"46069","Sheridan","IN",40.134736,-86.21885
"46070","Summitville","IN",40.340749,-85.64679
"46071","Thorntown","IN",40.126304,-86.60268
"46072","Tipton","IN",40.284041,-86.04681
"46074","Westfield","IN",40.041325,-86.15262
"46075","Whitestown","IN",40.007024,-86.34405
"46076","Windfall","IN",40.363776,-85.95074
"46077","Zionsville","IN",39.960858,-86.28252
"46082","Carmel","IN",40.072462,-86.052285
"46085","Fishers","IN",39.96,-86.01
"46102","Advance","IN",39.996577,-86.61928
"46103","Amo","IN",39.688673,-86.61409
"46104","Arlington","IN",39.649096,-85.60213
"46105","Bainbridge","IN",39.761986,-86.80492
"46106","Bargersville","IN",39.514024,-86.18812
"46107","Beech Grove","IN",39.718744,-86.09375
"46110","Boggstown","IN",39.56578,-85.92481
"46111","Brooklyn","IN",39.538087,-86.36991
"46112","Brownsburg","IN",39.84952,-86.38739
"46113","Camby","IN",39.631344,-86.31273
"46114","Cartersburg","IN",39.762448,-86.510386
"46115","Carthage","IN",39.740158,-85.57101
"46117","Charlottesville","IN",39.805933,-85.61514
"46118","Clayton","IN",39.65983,-86.53196
"46120","Cloverdale","IN",39.513388,-86.79169
"46121","Coatesville","IN",39.679883,-86.67849
"46122","Danville","IN",39.761211,-86.52344
"46123","Avon","IN",39.764436,-86.39699
"46124","Edinburgh","IN",39.366507,-85.9864
"46125","Eminence","IN",39.522181,-86.64102
"46126","Fairland","IN",39.61753,-85.88003
"46127","Falmouth","IN",39.717457,-85.32737
"46128","Fillmore","IN",39.674879,-86.75256
"46129","Finly","IN",39.821516,-85.765169
"46130","Fountaintown","IN",39.680058,-85.83363
"46131","Franklin","IN",39.482105,-86.05043
"46133","Glenwood","IN",39.609926,-85.28428
"46135","Greencastle","IN",39.652374,-86.87361
"46140","Greenfield","IN",39.799143,-85.78446
"46142","Greenwood","IN",39.62068,-86.15126
"46143","Greenwood","IN",39.601649,-86.12734
"46144","Gwynneville","IN",39.661964,-85.64945
"46145","Greenwood","IN",39.597444,-86.088914
"46146","Homer","IN",39.619923,-85.46554
"46147","Jamestown","IN",39.96354,-86.61733
"46148","Knightstown","IN",39.803168,-85.51553
"46149","Lizton","IN",39.885033,-86.54978
"46150","Manilla","IN",39.563815,-85.61239
"46151","Martinsville","IN",39.442774,-86.41337
"46154","Maxwell","IN",39.856763,-85.768357
"46155","Mays","IN",39.743346,-85.43035
"46156","Milroy","IN",39.484598,-85.47698
"46157","Monrovia","IN",39.561003,-86.53591
"46158","Mooresville","IN",39.588545,-86.37431
"46160","Morgantown","IN",39.351269,-86.26806
"46161","Morristown","IN",39.67083,-85.69786
"46162","Needham","IN",39.542985,-85.95928
