"zip","city","state","latitude","longitude"
"66002","Atchison","KS",39.553786,-95.13472
"66006","Baldwin City","KS",38.789719,-95.21058
"66007","Basehor","KS",39.145077,-94.94259
"66008","Bendena","KS",39.703642,-95.18541
"66010","Blue Mound","KS",38.102749,-95.0154
"66012","Bonner Springs","KS",39.065703,-94.90453
"66013","Bucyrus","KS",38.733271,-94.6957
"66014","Centerville","KS",38.226434,-94.98779
"66015","Colony","KS",38.067424,-95.40614
"66016","Cummings","KS",39.47305,-95.23992
"66017","Denton","KS",39.720911,-95.27417
"66018","De Soto","KS",38.961396,-94.97681
"66019","Clearview City","KS",38.94575,-95.00349
"66020","Easton","KS",39.331919,-95.11389
"66021","Edgerton","KS",38.762545,-95.00622
"66023","Effingham","KS",39.521275,-95.39413
"66024","Elwood","KS",39.756944,-94.87824
"66025","Eudora","KS",38.917032,-95.06455
"66026","Fontana","KS",38.404804,-94.85125
"66027","Fort Leavenworth","KS",39.348031,-94.93177
"66030","Gardner","KS",38.813839,-94.9265
"66031","New Century","KS",38.824863,-94.899201
"66032","Garnett","KS",38.278069,-95.25997
"66033","Greeley","KS",38.368325,-95.12925
"66035","Highland","KS",39.85881,-95.2569
"66036","Hillsdale","KS",38.658068,-94.852061
"66039","Kincaid","KS",38.088951,-95.17473
"66040","La Cygne","KS",38.35152,-94.73705
"66041","Lancaster","KS",39.589832,-95.31425
"66042","Lane","KS",38.442448,-95.09067
"66043","Lansing","KS",39.258624,-94.89859
"66044","Lawrence","KS",38.983551,-95.23202
"66045","Lawrence","KS",38.952526,-95.275623
"66046","Lawrence","KS",38.932303,-95.22513
"66047","Lawrence","KS",38.920649,-95.31219
"66048","Leavenworth","KS",39.298776,-94.93555
"66049","Lawrence","KS",38.97583,-95.30399
"66050","Lecompton","KS",39.025994,-95.43138
"66051","Olathe","KS",38.899901,-94.831991
"66052","Linwood","KS",39.01201,-95.06283
"66053","Louisburg","KS",38.602219,-94.68121
"66054","McLouth","KS",39.201274,-95.19892
"66056","Mound City","KS",38.141903,-94.82166
"66058","Muscotah","KS",39.548048,-95.52321
"66060","Nortonville","KS",39.415907,-95.32966
"66061","Olathe","KS",38.889784,-94.85558
"66062","Olathe","KS",38.860511,-94.77581
"66063","Olathe","KS",38.899901,-94.831991
"66064","Osawatomie","KS",38.489733,-94.96465
"66066","Oskaloosa","KS",39.214825,-95.32501
"66067","Ottawa","KS",38.614986,-95.27355
"66070","Ozawkie","KS",39.201834,-95.44963
