"zip","city","state","latitude","longitude"
"38079","Tiptonville","KY",36.513386,-89.50472
"40003","Bagdad","KY",38.279797,-85.03498
"40004","Bardstown","KY",37.81109,-85.46164
"40006","Bedford","KY",38.597624,-85.33889
"40007","Bethlehem","KY",38.452451,-85.00764
"40008","Bloomfield","KY",37.923734,-85.28257
"40009","Bradfordsville","KY",37.477192,-85.10175
"40010","Buckner","KY",38.366467,-85.45075
"40011","Campbellsburg","KY",38.53445,-85.17178
"40012","Chaplin","KY",37.905918,-85.21241
"40013","Coxs Creek","KY",37.928563,-85.49036
"40014","Crestwood","KY",38.335106,-85.4584
"40018","Eastwood","KY",38.22977,-85.66304
"40019","Eminence","KY",38.370336,-85.17208
"40020","Fairfield","KY",37.9348,-85.38765
"40022","Finchville","KY",38.147801,-85.33158
"40023","Fisherville","KY",38.182772,-85.43238
"40025","Glenview","KY",38.309597,-85.643359
"40026","Goshen","KY",38.411964,-85.57066
"40027","Harrods Creek","KY",38.329718,-85.63299
"40031","La Grange","KY",38.407833,-85.38475
"40032","La Grange","KY",38.40464,-85.460504
"40033","Lebanon","KY",37.565894,-85.25148
"40036","Lockport","KY",38.434443,-84.96898
"40037","Loretto","KY",37.652712,-85.41337
"40040","Mackville","KY",37.742806,-85.05564
"40041","Masonic Home","KY",38.25361,-85.662215
"40045","Milton","KY",38.702793,-85.37187
"40046","Mount Eden","KY",38.026767,-85.1869
"40047","Mount Washington","KY",38.045982,-85.55467
"40048","Nazareth","KY",37.756941,-85.44671
"40049","Nerinx","KY",37.660251,-85.393204
"40050","New Castle","KY",38.435604,-85.17658
"40051","New Haven","KY",37.656291,-85.58099
"40052","New Hope","KY",37.585365,-85.50817
"40053","Pewee Valley","KY",37.7604,-85.447393
"40055","Pendleton","KY",38.495454,-85.33839
"40056","Pewee Valley","KY",38.308109,-85.48714
"40057","Pleasureville","KY",38.386916,-85.06609
"40058","Port Royal","KY",38.433076,-85.17111
"40059","Prospect","KY",38.350915,-85.60042
"40060","Raywick","KY",37.533395,-85.43588
"40061","Saint Catharine","KY",37.773962,-85.201068
"40062","Saint Francis","KY",37.590699,-85.45004
"40063","Saint Mary","KY",37.579519,-85.355132
"40065","Shelbyville","KY",38.211511,-85.21658
"40066","Shelbyville","KY",38.197268,-85.212156
"40067","Simpsonville","KY",38.210818,-85.36122
"40068","Smithfield","KY",38.400619,-85.27741
"40069","Springfield","KY",37.702418,-85.22257
"40070","Sulphur","KY",38.486325,-85.27425
"40071","Taylorsville","KY",38.045406,-85.36427
"40075","Turners Station","KY",38.552133,-85.101879
"40076","Waddy","KY",38.122088,-85.06677
"40077","Westport","KY",38.491982,-85.4722
"40078","Willisburg","KY",37.840066,-85.12572
"40080","Fairfield","KY",37.93388,-85.385382
"40081","Crestwood","KY",38.3386,-85.492459
"40104","Battletown","KY",38.087303,-86.35414
"40106","Big Spring","KY",37.788538,-86.231194
"40107","Boston","KY",37.768921,-85.65602
"40108","Brandenburg","KY",37.973094,-86.11831
"40109","Brooks","KY",38.062515,-85.73559
"40110","Clermont","KY",37.93462,-85.65545
"40111","Cloverport","KY",37.816771,-86.63448
"40115","Custer","KY",37.753533,-86.21654
"40117","Ekron","KY",37.915077,-86.14434
"40118","Fairdale","KY",38.106135,-85.75362
"40119","Falls Of Rough","KY",37.600179,-86.52846
"40121","Fort Knox","KY",37.895491,-85.9662
"40122","Fort Knox","KY",37.89,-85.96
"40129","Hillview","KY",38.07,-85.67
"40140","Garfield","KY",37.675627,-86.23001
"40142","Guston","KY",37.894075,-86.20383
"40143","Hardinsburg","KY",37.777083,-86.48345
"40144","Harned","KY",37.750101,-86.39972
"40145","Hudson","KY",37.652706,-86.3173
"40146","Irvington","KY",37.88108,-86.31377
"40150","Lebanon Junction","KY",37.849334,-85.73269
"40152","McDaniels","KY",37.61966,-86.45078
"40153","McQuady","KY",37.802295,-86.414768
"40155","Muldraugh","KY",37.937825,-85.99137
"40157","Payneville","KY",38.028543,-86.38511
"40159","Radcliff","KY",37.723474,-85.976854
"40160","Radcliff","KY",37.828459,-85.93888
"40161","Rhodelia","KY",38.005963,-86.398391
"40162","Rineyville","KY",37.756775,-86.00073
"40164","Se Ree","KY",37.670928,-86.39204
"40165","Shepherdsville","KY",37.997938,-85.69667
"40170","Stephensport","KY",37.965908,-86.49255
"40171","Union Star","KY",37.969766,-86.43079
"40175","Vine Grove","KY",37.826822,-86.00692
"40176","Webster","KY",37.934279,-86.34869
"40177","West Point","KY",37.997957,-85.94452
"40178","Westview","KY",37.647315,-86.40623
"40179","West Point","KY",37.998628,-85.946585
