"zip","city","state","latitude","longitude"
"70000","Laplace","LA",30.08677,-90.513522
"70001","Metairie","LA",29.984096,-90.16902
"70002","Metairie","LA",30.011517,-90.16245
"70003","Metairie","LA",29.997168,-90.2138
"70004","Metairie","LA",29.677893,-90.0901
"70005","Metairie","LA",29.999453,-90.13398
"70006","Metairie","LA",30.013985,-90.19128
"70009","Metairie","LA",29.677893,-90.0901
"70010","Metairie","LA",29.677893,-90.0901
"70011","Metairie","LA",29.677893,-90.0901
"70021","Jefferson","LA",29.960375,-90.156143
"70030","Des Allemands","LA",29.810193,-90.44769
"70031","Ama","LA",29.942703,-90.29969
"70032","Arabi","LA",29.958802,-89.99902
"70033","Metairie","LA",29.677893,-90.0901
"70036","Barataria","LA",29.715795,-90.12419
"70037","Belle Chasse","LA",29.822707,-90.00616
"70038","Boothville","LA",29.307982,-89.38007
"70039","Boutte","LA",29.900075,-90.38655
"70040","Braithwaite","LA",29.749706,-89.94043
"70041","Buras","LA",29.351783,-89.51381
"70042","Carlisle","LA",29.380066,-89.477464
"70043","Chalmette","LA",29.946404,-89.96118
"70044","Chalmette","LA",29.96765,-89.951441
"70046","Davant","LA",29.61829,-89.872599
"70047","Destrehan","LA",29.969128,-90.37563
"70048","Reserve","LA",30.071155,-90.546138
"70049","Edgard","LA",30.033974,-90.5538
"70050","Empire","LA",29.384033,-89.59696
"70051","Garyville","LA",30.058276,-90.61738
"70052","Gramercy","LA",30.053907,-90.68915
"70053","Gretna","LA",29.915355,-90.05335
"70054","Gretna","LA",29.677893,-90.0901
"70055","Metairie","LA",29.677893,-90.0901
"70056","Gretna","LA",29.894261,-90.03072
"70057","Hahnville","LA",29.967081,-90.41012
"70058","Harvey","LA",29.878578,-90.06903
"70059","Harvey","LA",29.677893,-90.0901
"70060","Metairie","LA",29.677893,-90.0901
"70062","Kenner","LA",29.991051,-90.2469
"70063","Kenner","LA",29.677893,-90.0901
"70064","Kenner","LA",29.677893,-90.0901
"70065","Kenner","LA",30.022853,-90.25133
"70066","Killona","LA",29.999471,-90.48708
"70067","Lafitte","LA",29.652752,-90.1012
"70068","La Place","LA",30.073941,-90.48516
"70069","La Place","LA",30.091158,-90.483189
