"zip","city","state","latitude","longitude"
"01001","Agawam","MA",42.07061,-72.62029
"01002","Amherst","MA",42.377651,-72.50323
"01003","Amherst","MA",42.369562,-72.63599
"01004","Amherst","MA",42.384494,-72.513183
"01005","Barre","MA",42.412094,-72.10443
"01007","Belchertown","MA",42.278424,-72.411
"01008","Blandford","MA",42.174313,-72.94828
"01009","Bondsville","MA",42.206092,-72.340486
"01010","Brimfield","MA",42.126038,-72.20552
"01011","Chester","MA",42.271442,-73.01958
"01012","Chesterfield","MA",42.390836,-72.84356
"01013","Chicopee","MA",42.161492,-72.60316
"01014","Chicopee","MA",42.170731,-72.604842
"01020","Chicopee","MA",42.175992,-72.57265
"01021","Chicopee","MA",42.170731,-72.604842
"01022","Chicopee","MA",42.196666,-72.55606
"01026","Cummington","MA",42.465041,-72.91813
"01027","Easthampton","MA",42.27279,-72.68677
"01028","East Longmeadow","MA",42.066795,-72.5102
"01029","East Otis","MA",42.175896,-73.04204
"01030","Feeding Hills","MA",42.070774,-72.67248
"01031","Gilbertville","MA",42.33071,-72.18833
"01032","Goshen","MA",42.45792,-72.81551
"01033","Granby","MA",42.254563,-72.51831
"01034","Granville","MA",42.086224,-72.94464
"01035","Hadley","MA",42.35549,-72.5733
"01036","Hampden","MA",42.064703,-72.41735
"01037","Hardwick","MA",42.374202,-72.19524
"01038","Hatfield","MA",42.375155,-72.60832
"01039","Haydenville","MA",42.381475,-72.69259
"01040","Holyoke","MA",42.201891,-72.6242
"01041","Holyoke","MA",42.170731,-72.604842
"01050","Huntington","MA",42.290209,-72.87942
"01053","Leeds","MA",42.353105,-72.70206
"01054","Leverett","MA",42.479839,-72.49879
"01056","Ludlow","MA",42.174893,-72.47068
"01057","Monson","MA",42.089269,-72.317
"01059","North Amherst","MA",42.369562,-72.63599
"01060","Northampton","MA",42.324539,-72.63561
"01061","Northampton","MA",42.369562,-72.63599
"01062","Florence","MA",42.324232,-72.67915
"01063","Northampton","MA",42.317939,-72.640234
"01066","North Hatfield","MA",42.406697,-72.633901
"01068","Oakham","MA",42.349769,-72.04413
"01069","Palmer","MA",42.176401,-72.32646
"01070","Plainfield","MA",42.515853,-72.91661
"01071","Russell","MA",42.165931,-72.85153
"01072","Shutesbury","MA",42.486027,-72.42208
"01073","Southampton","MA",42.223885,-72.72777
"01074","South Barre","MA",42.375998,-72.149388
"01075","South Hadley","MA",42.234891,-72.58243
"01077","Southwick","MA",42.05283,-72.76966
"01079","Thorndike","MA",42.192892,-72.329574
"01080","Three Rivers","MA",42.180563,-72.36518
"01081","Wales","MA",42.058024,-72.22517
