"zip","city","state","latitude","longitude"
"20588","Dhs","MD",38.74,-76.85
"20601","Waldorf","MD",38.634306,-76.86008
"20602","Waldorf","MD",38.598185,-76.90381
"20603","Waldorf","MD",38.631542,-76.95723
"20604","Waldorf","MD",38.509548,-76.981651
"20606","Abell","MD",38.250996,-76.73974
"20607","Accokeek","MD",38.672216,-77.01807
"20608","Aquasco","MD",38.564649,-76.69229
"20609","Avenue","MD",38.268558,-76.75084
"20610","Barstow","MD",38.444727,-76.533026
"20611","Bel Alton","MD",38.463289,-76.9858
"20612","Benedict","MD",38.511147,-76.67864
"20613","Brandywine","MD",38.676968,-76.82215
"20615","Broomes Island","MD",38.416782,-76.54814
"20616","Bryans Road","MD",38.639117,-77.08301
"20617","Bryantown","MD",38.55223,-76.84477
"20618","Bushwood","MD",38.270124,-76.79155
"20619","California","MD",38.303103,-76.52231
"20620","Callaway","MD",38.226406,-76.51759
"20621","Chaptico","MD",38.330254,-76.80782
"20622","Charlotte Hall","MD",38.458322,-76.83947
"20623","Cheltenham","MD",38.748872,-76.83075
"20624","Clements","MD",38.330096,-76.73113
"20625","Cobb Island","MD",38.262468,-76.84951
"20626","Coltons Point","MD",38.229113,-76.75829
"20627","Compton","MD",38.276828,-76.703971
"20628","Dameron","MD",38.135718,-76.33865
"20629","Dowell","MD",38.334336,-76.4534
"20630","Drayden","MD",38.171834,-76.47437
"20632","Faulkner","MD",38.421787,-76.96182
"20634","Great Mills","MD",38.260846,-76.4985
"20635","Helen","MD",38.312112,-76.607676
"20636","Hollywood","MD",38.349517,-76.54839
"20637","Hughesville","MD",38.523408,-76.75435
"20639","Huntingtown","MD",38.601648,-76.60434
"20640","Indian Head","MD",38.593095,-77.15212
"20643","Ironsides","MD",38.503876,-77.148283
"20645","Issue","MD",38.30126,-76.91539
"20646","La Plata","MD",38.528103,-76.98063
"20650","Leonardtown","MD",38.269283,-76.64336
"20653","Lexington Park","MD",38.234838,-76.44889
"20656","Loveville","MD",38.359274,-76.683325
"20657","Lusby","MD",38.370044,-76.43328
"20658","Marbury","MD",38.567465,-77.16779
"20659","Mechanicsville","MD",38.427328,-76.72826
"20660","Morganza","MD",38.363994,-76.694102
"20661","Mount Victoria","MD",38.343591,-76.884559
"20662","Nanjemoy","MD",38.42029,-77.19479
"20664","Newburg","MD",38.343729,-76.92493
"20667","Park Hall","MD",38.2176,-76.4382
"20670","Patuxent River","MD",38.268636,-76.42383
"20674","Piney Point","MD",38.127843,-76.49055
"20675","Pomfret","MD",38.58215,-77.01739
"20676","Port Republic","MD",38.489163,-76.52937
"20677","Port Tobacco","MD",38.501493,-77.03169
"20678","Prince Frederick","MD",38.535116,-76.58432
"20680","Ridge","MD",38.112419,-76.36964
"20682","Rock Point","MD",38.283551,-76.848093
"20684","Saint Inigoes","MD",38.151666,-76.40512
"20685","Saint Leonard","MD",38.448869,-76.49776
"20686","Saint Marys City","MD",38.188796,-76.420738
"20687","Scotland","MD",38.064947,-76.3444
"20688","Solomons","MD",38.339176,-76.46568
"20689","Sunderland","MD",38.668765,-76.58648
"20690","Tall Timbers","MD",38.165432,-76.53284
"20692","Valley Lee","MD",38.179764,-76.50185
"20693","Welcome","MD",38.451267,-77.08955
"20695","White Plains","MD",38.593202,-76.97063
"20697","Southern Md Facility","MD",38.833563,-76.877743
"20701","Annapolis Junction","MD",39.127708,-76.7923
"20703","Lanham","MD",38.833563,-76.877743
"20704","Beltsville","MD",38.833563,-76.877743
"20705","Beltsville","MD",39.044509,-76.9133
"20706","Lanham","MD",38.964093,-76.85331
"20707","Laurel","MD",39.098475,-76.86571
"20708","Laurel","MD",39.0632,-76.84103
"20709","Laurel","MD",38.833563,-76.877743
"20710","Bladensburg","MD",38.941428,-76.93005
"20711","Lothian","MD",38.80884,-76.67236
"20712","Mount Rainier","MD",38.941594,-76.96369
"20714","North Beach","MD",38.711264,-76.53637
"20715","Bowie","MD",38.979413,-76.74382
"20716","Bowie","MD",38.93193,-76.72457
"20717","Bowie","MD",38.833563,-76.877743
"20718","Bowie","MD",38.833563,-76.877743
"20719","Bowie","MD",38.833563,-76.877743
"20720","Bowie","MD",38.986699,-76.78612
"20721","Bowie","MD",38.917506,-76.79404
"20722","Brentwood","MD",38.939716,-76.95203
"20723","Laurel","MD",39.134062,-76.8579
"20724","Laurel","MD",39.101646,-76.80334
"20725","Laurel","MD",38.833563,-76.877743
"20726","Laurel","MD",38.833563,-76.877743
"20731","Capitol Heights","MD",38.833563,-76.877743
"20732","Chesapeake Beach","MD",38.670858,-76.53652
"20733","Churchton","MD",38.801516,-76.52469
"20735","Clinton","MD",38.753264,-76.89913
"20736","Owings","MD",38.694074,-76.61793
"20737","Riverdale","MD",38.96146,-76.92056
"20738","Riverdale","MD",38.833563,-76.877743
"20740","College Park","MD",38.99756,-76.92577
"20741","College Park","MD",38.833563,-76.877743
"20742","College Park","MD",38.833563,-76.877743
"20743","Capitol Heights","MD",38.886812,-76.90645
"20744","Fort Washington","MD",38.756347,-76.99034
"20745","Oxon Hill","MD",38.80758,-76.99193
"20746","Suitland","MD",38.839663,-76.91478
"20747","District Heights","MD",38.855479,-76.88621
"20748","Temple Hills","MD",38.822163,-76.93974
"20749","Fort Washington","MD",38.833563,-76.877743
"20750","Oxon Hill","MD",38.833563,-76.877743
"20751","Deale","MD",38.786949,-76.55335
"20752","Suitland","MD",38.833563,-76.877743
"20753","District Heights","MD",38.833563,-76.877743
"20754","Dunkirk","MD",38.746123,-76.65117
"20755","Fort George G Meade","MD",39.105015,-76.74126
"20757","Temple Hills","MD",38.833563,-76.877743
"20758","Friendship","MD",38.731822,-76.59378
"20759","Fulton","MD",39.147257,-76.93799
"20762","Andrews Air Force Base","MD",38.820546,-76.88334
"20763","Savage","MD",39.137307,-76.82335
"20764","Shady Side","MD",38.839015,-76.5114
"20765","Galesville","MD",38.844097,-76.54795
"20768","Greenbelt","MD",38.833563,-76.877743
