"zip","city","state","latitude","longitude"
"03091","Berwick","ME",43.319125,-70.818318
"03097","Ogunquit","ME",43.269137,-70.598303
"03688","Lebanon","ME",43.341381,-70.955693
"03901","Berwick","ME",43.29016,-70.84559
"03902","Cape Neddick","ME",43.216251,-70.62856
"03903","Eliot","ME",43.135435,-70.79348
"03904","Kittery","ME",43.101538,-70.73611
"03905","Kittery Point","ME",43.08512,-70.69607
"03906","North Berwick","ME",43.327517,-70.7646
"03907","Ogunquit","ME",43.247931,-70.59952
"03908","South Berwick","ME",43.234782,-70.77876
"03909","York","ME",43.159537,-70.65239
"03910","York Beach","ME",43.211674,-70.73201
"03911","York Harbor","ME",43.155465,-70.635702
"04001","Acton","ME",43.548123,-70.93189
"04002","Alfred","ME",43.490939,-70.6884
"04003","Bailey Island","ME",43.730791,-69.99448
"04004","Bar Mills","ME",43.365658,-70.604379
"04005","Biddeford","ME",43.480704,-70.45871
"04006","Biddeford Pool","ME",43.436049,-70.3598
"04007","Biddeford","ME",43.45813,-70.505301
"04008","Bowdoinham","ME",44.023057,-69.88369
"04009","Bridgton","ME",44.059192,-70.72552
"04010","Brownfield","ME",43.938741,-70.90049
"04011","Brunswick","ME",43.8992,-69.95894
"04013","Bustins Island","ME",44.408078,-70.470703
"04014","Cape Porpoise","ME",43.365658,-70.604379
"04015","Casco","ME",43.952597,-70.51377
"04016","Center Lovell","ME",44.180965,-70.891727
"04017","Chebeague Island","ME",43.736628,-70.11522
"04019","Cliff Island","ME",43.696875,-70.09448
"04020","Cornish","ME",43.773606,-70.80878
"04021","Cumberland Center","ME",43.798251,-70.26554
"04022","Denmark","ME",43.969,-70.78804
"04024","East Baldwin","ME",43.823849,-70.68482
"04027","Lebanon","ME",43.403349,-70.91719
"04028","East Parsonfield","ME",43.732391,-70.845114
"04029","Sebago","ME",43.887356,-70.67755
"04030","East Waterboro","ME",43.585861,-70.6793
"04031","Raymond","ME",43.916912,-70.43911
"04032","Freeport","ME",43.843778,-70.10172
"04033","Freeport","ME",44.408078,-70.470703
"04034","Freeport","ME",44.408078,-70.470703
"04037","Fryeburg","ME",44.050856,-70.95648
"04038","Gorham","ME",43.697118,-70.46301
"04039","Gray","ME",43.879576,-70.3533
"04040","Harrison","ME",44.103892,-70.65327
"04041","Hiram","ME",43.871738,-70.83391
"04042","Hollis Center","ME",43.611238,-70.63265
"04043","Kennebunk","ME",43.38551,-70.54707
"04046","Kennebunkport","ME",43.399494,-70.4769
"04047","Parsonsfield","ME",43.755002,-70.8983
"04048","Limerick","ME",43.682791,-70.77178
"04049","Limington","ME",43.733814,-70.70263
"04050","Long Island","ME",43.692683,-70.15475
"04051","Lovell","ME",44.172276,-70.87231
"04053","Merepoint","ME",44.408078,-70.470703
"04054","Moody","ME",43.276341,-70.597752
"04055","Naples","ME",43.959974,-70.60312
"04056","Newfield","ME",43.658378,-70.868871
"04057","North Bridgton","ME",44.408078,-70.470703
"04061","North Waterboro","ME",43.643195,-70.73033
"04062","Windham","ME",43.810673,-70.41697
"04063","Ocean Park","ME",43.504889,-70.385703
"04064","Old Orchard Beach","ME",43.514864,-70.3856
"04065","Ellsworth","ME",44.540983,-68.423297
"04066","Orrs Island","ME",43.763403,-69.97038
"04068","Porter","ME",43.833831,-70.93094
"04069","Pownal","ME",43.912616,-70.17893
"04070","Scarborough","ME",43.576983,-70.273642
"04071","Raymond","ME",43.917206,-70.47233
"04072","Saco","ME",43.527322,-70.45171
"04073","Sanford","ME",43.426792,-70.75245
"04074","Scarborough","ME",43.583224,-70.35268
"04075","Sebago Lake","ME",43.796053,-70.552183
"04076","Shapleigh","ME",43.553076,-70.84515
"04077","South Casco","ME",43.910029,-70.524524
"04078","South Freeport","ME",43.820774,-70.120781
"04079","Harpswell","ME",43.797398,-69.95217
"04081","South Waterford","ME",44.566156,-70.661557
"04082","South Windham","ME",44.408078,-70.470703
"04083","Springvale","ME",43.467037,-70.80275
"04084","Standish","ME",43.761599,-70.56433
"04085","Steep Falls","ME",43.770432,-70.63812
"04086","Topsham","ME",43.94674,-69.96163
"04087","Waterboro","ME",43.56066,-70.75497
"04088","Waterford","ME",44.190761,-70.70757
"04090","Wells","ME",43.320211,-70.61178
"04091","West Baldwin","ME",43.824885,-70.75038
"04092","Westbrook","ME",43.682148,-70.35823
"04093","West Buxton","ME",43.660386,-70.57492
"04094","West Kennebunk","ME",43.406101,-70.573255
"04095","West Newfield","ME",43.642631,-70.91218
"04096","Yarmouth","ME",43.801773,-70.17932
"04097","North Yarmouth","ME",43.842797,-70.22985
"04098","Westbrook","ME",44.408078,-70.470703
"04101","Portland","ME",43.660525,-70.25862
"04102","Portland","ME",43.658632,-70.2911
"04103","Portland","ME",43.685882,-70.2903
"04104","Portland","ME",43.84649,-70.464839
"04105","Falmouth","ME",43.736732,-70.26027
"04106","South Portland","ME",43.631549,-70.27272
"04107","Cape Elizabeth","ME",43.604739,-70.22617
"04108","Peaks Island","ME",43.665177,-70.19475
"04109","Portland","ME",43.678339,-70.198742
"04110","Cumberland Foreside","ME",43.760369,-70.19681
"04112","Portland","ME",44.408078,-70.470703
"04116","South Portland","ME",44.408078,-70.470703
"04122","Portland","ME",44.408078,-70.470703
"04123","Portland","ME",44.408078,-70.470703
"04124","Portland","ME",44.408078,-70.470703
"04210","Auburn","ME",44.089173,-70.24143
"04211","Auburn","ME",44.197009,-70.239485
"04212","Auburn","ME",44.197009,-70.239485
"04216","Andover","ME",44.661894,-70.79952
"04217","Bethel","ME",44.372129,-70.8175
"04219","Bryant Pond","ME",44.386951,-70.63082
"04220","Buckfield","ME",44.295264,-70.3671
"04221","Canton","ME",44.423658,-70.31378
"04222","Durham","ME",43.972505,-70.12291
"04223","Danville","ME",44.023873,-70.285748
"04224","Dixfield","ME",44.555583,-70.41383
"04225","Dryden","ME",44.602705,-70.22651
"04226","East Andover","ME",44.614134,-70.69882
"04227","East Dixfield","ME",44.579135,-70.326337
"04228","East Livermore","ME",44.400997,-70.13383
"04230","East Poland","ME",44.062672,-70.327049
"04231","Stoneham","ME",44.261562,-70.87044
"04234","East Wilton","ME",44.617509,-70.182012
"04236","Greene","ME",44.194404,-70.14181
"04237","Hanover","ME",44.49281,-70.7356
"04238","Hebron","ME",44.197418,-70.36975
"04239","Jay","ME",44.516475,-70.21933
"04240","Lewiston","ME",44.094773,-70.19141
"04241","Lewiston","ME",44.197009,-70.239485
"04243","Lewiston","ME",44.197009,-70.239485
"04250","Lisbon","ME",44.027509,-70.1097
"04252","Lisbon Falls","ME",44.009827,-70.05631
"04253","Livermore","ME",44.408579,-70.22452
"04254","Livermore Falls","ME",44.470961,-70.17486
"04255","Locke Mills","ME",44.35976,-70.67231
"04256","Mechanic Falls","ME",44.10472,-70.39197
"04257","Mexico","ME",44.556984,-70.53351
"04258","Minot","ME",44.154921,-70.33319
"04259","Monmouth","ME",44.231811,-69.99897
"04260","New Gloucester","ME",43.957375,-70.29488
"04261","Newry","ME",44.570532,-70.87599
"04262","North Jay","ME",45.063384,-70.381639
"04263","Leeds","ME",44.283844,-70.11254
"04265","North Monmouth","ME",44.281993,-70.04027
"04266","North Turner","ME",44.357987,-70.255783
"04267","North Waterford","ME",44.566156,-70.661557
"04268","Norway","ME",44.223589,-70.58366
"04270","Oxford","ME",44.114612,-70.50506
"04271","Paris","ME",44.264111,-70.498513
"04273","Hanover","ME",44.498193,-70.697022
"04274","Poland","ME",44.049157,-70.39077
"04275","Roxbury","ME",44.727073,-70.6478
"04276","Rumford","ME",44.53599,-70.56609
"04278","Rumford Center","ME",44.377031,-70.568041
"04279","Rumford","ME",44.56421,-70.715864
"04280","Sabattus","ME",44.119007,-70.07568
"04281","South Paris","ME",44.235141,-70.50508
"04282","Turner","ME",44.266842,-70.24563
"04283","Turner Center","ME",44.197009,-70.239485
"04284","Wayne","ME",44.349542,-70.05698
"04285","Weld","ME",44.697077,-70.43275
"04286","West Bethel","ME",44.40205,-70.860094
"04287","Bowdoin","ME",44.048154,-69.96847
"04288","West Minot","ME",44.197009,-70.239485
"04289","West Paris","ME",44.325285,-70.52451
"04290","Peru","ME",44.494624,-70.43726
"04291","West Poland","ME",44.040857,-70.453006
"04292","Sumner","ME",44.38382,-70.43533
"04294","Wilton","ME",44.602261,-70.22906
"04321","Stoneham","ME",44.209214,-70.818045
"04327","Richmond","ME",44.09156,-69.804077
"04330","Augusta","ME",44.344406,-69.76345
"04332","Augusta","ME",44.414056,-69.751913
"04333","Augusta","ME",44.414056,-69.751913
"04336","Augusta","ME",44.315693,-69.818009
"04338","Augusta","ME",44.414056,-69.751913
"04341","Coopers Mills","ME",44.258771,-69.551024
"04342","Dresden","ME",44.07685,-69.75012
"04343","East Winthrop","ME",44.414056,-69.751913
"04344","Farmingdale","ME",44.26043,-69.80122
"04345","Gardiner","ME",44.211491,-69.80866
"04346","Randolph","ME",44.234914,-69.75722
"04347","Hallowell","ME",44.286802,-69.79788
"04348","Jefferson","ME",44.212785,-69.4971
"04349","Kents Hill","ME",44.42977,-70.06456
"04350","Litchfield","ME",44.174052,-69.93363
"04351","Manchester","ME",44.306955,-69.87518
"04352","Mount Vernon","ME",44.46599,-69.96073
"04353","Whitefield","ME",44.209878,-69.60427
"04354","Palermo","ME",44.384901,-69.4136
"04355","Readfield","ME",44.376802,-69.96353
"04357","Richmond","ME",44.117232,-69.82947
"04358","South China","ME",44.428911,-69.52679
"04359","South Gardiner","ME",44.183266,-69.777196
"04360","Vienna","ME",44.548458,-69.985
"04363","Windsor","ME",44.300247,-69.5744
"04364","Winthrop","ME",44.31842,-69.95997
"04401","Bangor","ME",44.81777,-68.78952
"04402","Bangor","ME",45.519867,-68.647416
"04406","Abbot","ME",45.221933,-69.49039
"04408","Aurora","ME",44.87332,-68.23311
"04410","Bradford","ME",45.088295,-68.90997
"04411","Bradley","ME",44.911733,-68.621
"04412","Brewer","ME",44.78696,-68.7547
"04413","Brookton","ME",45.53866,-67.75295
"04414","Brownville","ME",45.369216,-69.03431
"04415","Brownville Junction","ME",45.351184,-69.058062
"04416","Bucksport","ME",44.609813,-68.78303
"04417","Burlington","ME",45.264114,-68.42087
"04418","Cardville","ME",45.110336,-68.62103
"04419","Carmel","ME",44.7896,-69.00587
"04420","Castine","ME",44.412968,-68.798047
"04421","Castine","ME",44.405928,-68.79341
"04422","Charleston","ME",45.060941,-69.03527
"04423","Costigan","ME",45.01895,-68.48987
"04424","Danforth","ME",45.679453,-67.86208
"04426","Dover Foxcroft","ME",45.195052,-69.18861
"04427","Corinth","ME",44.979986,-69.00746
"04428","Eddington","ME",44.798289,-68.5694
"04429","Holden","ME",44.700606,-68.59682
"04430","East Millinocket","ME",45.631824,-68.58178
"04431","East Orland","ME",44.56801,-68.68116
"04434","Etna","ME",44.802184,-69.14212
"04435","Exeter","ME",44.961913,-69.12214
"04438","Frankfort","ME",44.61165,-68.91965
"04441","Greenville","ME",45.517693,-69.5223
"04442","Greenville Junction","ME",45.479835,-69.62773
"04443","Guilford","ME",45.245781,-69.37191
"04444","Hampden","ME",44.735745,-68.92518
"04448","Howland","ME",45.241091,-68.67025
"04449","Hudson","ME",44.999621,-68.88431
"04450","Kenduskeag","ME",44.921758,-68.93125
"04451","Kingman","ME",45.548818,-68.20841
"04453","Lagrange","ME",45.184949,-68.78881
"04454","Lambert Lake","ME",45.002969,-67.495548
"04455","Lee","ME",45.333971,-68.29313
"04456","Levant","ME",44.876282,-68.98712
"04457","Lincoln","ME",45.368934,-68.48354
"04459","Mattawamkeag","ME",45.518535,-68.33623
"04460","Medway","ME",45.638612,-68.52012
"04461","Milford","ME",44.956776,-68.62199
"04462","Millinocket","ME",45.646916,-68.74801
"04463","Milo","ME",45.241618,-68.95101
"04464","Monson","ME",45.303916,-69.51368
"04465","Cary","ME",45.961338,-67.824005
"04467","Olamon","ME",45.519867,-68.647416
"04468","Old Town","ME",44.951551,-68.67889
"04469","Orono","ME",45.002798,-68.63343
"04471","Orient","ME",45.909516,-67.85856
"04472","Orland","ME",44.560479,-68.69084
"04473","Orono","ME",44.889249,-68.68177
"04474","Orrington","ME",44.721393,-68.78905
"04475","Passadumkeag","ME",45.191812,-68.58953
"04476","Penobscot","ME",44.444707,-68.73576
"04478","Rockwood","ME",45.704599,-69.80879
"04479","Sangerville","ME",45.129817,-69.32571
"04481","Sebec","ME",45.792364,-69.30463
"04485","Shirley Mills","ME",45.792364,-69.30463
"04487","Springfield","ME",45.386188,-68.08163
"04488","Stetson","ME",44.891869,-69.1108
"04489","Stillwater","ME",44.922368,-68.686796
"04490","Topsfield","ME",45.426462,-67.76009
"04491","Vanceboro","ME",45.002969,-67.495548
"04492","Waite","ME",45.002969,-67.495548
"04493","West Enfield","ME",45.247401,-68.51819
"04495","Winn","ME",45.484389,-68.37662
"04496","Winterport","ME",44.657697,-68.8957
"04497","Wytopitlock","ME",45.733543,-68.05875
"04530","Bath","ME",43.900651,-69.83405
"04535","Alna","ME",44.084989,-69.62535
"04536","Bayville","ME",44.021333,-69.523263
"04537","Boothbay","ME",43.907812,-69.64608
"04538","Boothbay Harbor","ME",43.85424,-69.63217
"04539","Bristol","ME",43.965125,-69.50529
"04541","Chamberlain","ME",43.885681,-69.4795
"04543","Damariscotta","ME",44.036533,-69.48841
"04544","East Boothbay","ME",43.832642,-69.58903
"04546","Georgetown","ME",43.767018,-69.749812
"04547","Friendship","ME",43.983665,-69.33885
"04548","Georgetown","ME",43.810548,-69.74325
"04549","Isle Of Springs","ME",44.021333,-69.523263
"04551","Bremen","ME",43.999618,-69.43738
"04552","Newagen","ME",44.021333,-69.523263
"04553","Newcastle","ME",44.048714,-69.54335
"04554","New Harbor","ME",43.863028,-69.51314
"04555","Nobleboro","ME",44.096194,-69.47857
"04556","Edgecomb","ME",43.973476,-69.63516
"04557","Richmond","ME",44.090471,-69.803936
"04558","Pemaquid","ME",43.893848,-69.52041
"04562","Phippsburg","ME",43.793136,-69.81778
"04563","Cushing","ME",43.993356,-69.26819
"04564","Round Pond","ME",43.937468,-69.45721
"04565","Sebasco Estates","ME",43.773312,-69.863461
"04567","Small Point","ME",43.900856,-69.859541
"04568","South Bristol","ME",43.863902,-69.55874
"04570","Squirrel Island","ME",44.021333,-69.523263
"04571","Trevett","ME",43.88261,-69.680144
"04572","Waldoboro","ME",44.10637,-69.37177
"04573","Walpole","ME",43.949672,-69.55133
"04574","Washington","ME",44.274007,-69.38896
"04575","West Boothbay Harbor","ME",43.854534,-69.660795
"04576","Southport","ME",43.823008,-69.66661
"04578","Wiscasset","ME",43.974367,-69.68366
"04579","Woolwich","ME",43.949901,-69.78298
"04600","Winter Harbor","ME",44.396951,-68.081184
"04605","Ellsworth","ME",44.614885,-68.43626
"04606","Addison","ME",44.556073,-67.70122
"04607","Gouldsboro","ME",44.49569,-68.09467
"04609","Bar Harbor","ME",44.402596,-68.26204
"04611","Beals","ME",44.507801,-67.6025
"04612","Bernard","ME",44.247391,-68.37104
"04613","Birch Harbor","ME",44.378868,-68.02915
"04614","Blue Hill","ME",44.413056,-68.58156
"04615","Blue Hill Falls","ME",44.354477,-68.54781
"04616","Brooklin","ME",44.275325,-68.55956
"04617","Brooksville","ME",44.363587,-68.74399
