"zip","city","state","latitude","longitude"
"48001","Algonac","MI",42.631359,-82.554
"48002","Allenton","MI",42.938385,-82.91582
"48003","Almont","MI",42.931178,-83.04585
"48004","Anchorville","MI",42.824095,-82.66522
"48005","Armada","MI",42.842554,-82.91471
"48006","Avoca","MI",43.062285,-82.69327
"48007","Troy","MI",42.606088,-83.297593
"48009","Birmingham","MI",42.544084,-83.21527
"48012","Birmingham","MI",42.604425,-83.292382
"48014","Capac","MI",43.01185,-82.93255
"48015","Center Line","MI",42.479137,-83.02449
"48017","Clawson","MI",42.535534,-83.15112
"48019","Rose","MI",42.755627,-83.612581
"48021","Eastpointe","MI",42.466086,-82.94641
"48022","Emmett","MI",43.013805,-82.79404
"48023","Fair Haven","MI",42.693915,-82.66859
"48025","Franklin","MI",42.524134,-83.25454
"48026","Fraser","MI",42.536402,-82.95044
"48027","Goodells","MI",42.952553,-82.68571
"48028","Harsens Island","MI",42.563129,-82.62325
"48030","Hazel Park","MI",42.459022,-83.09819
"48032","Jeddo","MI",43.125531,-82.59617
"48033","Southfield","MI",42.46,-83.28
"48034","Southfield","MI",42.474234,-83.29078
"48035","Clinton Township","MI",42.554134,-82.90786
"48036","Clinton Township","MI",42.587117,-82.89837
"48037","Southfield","MI",42.567543,-83.149978
"48038","Clinton Township","MI",42.603172,-82.94459
"48039","Marine City","MI",42.710445,-82.50811
"48040","Marysville","MI",42.910198,-82.47973
"48041","Memphis","MI",42.93281,-82.80345
"48042","Macomb","MI",42.68347,-82.92958
"48043","Mount Clemens","MI",42.596784,-82.88031
"48044","Macomb","MI",42.650265,-82.93416
"48045","Harrison Township","MI",42.582961,-82.83063
"48046","Mount Clemens","MI",42.672322,-82.903065
"48047","New Baltimore","MI",42.670932,-82.77754
"48048","New Haven","MI",42.739751,-82.79758
"48049","North Street","MI",43.03154,-82.59251
"48050","New Haven","MI",42.786198,-82.8092
"48051","New Baltimore","MI",42.682081,-82.83068
"48054","East China","MI",42.769956,-82.52595
"48059","Fort Gratiot","MI",43.088742,-82.48614
"48060","Port Huron","MI",42.978974,-82.44402
"48061","Port Huron","MI",42.824095,-82.66522
"48062","Richmond","MI",42.829226,-82.77538
"48063","Columbus","MI",42.85452,-82.68244
"48064","Casco","MI",42.773535,-82.67684
"48065","Romeo","MI",42.826805,-83.02963
"48066","Roseville","MI",42.503285,-82.93851
"48067","Royal Oak","MI",42.488735,-83.13752
"48068","Royal Oak","MI",42.660091,-83.3863
"48069","Pleasant Ridge","MI",42.472235,-83.14051
"48070","Huntington Woods","MI",42.482585,-83.16812
"48071","Madison Heights","MI",42.501385,-83.10474
"48072","Berkley","MI",42.497035,-83.18532
"48073","Royal Oak","MI",42.518635,-83.16357
"48074","Smiths Creek","MI",42.948521,-82.57049
"48075","Southfield","MI",42.465275,-83.2264
"48076","Southfield","MI",42.499335,-83.22829
"48079","Saint Clair","MI",42.833034,-82.50425
"48080","Saint Clair Shores","MI",42.462036,-82.90232
"48081","Saint Clair Shores","MI",42.497736,-82.89979
"48082","Saint Clair Shores","MI",42.526965,-82.88809
"48083","Troy","MI",42.556943,-83.11506
"48084","Troy","MI",42.563505,-83.18405
"48085","Troy","MI",42.597323,-83.116567
"48086","Southfield","MI",42.660091,-83.3863
"48088","Warren","MI",42.516851,-82.982757
"48089","Warren","MI",42.467086,-82.99866
"48090","Warren","MI",42.672322,-82.903065
"48091","Warren","MI",42.465886,-83.056
"48092","Warren","MI",42.511293,-83.0597
"48093","Warren","MI",42.514885,-82.99768
"48094","Washington","MI",42.727731,-83.03847
"48095","Washington","MI",42.779239,-83.02605
"48096","Ray","MI",42.753378,-82.91658
"48097","Yale","MI",43.131709,-82.81411
"48098","Troy","MI",42.599133,-83.15235
"48099","Troy","MI",42.587643,-83.173666
"48101","Allen Park","MI",42.254788,-83.21027
"48103","Ann Arbor","MI",42.280887,-83.79147
"48104","Ann Arbor","MI",42.266805,-83.72297
"48105","Ann Arbor","MI",42.307288,-83.70443
"48106","Ann Arbor","MI",42.253502,-83.836571
"48107","Ann Arbor","MI",42.253502,-83.836571
"48108","Ann Arbor","MI",42.232807,-83.72671
"48109","Ann Arbor","MI",42.291637,-83.71831
"48110","Azalia","MI",42.008164,-83.664277
"48111","Belleville","MI",42.194865,-83.49083
"48112","Belleville","MI",42.239933,-83.150823
"48113","Ann Arbor","MI",42.253502,-83.836571
"48114","Brighton","MI",42.566097,-83.75725
"48115","Bridgewater","MI",42.160216,-83.911693
"48116","Brighton","MI",42.509476,-83.77718
"48117","Carleton","MI",42.05589,-83.40605
"48118","Chelsea","MI",42.316922,-84.03445
"48120","Dearborn","MI",42.306288,-83.15863
"48121","Dearborn","MI",42.239933,-83.150823
"48122","Melvindale","MI",42.281638,-83.18188
"48123","Dearborn","MI",42.239933,-83.150823
"48124","Dearborn","MI",42.294987,-83.25049
"48125","Dearborn Heights","MI",42.277388,-83.25987
"48126","Dearborn","MI",42.333787,-83.18179
"48127","Dearborn Heights","MI",42.335687,-83.28332
"48128","Dearborn","MI",42.320237,-83.26872
"48130","Dexter","MI",42.344837,-83.89907
"48131","Dundee","MI",41.965806,-83.67133
"48133","Erie","MI",41.777302,-83.49818
"48134","Flat Rock","MI",42.107026,-83.28711
"48135","Garden City","MI",42.324338,-83.3382
"48136","Garden City","MI",42.239933,-83.150823
"48137","Gregory","MI",42.445724,-84.06078
"48138","Grosse Ile","MI",42.130091,-83.16017
"48139","Hamburg","MI",42.449117,-83.80332
"48140","Ida","MI",41.876895,-83.58184
"48141","Inkster","MI",42.292582,-83.31414
"48143","Lakeland","MI",42.454366,-83.83372
"48144","Lambertville","MI",41.754298,-83.63047
"48145","La Salle","MI",41.846349,-83.44652
"48146","Lincoln Park","MI",42.243488,-83.18097
"48150","Livonia","MI",42.365936,-83.36513
"48151","Livonia","MI",42.239933,-83.150823
"48152","Livonia","MI",42.427835,-83.36299
"48153","Livonia","MI",42.239933,-83.150823
"48154","Livonia","MI",42.396194,-83.37161
"48157","Luna Pier","MI",41.811196,-83.44141
