"zip","city","state","latitude","longitude"
"55001","Afton","MN",44.903133,-92.81904
"55002","Almelund","MN",45.513447,-92.894239
"55003","Bayport","MN",45.017767,-92.78039
"55005","Bethel","MN",45.395494,-93.23584
"55006","Braham","MN",45.722,-93.19781
"55007","Brook Park","MN",45.955831,-93.1044
"55008","Cambridge","MN",45.566735,-93.24381
"55009","Cannon Falls","MN",44.493575,-92.89402
"55010","Castle Rock","MN",44.544465,-93.15353
"55011","Cedar","MN",45.335128,-93.27434
"55012","Center City","MN",45.41766,-92.80597
"55013","Chisago City","MN",45.365164,-92.88864
"55014","Circle Pines","MN",45.153516,-93.14463
"55016","Cottage Grove","MN",44.830966,-92.93739
"55017","Dalbo","MN",45.677366,-93.42013
"55018","Dennison","MN",44.422975,-93.00089
"55019","Dundas","MN",44.415567,-93.23269
"55020","Elko","MN",44.571365,-93.36011
"55021","Faribault","MN",44.29478,-93.28732
"55024","Farmington","MN",44.649263,-93.15222
"55025","Forest Lake","MN",45.272117,-92.9911
"55026","Frontenac","MN",44.523212,-92.33216
"55027","Goodhue","MN",44.408846,-92.63312
"55029","Grandy","MN",45.642235,-93.201107
"55030","Grasston","MN",45.842603,-93.11924
"55031","Hampton","MN",44.607553,-92.98548
"55032","Harris","MN",45.586488,-93.01179
"55033","Hastings","MN",44.726517,-92.86147
"55036","Henriette","MN",45.871294,-93.11852
"55037","Hinckley","MN",46.008128,-92.79349
"55038","Hugo","MN",45.161267,-92.99596
"55040","Isanti","MN",45.470239,-93.27947
"55041","Lake City","MN",44.42278,-92.2948
"55042","Lake Elmo","MN",44.999023,-92.90939
"55043","Lakeland","MN",44.9316,-92.77001
"55044","Lakeville","MN",44.669564,-93.26654
"55045","Lindstrom","MN",45.387281,-92.83551
"55046","Lonsdale","MN",44.464394,-93.42243
"55047","Marine On Saint Croix","MN",45.195606,-92.81649
"55049","Medford","MN",44.172277,-93.23924
"55051","Mora","MN",45.897003,-93.29452
"55052","Morristown","MN",44.232811,-93.43992
"55053","Nerstrand","MN",44.338132,-93.05543
"55054","New Market","MN",44.571056,-93.354267
"55055","Newport","MN",44.871166,-93.00187
"55056","North Branch","MN",45.509818,-92.97816
"55057","Northfield","MN",44.459969,-93.16623
"55060","Owatonna","MN",44.07393,-93.22716
