"zip","city","state","latitude","longitude"
"63001","Allenton","MO",38.638318,-90.427118
"63005","Chesterfield","MO",38.646981,-90.63155
"63006","Chesterfield","MO",38.638318,-90.427118
"63010","Arnold","MO",38.42727,-90.38515
"63011","Ballwin","MO",38.601403,-90.55209
"63012","Barnhart","MO",38.337458,-90.42316
"63013","Beaufort","MO",38.415995,-91.1603
"63014","Berger","MO",38.654011,-91.33928
"63015","Catawissa","MO",38.401406,-90.74276
"63016","Cedar Hill","MO",38.352825,-90.63595
"63017","Chesterfield","MO",38.647023,-90.53918
"63019","Crystal City","MO",38.226997,-90.38215
"63020","De Soto","MO",38.120303,-90.55426
"63021","Ballwin","MO",38.576253,-90.53117
"63022","Ballwin","MO",38.638318,-90.427118
"63023","Dittmer","MO",38.280328,-90.70519
"63024","Ballwin","MO",38.638318,-90.427118
"63025","Eureka","MO",38.494203,-90.61304
"63026","Fenton","MO",38.502854,-90.46088
"63028","Festus","MO",38.187767,-90.4077
"63030","Fletcher","MO",38.129238,-90.74342
"63031","Florissant","MO",38.8016,-90.33662
"63032","Florissant","MO",38.638318,-90.427118
"63033","Florissant","MO",38.79505,-90.28578
"63034","Florissant","MO",38.832863,-90.29051
"63036","French Village","MO",37.97861,-90.34637
"63037","Gerald","MO",38.412764,-91.3246
"63038","Glencoe","MO",38.578703,-90.66508
"63039","Gray Summit","MO",38.499489,-90.83398
"63040","Grover","MO",38.575835,-90.61878
"63041","Grubville","MO",38.262811,-90.77513
"63042","Hazelwood","MO",38.7785,-90.37005
"63043","Maryland Heights","MO",38.725331,-90.44451
"63044","Bridgeton","MO",38.757318,-90.42335
"63045","Earth City","MO",38.638318,-90.427118
"63047","Hematite","MO",38.194104,-90.472495
"63048","Herculaneum","MO",38.261863,-90.3902
"63049","High Ridge","MO",38.473921,-90.52696
"63050","Hillsboro","MO",38.259946,-90.5666
"63051","House Springs","MO",38.405287,-90.57059
"63052","Imperial","MO",38.385265,-90.40339
"63053","Kimmswick","MO",38.252726,-90.514875
"63055","Labadie","MO",38.535934,-90.84698
"63056","Leslie","MO",38.404826,-91.22652
"63057","Liguori","MO",38.341918,-90.408223
"63060","Lonedell","MO",38.247062,-90.85642
"63061","Luebbering","MO",38.257711,-90.80694
"63065","Mapaville","MO",38.252726,-90.514875
"63066","Morse Mill","MO",38.280943,-90.652057
"63068","New Haven","MO",38.558836,-91.24469
"63069","Pacific","MO",38.482353,-90.73892
"63070","Pevely","MO",38.279016,-90.40862
"63071","Richwoods","MO",38.137345,-90.83168
"63072","Robertsville","MO",38.369435,-90.81792
"63073","Saint Albans","MO",38.527729,-91.017274
"63074","Saint Ann","MO",38.727184,-90.38551
"63077","Saint Clair","MO",38.336093,-90.98902
"63079","Stanton","MO",38.274398,-91.085533
"63080","Sullivan","MO",38.200244,-91.14089
"63084","Union","MO",38.434806,-91.00353
"63087","Valles Mines","MO",38.024849,-90.44667
"63088","Valley Park","MO",38.553253,-90.49157
"63089","Villa Ridge","MO",38.46292,-90.88421
"63090","Washington","MO",38.535499,-91.02348
"63091","Rosebud","MO",38.387446,-91.39332
"63099","Fenton","MO",38.638318,-90.427118
"63101","Saint Louis","MO",38.631551,-90.193
"63102","Saint Louis","MO",38.6352,-90.18702
"63103","Saint Louis","MO",38.631451,-90.21415
"63104","Saint Louis","MO",38.610701,-90.21362
"63105","Saint Louis","MO",38.645484,-90.32888
"63106","Saint Louis","MO",38.644451,-90.20636
"63107","Saint Louis","MO",38.6628,-90.20949
"63108","Saint Louis","MO",38.646201,-90.25435
"63109","Saint Louis","MO",38.586052,-90.2941
"63110","Saint Louis","MO",38.622601,-90.26182
"63111","Saint Louis","MO",38.559302,-90.25174
"63112","Saint Louis","MO",38.661351,-90.28434
"63113","Saint Louis","MO",38.656701,-90.24397
"63114","Saint Louis","MO",38.702651,-90.36109
"63115","Saint Louis","MO",38.676851,-90.24009
"63116","Saint Louis","MO",38.580552,-90.26307
"63117","Saint Louis","MO",38.628402,-90.32636
"63118","Saint Louis","MO",38.594901,-90.2278
"63119","Saint Louis","MO",38.590652,-90.35168
"63120","Saint Louis","MO",38.691901,-90.25992
"63121","Saint Louis","MO",38.706301,-90.29609
"63122","Saint Louis","MO",38.582702,-90.40966
"63123","Saint Louis","MO",38.549452,-90.32525
"63124","Saint Louis","MO",38.645802,-90.37687
"63125","Saint Louis","MO",38.524066,-90.2895
"63126","Saint Louis","MO",38.552303,-90.37921
"63127","Saint Louis","MO",38.53987,-90.40024
"63128","Saint Louis","MO",38.500734,-90.37113
"63129","Saint Louis","MO",38.469953,-90.32161
"63130","Saint Louis","MO",38.663951,-90.32348
"63131","Saint Louis","MO",38.618582,-90.43643
"63132","Saint Louis","MO",38.675784,-90.37463
"63133","Saint Louis","MO",38.679684,-90.30186
"63134","Saint Louis","MO",38.738217,-90.33904
"63135","Saint Louis","MO",38.74785,-90.30258
"63136","Saint Louis","MO",38.73835,-90.26154
"63137","Saint Louis","MO",38.748183,-90.21864
"63138","Saint Louis","MO",38.787849,-90.21041
"63139","Saint Louis","MO",38.610901,-90.29174
"63140","Saint Louis","MO",38.73965,-90.32178
"63141","Saint Louis","MO",38.662302,-90.45363
"63143","Saint Louis","MO",38.612452,-90.31822
"63144","Saint Louis","MO",38.619152,-90.34964
"63145","Saint Louis","MO",38.638318,-90.427118
"63146","Saint Louis","MO",38.688585,-90.44689
"63147","Saint Louis","MO",38.692861,-90.21905
"63150","Saint Louis","MO",38.6531,-90.243462
"63151","Saint Louis","MO",38.638318,-90.427118
"63153","Saint Louis","MO",38.6531,-90.243462
"63155","Saint Louis","MO",38.6531,-90.243462
"63156","Saint Louis","MO",38.6531,-90.243462
"63157","Saint Louis","MO",38.6531,-90.243462
"63158","Saint Louis","MO",38.6531,-90.243462
"63160","Saint Louis","MO",38.6531,-90.243462
"63163","Saint Louis","MO",38.6531,-90.243462
"63164","Saint Louis","MO",38.6531,-90.243462
"63166","Saint Louis","MO",38.6531,-90.243462
"63167","Saint Louis","MO",38.638318,-90.427118
"63169","Saint Louis","MO",38.6531,-90.243462
"63171","Saint Louis","MO",38.6531,-90.243462
"63177","Saint Louis","MO",38.6531,-90.243462
"63178","Saint Louis","MO",38.6531,-90.243462
"63179","Saint Louis","MO",38.6531,-90.243462
"63180","Saint Louis","MO",38.6531,-90.243462
"63182","Saint Louis","MO",38.6531,-90.243462
"63188","Saint Louis","MO",38.6531,-90.243462
"63190","Saint Louis","MO",38.62,-90.19
"63195","Saint Louis","MO",38.6531,-90.243462
"63196","Saint Louis","MO",38.6531,-90.243462
"63197","Saint Louis","MO",38.6531,-90.243462
"63198","Saint Louis","MO",38.638318,-90.427118
"63199","Saint Louis","MO",38.6531,-90.243462
"63301","Saint Charles","MO",38.808583,-90.50687
"63302","Saint Charles","MO",38.581299,-90.872987
"63303","Saint Charles","MO",38.762715,-90.53903
"63304","Saint Charles","MO",38.72926,-90.65332
"63330","Annada","MO",39.257008,-90.82317
"63332","Augusta","MO",38.590155,-90.89093
"63333","Bellflower","MO",39.03288,-91.32983
"63334","Bowling Green","MO",39.318552,-91.18265
"63336","Clarksville","MO",39.354092,-90.93137
"63338","Cottleville","MO",38.750949,-90.536784
"63339","Curryville","MO",39.334216,-91.37684
"63341","Defiance","MO",38.68879,-90.78593
"63342","Dutzow","MO",38.605967,-90.996216
"63343","Elsberry","MO",39.151543,-90.8136
"63344","Eolia","MO",39.239548,-91.01577
"63345","Farber","MO",39.267199,-91.56669
"63346","Flinthill","MO",38.750949,-90.536784
