"zip","city","state","latitude","longitude"
"38160","Metcalfe","MS",34.259164,-89.06039
"38514","Clarksdale","MS",34.196894,-90.572408
"38597","Sumner","MS",33.969302,-90.371546
"38601","Abbeville","MS",34.489297,-89.47412
"38602","Arkabutla","MS",34.686272,-90.106756
"38603","Ashland","MS",34.839417,-89.15818
"38606","Batesville","MS",34.309659,-89.963
"38609","Belen","MS",34.275423,-90.37392
"38610","Blue Mountain","MS",34.659973,-89.02625
"38611","Byhalia","MS",34.862416,-89.68014
"38614","Clarksdale","MS",34.196126,-90.59442
"38617","Coahoma","MS",34.362729,-90.5035
"38618","Coldwater","MS",34.699588,-89.95004
"38619","Como","MS",34.514853,-89.88781
"38620","Courtland","MS",34.236973,-89.91568
"38621","Crenshaw","MS",34.45965,-90.17154
"38622","Crowder","MS",34.172051,-90.13765
"38623","Darling","MS",34.360101,-90.2717
"38625","Dumas","MS",34.597573,-88.83252
"38626","Dundee","MS",34.48647,-90.45124
"38627","Etta","MS",34.425389,-89.20431
"38628","Falcon","MS",34.291611,-90.292717
"38629","Falkner","MS",34.879287,-88.99516
"38630","Farrell","MS",34.22795,-90.63213
"38631","Friars Point","MS",34.365436,-90.634
"38632","Hernando","MS",34.811777,-90.01917
"38633","Hickory Flat","MS",34.628795,-89.20147
"38634","Holly Springs","MS",34.74504,-89.484963
"38635","Holly Springs","MS",34.762615,-89.46092
"38637","Horn Lake","MS",34.959171,-90.04093
"38638","Independence","MS",34.695853,-89.828798
"38639","Jonestown","MS",34.31465,-90.44966
"38641","Lake Cormorant","MS",34.904881,-90.19353
"38642","Lamar","MS",34.926974,-89.33214
"38643","Lambert","MS",34.179708,-90.27846
"38644","Lula","MS",34.449792,-90.47061
"38645","Lyon","MS",34.237759,-90.48669
"38646","Marks","MS",34.261893,-90.27443
"38647","Michigan City","MS",34.975571,-89.25982
"38649","Mount Pleasant","MS",34.962714,-89.54023
"38650","Myrtle","MS",34.536153,-89.13829
"38651","Nesbit","MS",34.893254,-89.97629
"38652","New Albany","MS",34.489085,-88.99973
"38654","Olive Branch","MS",34.954106,-89.83743
"38655","Oxford","MS",34.345016,-89.50735
"38658","Pope","MS",34.181071,-89.90638
"38659","Potts Camp","MS",34.643828,-89.33776
"38661","Red Banks","MS",34.878143,-89.57295
"38663","Ripley","MS",34.739023,-88.92629
"38664","Robinsonville","MS",34.818548,-90.29479
"38665","Sarah","MS",34.578092,-90.1805
