"zip","city","state","latitude","longitude"
"27006","Advance","NC",35.954679,-80.44132
"27007","Ararat","NC",36.390363,-80.58746
"27009","Belews Creek","NC",36.236829,-80.07495
"27010","Bethania","NC",36.182975,-80.338662
"27011","Boonville","NC",36.218385,-80.70955
"27012","Clemmons","NC",36.027101,-80.39312
"27013","Cleveland","NC",35.73956,-80.69407
"27014","Cooleemee","NC",35.812635,-80.55724
"27016","Danbury","NC",36.429179,-80.19588
"27017","Dobson","NC",36.367258,-80.72296
"27018","East Bend","NC",36.198622,-80.52694
"27019","Germanton","NC",36.297049,-80.23777
"27020","Hamptonville","NC",36.115196,-80.81872
"27021","King","NC",36.293122,-80.3546
"27022","Lawsonville","NC",36.52235,-80.22195
"27023","Lewisville","NC",36.097767,-80.42715
"27024","Lowgap","NC",36.520921,-80.84824
"27025","Madison","NC",36.383107,-79.97451
"27027","Mayodan","NC",36.421448,-79.97458
"27028","Mocksville","NC",35.920477,-80.57143
"27030","Mount Airy","NC",36.49376,-80.62336
"27031","White Plains","NC",36.399366,-80.70809
"27040","Pfafftown","NC",36.182718,-80.36487
"27041","Pilot Mountain","NC",36.398995,-80.48006
"27042","Pine Hall","NC",36.335676,-80.05135
"27043","Pinnacle","NC",36.331502,-80.4417
"27045","Rural Hall","NC",36.232354,-80.30391
"27046","Sandy Ridge","NC",36.488575,-80.09267
"27047","Siloam","NC",36.305687,-80.5824
"27048","Stoneville","NC",36.47266,-79.90522
"27049","Toast","NC",36.551332,-80.655786
"27050","Tobaccoville","NC",36.235252,-80.38089
"27051","Walkertown","NC",36.174243,-80.16679
"27052","Walnut Cove","NC",36.298241,-80.14383
"27053","Westfield","NC",36.473951,-80.34752
"27054","Woodleaf","NC",35.787743,-80.59377
"27055","Yadkinville","NC",36.12301,-80.64557
"27094","Rural Hall","NC",36.027482,-80.20728
"27098","Rural Hall","NC",36.027482,-80.20728
"27099","Rural Hall","NC",36.027482,-80.20728
"27101","Winston Salem","NC",36.107037,-80.21918
"27102","Winston Salem","NC",36.032304,-80.396168
"27103","Winston Salem","NC",36.066545,-80.30733
"27104","Winston Salem","NC",36.094104,-80.31503
"27105","Winston Salem","NC",36.147887,-80.23423
"27106","Winston Salem","NC",36.141395,-80.3137
"27107","Winston Salem","NC",36.046215,-80.18998
"27108","Winston Salem","NC",36.027482,-80.20728
"27109","Winston Salem","NC",36.133577,-80.2768
"27110","Winston Salem","NC",36.027482,-80.20728
"27111","Winston Salem","NC",36.027482,-80.20728
"27113","Winston Salem","NC",36.027482,-80.20728
"27114","Winston Salem","NC",36.027482,-80.20728
"27115","Winston Salem","NC",36.027482,-80.20728
"27116","Winston Salem","NC",36.027482,-80.20728
"27117","Winston Salem","NC",36.027482,-80.20728
"27120","Winston Salem","NC",36.027482,-80.20728
"27127","Winston Salem","NC",36.039398,-80.26171
"27130","Winston Salem","NC",36.027482,-80.20728
"27144","Salisbury","NC",35.708966,-80.464515
"27150","Winston Salem","NC",36.027482,-80.20728
"27151","Winston Salem","NC",36.027482,-80.20728
"27152","Winston Salem","NC",36.027482,-80.20728
"27155","Winston Salem","NC",36.027482,-80.20728
"27156","Winston Salem","NC",36.027482,-80.20728
"27157","Winston Salem","NC",36.027482,-80.20728
"27198","Winston Salem","NC",36.027482,-80.20728
"27199","Winston Salem","NC",36.027482,-80.20728
"27201","Alamance","NC",36.031836,-79.485643
"27202","Altamahaw","NC",36.185712,-79.50496
"27203","Asheboro","NC",35.686122,-79.82919
"27204","Asheboro","NC",35.788286,-79.720556
"27205","Asheboro","NC",35.665973,-79.832161
"27207","Bear Creek","NC",35.613837,-79.38984
"27208","Bennett","NC",35.559258,-79.54591
"27209","Biscoe","NC",35.354158,-79.76839
"27212","Blanch","NC",36.461871,-79.26388
"27213","Bonlee","NC",35.648194,-79.414859
"27214","Browns Summit","NC",36.205771,-79.69839
"27215","Burlington","NC",36.072336,-79.4698
"27216","Burlington","NC",36.047523,-79.479743
"27217","Burlington","NC",36.132737,-79.41135
"27220","Burlington","NC",36.046677,-79.389631
"27228","Bynum","NC",35.783476,-79.129791
"27229","Candor","NC",35.280008,-79.79467
"27230","Cedar Falls","NC",35.802758,-79.879711
"27231","Cedar Grove","NC",36.207994,-79.16879
"27233","Climax","NC",35.911979,-79.69566
"27235","Colfax","NC",36.092076,-80.01009
"27237","Cumnock","NC",35.467567,-79.165314
"27239","Denton","NC",35.618434,-80.10517
"27242","Eagle Springs","NC",35.307299,-79.65327
"27243","Efland","NC",36.082138,-79.18649
"27244","Elon College","NC",36.152742,-79.50839
"27247","Ether","NC",35.451411,-79.783404
"27248","Franklinville","NC",35.761433,-79.69835
"27249","Gibsonville","NC",36.125747,-79.56352
"27252","Goldston","NC",35.564257,-79.35011
"27253","Graham","NC",36.031837,-79.37815
"27256","Gulf","NC",35.562184,-79.28751
"27258","Haw River","NC",36.064176,-79.34421
"27259","Highfalls","NC",35.492077,-79.479016
"27260","High Point","NC",35.950436,-79.99345
"27261","High Point","NC",36.080707,-80.0244
"27262","High Point","NC",35.964586,-80.02239
"27263","High Point","NC",35.914548,-79.96062
"27264","High Point","NC",36.080707,-80.0244
"27265","High Point","NC",36.017647,-80.00628
"27278","Hillsborough","NC",36.079726,-79.09459
"27281","Jackson Springs","NC",35.177643,-79.60491
"27282","Jamestown","NC",35.998221,-79.93573
"27283","Julian","NC",35.936904,-79.63191
"27284","Kernersville","NC",36.119887,-80.08726
"27285","Kernersville","NC",36.027482,-80.20728
"27288","Eden","NC",36.505996,-79.74935
"27289","Eden","NC",36.392135,-79.773094
"27291","Leasburg","NC",36.415102,-79.14221
"27292","Lexington","NC",35.775789,-80.23174
"27293","Lexington","NC",35.882943,-80.275963
"27294","Lexington","NC",35.882943,-80.275963
"27295","Lexington","NC",35.856896,-80.28961
"27298","Liberty","NC",35.884276,-79.56809
