"zip","city","state","latitude","longitude"
"57638","Lemmon","ND",46.034096,-102.11476
"57683","Orange","ND",45.984316,-102.101218
"58000","Minot","ND",48.226422,-101.274388
"58001","Abercrombie","ND",46.448462,-96.73165
"58002","Absaraka","ND",46.859694,-97.214587
"58004","Amenia","ND",47.028291,-97.25029
"58005","Argusville","ND",47.057098,-96.95043
"58006","Arthur","ND",47.10167,-97.2147
"58007","Ayr","ND",47.020312,-97.45571
"58008","Barney","ND",46.304176,-96.99819
"58009","Blanchard","ND",47.331202,-97.25077
"58011","Buffalo","ND",46.920174,-97.54484
"58012","Casselton","ND",46.912684,-97.18939
"58013","Cayuga","ND",46.076891,-97.35562
"58014","Chaffee","ND",46.775027,-97.352437
"58015","Christine","ND",46.581114,-96.823
"58016","Clifford","ND",47.34623,-97.46372
"58017","Cogswell","ND",46.059066,-97.80989
"58018","Colfax","ND",46.437401,-96.89354
"58021","Davenport","ND",46.729689,-97.07941
"58027","Enderlin","ND",46.630659,-97.6003
"58029","Erie","ND",47.118212,-97.38881
"58030","Fairmount","ND",46.043951,-96.66927
"58031","Fingal","ND",46.767912,-97.67144
"58032","Forman","ND",46.098941,-97.63549
"58033","Fort Ransom","ND",46.449141,-97.91961
"58035","Galesburg","ND",47.25098,-97.426
"58036","Gardner","ND",47.15096,-96.96482
"58038","Grandin","ND",47.251489,-96.98522
"58039","Great Bend","ND",46.153098,-96.80909
"58040","Gwinner","ND",46.214772,-97.66923
"58041","Hankinson","ND",46.052141,-96.91067
"58042","Harwood","ND",46.984696,-96.9327
"58043","Havana","ND",45.979819,-97.57406
"58045","Hillsboro","ND",47.389215,-97.05327
"58046","Hope","ND",47.293363,-97.75338
"58047","Horace","ND",46.724294,-96.8728
"58048","Hunter","ND",47.198818,-97.21831
"58049","Kathryn","ND",46.657292,-97.98732
"58051","Kindred","ND",46.634764,-97.02012
"58052","Leonard","ND",46.650902,-97.28313
"58053","Lidgerwood","ND",46.067238,-97.18736
