"zip","city","state","latitude","longitude"
"68001","Abie","NE",41.334744,-96.94965
"68002","Arlington","NE",41.47502,-96.34446
"68003","Ashland","NE",41.068476,-96.38189
"68004","Bancroft","NE",42.009508,-96.62313
"68005","Bellevue","NE",41.146848,-95.90796
"68007","Bennington","NE",41.36753,-96.17269
"68008","Blair","NE",41.538439,-96.14965
"68009","Blair","NE",41.53827,-96.182295
"68010","Boys Town","NE",41.25973,-96.12833
"68014","Bruno","NE",41.28216,-96.9594
"68015","Cedar Bluffs","NE",41.386373,-96.64986
"68016","Cedar Creek","NE",41.03664,-96.10884
"68017","Ceresco","NE",41.064961,-96.64953
"68018","Colon","NE",41.309443,-96.61679
"68019","Craig","NE",41.761217,-96.37407
"68020","Decatur","NE",41.988034,-96.26545
"68022","Elkhorn","NE",41.274881,-96.24565
"68023","Fort Calhoun","NE",41.463418,-96.02777
"68025","Fremont","NE",41.434796,-96.48869
"68026","Fremont","NE",41.567907,-96.617443
"68028","Gretna","NE",41.118694,-96.25535
"68029","Herman","NE",41.665663,-96.25866
"68030","Homer","NE",42.326727,-96.48475
"68031","Hooper","NE",41.62307,-96.55172
"68032","Linwood","NE",41.344868,-96.964345
"68033","Ithaca","NE",41.134234,-96.5315
"68034","Kennard","NE",41.465023,-96.2123
"68035","Leshara","NE",41.330124,-96.42899
"68036","Linwood","NE",41.391914,-96.96036
"68037","Louisville","NE",40.992426,-96.14841
"68038","Lyons","NE",41.948587,-96.45359
"68039","Macy","NE",42.110959,-96.3393
"68040","Malmo","NE",41.285973,-96.73951
"68041","Mead","NE",41.22091,-96.47719
"68042","Memphis","NE",41.095604,-96.43168
"68044","Nickerson","NE",41.53608,-96.44999
"68045","Oakland","NE",41.830827,-96.49444
"68046","Papillion","NE",41.151899,-96.04484
"68047","Pender","NE",42.112028,-96.73093
"68048","Plattsmouth","NE",40.999245,-95.91589
"68050","Prague","NE",41.309115,-96.83506
"68054","Richfield","NE",41.108443,-96.07452
"68055","Rosalie","NE",42.053783,-96.50536
"68056","St Columbans","NE",41.092703,-96.090546
"68057","Scribner","NE",41.653831,-96.708
"68058","South Bend","NE",41.003188,-96.24529
"68059","Springfield","NE",41.074548,-96.15635
"68061","Tekamah","NE",41.783203,-96.21577
"68062","Thurston","NE",42.187938,-96.67747
"68063","Uehling","NE",41.733433,-96.50454
