"zip","city","state","latitude","longitude"
"00210","Portsmouth","NH",43.005895,-71.013202
"00211","Portsmouth","NH",43.005895,-71.013202
"00212","Portsmouth","NH",43.005895,-71.013202
"00213","Portsmouth","NH",43.005895,-71.013202
"00214","Portsmouth","NH",43.005895,-71.013202
"00215","Portsmouth","NH",43.005895,-71.013202
"03004","Fremont","NH",43.001762,-71.154866
"03030","Nashua","NH",42.749988,-71.46431
"03031","Amherst","NH",42.854886,-71.6082
"03032","Auburn","NH",43.000345,-71.35141
"03033","Brookline","NH",42.742587,-71.66605
"03034","Candia","NH",43.048372,-71.3078
"03036","Chester","NH",42.967823,-71.23453
"03037","Deerfield","NH",43.141746,-71.2488
"03038","Derry","NH",42.886486,-71.30019
"03040","East Candia","NH",43.005895,-71.013202
"03041","East Derry","NH",43.005895,-71.013202
"03042","Epping","NH",43.045076,-71.07095
"03043","Francestown","NH",42.976901,-71.81007
"03044","Fremont","NH",42.986119,-71.12524
"03045","Goffstown","NH",43.037495,-71.57023
"03046","Dunbarton","NH",43.102146,-71.602132
"03047","Greenfield","NH",42.935709,-71.86645
"03048","Greenville","NH",42.747024,-71.77591
"03049","Hollis","NH",42.739909,-71.58044
"03051","Hudson","NH",42.759821,-71.42079
"03052","Litchfield","NH",42.85059,-71.45379
"03053","Londonderry","NH",42.880481,-71.38205
"03054","Merrimack","NH",42.858053,-71.51216
"03055","Milford","NH",42.831686,-71.66743
"03057","Mont Vernon","NH",42.899434,-71.68057
"03058","Sharon","NH",42.798995,-71.950759
"03060","Nashua","NH",42.748888,-71.46492
"03061","Nashua","NH",42.952124,-71.653939
"03062","Nashua","NH",42.724822,-71.49238
"03063","Nashua","NH",42.770738,-71.51047
"03064","Nashua","NH",42.774171,-71.47306
"03070","New Boston","NH",42.978267,-71.69414
"03071","New Ipswich","NH",42.753726,-71.86706
"03073","North Salem","NH",43.005895,-71.013202
"03076","Pelham","NH",42.734182,-71.32359
"03077","Raymond","NH",43.031491,-71.19598
"03079","Salem","NH",42.792456,-71.21316
"03082","Lyndeborough","NH",42.902259,-71.78452
"03084","Temple","NH",42.81949,-71.85063
"03086","Wilton","NH",42.830184,-71.78177
"03087","Windham","NH",42.805194,-71.29878
"03101","Manchester","NH",42.989984,-71.46376
"03102","Manchester","NH",42.990684,-71.4868
"03103","Manchester","NH",42.967684,-71.44828
"03104","Manchester","NH",43.006033,-71.44716
"03105","Manchester","NH",42.952124,-71.653939
"03106","Hooksett","NH",43.058785,-71.44412
"03107","Manchester","NH",42.952124,-71.653939
"03108","Manchester","NH",42.952124,-71.653939
"03109","Manchester","NH",42.972584,-71.41349
"03110","Bedford","NH",42.942551,-71.51993
"03111","Manchester","NH",42.952124,-71.653939
"03215","Waterville Valley","NH",43.951304,-71.50336
"03216","Andover","NH",43.444702,-71.78401
"03217","Ashland","NH",43.705061,-71.62778
"03218","Barnstead","NH",43.338347,-71.29305
"03220","Belmont","NH",43.459555,-71.47352
"03221","Bradford","NH",43.256053,-71.95405
"03222","Bristol","NH",43.615799,-71.75006
"03223","Campton","NH",43.887682,-71.65161
"03224","Canterbury","NH",43.346137,-71.54434
"03225","Center Barnstead","NH",43.354005,-71.22819
"03226","Center Harbor","NH",43.721094,-71.49652
"03227","Center Sandwich","NH",43.802936,-71.45126
"03229","Contoocook","NH",43.204192,-71.70711
"03230","Danbury","NH",43.506405,-71.87281
"03231","East Andover","NH",43.466172,-71.736518
"03232","East Hebron","NH",43.967542,-71.840883
"03233","Elkins","NH",43.423484,-71.93648
"03234","Epsom","NH",43.228594,-71.3611
"03235","Franklin","NH",43.444456,-71.66034
"03237","Gilmanton","NH",43.42975,-71.37517
"03238","Glencliff","NH",43.967542,-71.840883
"03240","Grafton","NH",43.568328,-71.96422
"03241","Hebron","NH",43.713794,-71.80642
"03242","Henniker","NH",43.173469,-71.81722
"03243","Hill","NH",43.521669,-71.73815
"03244","Hillsboro","NH",43.119417,-71.92108
"03245","Holderness","NH",43.737831,-71.604406
"03246","Laconia","NH",43.557153,-71.43842
"03247","Laconia","NH",43.588972,-71.445452
"03249","Laconia","NH",43.555878,-71.398521
"03251","Lincoln","NH",44.051981,-71.6606
"03252","Lochmere","NH",43.468562,-71.537145
"03253","Meredith","NH",43.644559,-71.50488
"03254","Moultonborough","NH",43.712184,-71.39299
