"zip","city","state","latitude","longitude"
"07001","Avenel","NJ",40.578996,-74.27987
"07002","Bayonne","NJ",40.666552,-74.11768
"07003","Bloomfield","NJ",40.803,-74.18895
"07004","Fairfield","NJ",40.879049,-74.29378
"07005","Boonton","NJ",40.912798,-74.41516
"07006","Caldwell","NJ",40.848999,-74.27917
"07007","Caldwell","NJ",40.79185,-74.245241
"07008","Carteret","NJ",40.582504,-74.22997
"07009","Cedar Grove","NJ",40.855854,-74.22898
"07010","Cliffside Park","NJ",40.82154,-73.98949
"07011","Clifton","NJ",40.879699,-74.14263
"07012","Clifton","NJ",40.847922,-74.1579
"07013","Clifton","NJ",40.868699,-74.17102
"07014","Clifton","NJ",40.834049,-74.13669
"07015","Clifton","NJ",41.011428,-74.304793
"07016","Cranford","NJ",40.656302,-74.30371
"07017","East Orange","NJ",40.770933,-74.20589
"07018","East Orange","NJ",40.75555,-74.21897
"07019","East Orange","NJ",40.79185,-74.245241
"07020","Edgewater","NJ",40.830733,-73.97334
"07021","Essex Fells","NJ",40.827499,-74.28091
"07022","Fairview","NJ",40.816737,-74.00082
"07023","Fanwood","NJ",40.641852,-74.38533
"07024","Fort Lee","NJ",40.849879,-73.97501
"07026","Garfield","NJ",40.879858,-74.10807
"07027","Garwood","NJ",40.650802,-74.32351
"07028","Glen Ridge","NJ",40.80495,-74.2047
"07029","Harrison","NJ",40.745951,-74.15509
"07030","Hoboken","NJ",40.744851,-74.03294
"07031","North Arlington","NJ",40.791895,-74.13254
"07032","Kearny","NJ",40.763051,-74.13718
"07033","Kenilworth","NJ",40.674652,-74.2908
"07034","Lake Hiawatha","NJ",40.881149,-74.38112
"07035","Lincoln Park","NJ",40.923233,-74.29376
"07036","Linden","NJ",40.633953,-74.25339
"07039","Livingston","NJ",40.788733,-74.32134
"07040","Maplewood","NJ",40.728901,-74.26821
"07041","Millburn","NJ",40.724168,-74.29913
"07042","Montclair","NJ",40.81315,-74.21576
"07043","Montclair","NJ",40.844199,-74.20218
"07044","Verona","NJ",40.832449,-74.24227
"07045","Montville","NJ",40.906152,-74.36742
"07046","Mountain Lakes","NJ",40.892021,-74.44022
"07047","North Bergen","NJ",40.7946,-74.01963
"07050","Orange","NJ",40.7683,-74.23603
"07051","Orange","NJ",40.79185,-74.245241
"07052","West Orange","NJ",40.78865,-74.25541
"07054","Parsippany","NJ",40.860149,-74.4171
"07055","Passaic","NJ",40.857384,-74.12899
"07057","Wallington","NJ",40.852931,-74.10925
"07058","Pine Brook","NJ",40.871299,-74.34331
"07059","Warren","NJ",40.633652,-74.5008
"07060","Plainfield","NJ",40.620102,-74.42481
"07061","Plainfield","NJ",40.665651,-74.299692
"07062","Plainfield","NJ",40.631252,-74.40383
"07063","Plainfield","NJ",40.604252,-74.44612
"07064","Port Reading","NJ",40.569504,-74.24774
"07065","Rahway","NJ",40.607103,-74.28099
"07066","Clark","NJ",40.620336,-74.30934
"07067","Colonia","NJ",40.591653,-74.31341
"07068","Roseland","NJ",40.821799,-74.30477
"07069","Watchung","NJ",40.641207,-74.443695
"07070","Rutherford","NJ",40.828922,-74.11064
"07071","Lyndhurst","NJ",40.808416,-74.12111
"07072","Carlstadt","NJ",40.836555,-74.08466
"07073","East Rutherford","NJ",40.830158,-74.09707
"07074","Moonachie","NJ",40.841668,-74.059
"07075","Wood Ridge","NJ",40.847638,-74.08754
"07076","Scotch Plains","NJ",40.637152,-74.37493
"07077","Sewaren","NJ",40.553971,-74.25938
"07078","Short Hills","NJ",40.73915,-74.32749
"07079","South Orange","NJ",40.74765,-74.25881
"07080","South Plainfield","NJ",40.580703,-74.41401
"07081","Springfield","NJ",40.701801,-74.32216
"07082","Towaco","NJ",40.92241,-74.34625
"07083","Union","NJ",40.695401,-74.26933
"07086","Union City","NJ",40.769796,-74.022351
"07087","Union City","NJ",40.767751,-74.0302
"07088","Vauxhall","NJ",40.718401,-74.28416
"07090","Westfield","NJ",40.649202,-74.34567
"07091","Westfield","NJ",40.665651,-74.299692
"07092","Mountainside","NJ",40.680301,-74.35601
"07093","West New York","NJ",40.7895,-74.01223
"07094","Secaucus","NJ",40.7885,-74.06
"07095","Woodbridge","NJ",40.557104,-74.28316
"07096","Secaucus","NJ",40.73276,-74.075485
"07097","Jersey City","NJ",40.73276,-74.075485
"07099","Kearny","NJ",40.73276,-74.075485
