"zip","city","state","latitude","longitude"
"79922","El Paso","NM",31.789109,-106.54291
"87001","Algodones","NM",35.388701,-106.42793
"87002","Belen","NM",34.646779,-106.7648
"87004","Bernalillo","NM",35.32151,-106.55322
"87005","Bluewater","NM",35.20912,-108.07182
"87006","Bosque","NM",34.511223,-106.80927
"87007","Casa Blanca","NM",35.047954,-107.45148
"87008","Cedar Crest","NM",35.136495,-106.37296
"87009","Cedarvale","NM",34.650925,-105.880597
"87010","Cerrillos","NM",35.409522,-106.15202
"87011","Claunch","NM",34.032895,-106.03034
"87012","Coyote","NM",36.195444,-106.6583
"87013","Cuba","NM",35.869051,-107.40227
"87014","Cubero","NM",35.166618,-107.5052
"87015","Edgewood","NM",35.075777,-106.19155
"87016","Estancia","NM",34.775863,-106.12269
"87017","Gallina","NM",36.187444,-106.76581
"87018","Counselor","NM",36.203634,-107.49441
"87020","Grants","NM",35.122129,-107.90777
"87021","Milan","NM",35.192539,-107.893691
"87022","Isleta","NM",34.906197,-106.69301
"87023","Jarales","NM",34.598268,-106.7592
"87024","Jemez Pueblo","NM",35.624111,-106.73752
"87025","Jemez Springs","NM",35.822802,-106.62093
"87026","Laguna","NM",34.999815,-107.24109
"87027","La Jara","NM",36.151633,-107.00449
"87028","La Joya","NM",34.34886,-106.8053
"87029","Lindrith","NM",36.343007,-107.09858
"87031","Los Lunas","NM",34.786133,-106.70536
"87032","McIntosh","NM",34.862981,-106.01328
"87034","Pueblo Of Acoma","NM",34.900203,-107.65365
"87035","Moriarty","NM",35.001195,-105.99524
"87036","Mountainair","NM",34.500604,-106.27612
"87037","Nageezi","NM",36.17798,-107.80037
"87038","New Laguna","NM",35.05463,-107.44137
"87040","Paguate","NM",35.132004,-107.36564
"87041","Pena Blanca","NM",35.584234,-106.32728
"87042","Peralta","NM",34.83436,-106.68375
"87043","Placitas","NM",35.303843,-106.44361
"87044","Ponderosa","NM",35.700027,-106.65317
"87045","Prewitt","NM",35.408295,-107.98853
"87046","Regina","NM",35.71742,-106.935844
"87047","Sandia Park","NM",35.179121,-106.28742
