"zip","city","state","latitude","longitude"
"88901","The Lakes","NV",36.322484,-114.819717
"88905","The Lakes","NV",35.927901,-114.972061
"89001","Alamo","NV",37.381946,-115.31502
"89002","Henderson","NV",36,-114.96
"89003","Beatty","NV",37.027453,-116.84011
"89004","Blue Diamond","NV",36.046247,-115.40483
"89005","Boulder City","NV",35.968615,-114.83354
"89006","Boulder City","NV",35.927901,-114.972061
"89007","Bunkerville","NV",36.766887,-114.13298
"89008","Caliente","NV",37.488849,-114.45374
"89009","Henderson","NV",35.927901,-114.972061
"89010","Dyer","NV",37.751707,-118.08592
"89011","Henderson","NV",36.121607,-114.92514
"89012","Henderson","NV",36.017578,-115.05438
"89013","Goldfield","NV",37.571495,-117.31507
"89014","Henderson","NV",36.045811,-115.0778
"89015","Henderson","NV",36.030927,-114.96787
"89016","Henderson","NV",35.927901,-114.972061
"89017","Hiko","NV",37.592182,-115.28676
"89018","Indian Springs","NV",36.573712,-115.67024
"89019","Jean","NV",35.801952,-115.57819
"89020","Amargosa Valley","NV",36.52513,-116.46173
"89021","Logandale","NV",36.616546,-114.47184
"89022","Manhattan","NV",38.738647,-117.0789
"89023","Mercury","NV",37.583805,-116.598559
"89025","Moapa","NV",36.674946,-114.66488
"89026","Jean","NV",35.927901,-114.972061
"89027","Mesquite","NV",36.804651,-114.08749
"89028","Laughlin","NV",35.013978,-114.6447
"89029","Laughlin","NV",35.138674,-114.62875
"89030","North Las Vegas","NV",36.206419,-115.12318
"89031","North Las Vegas","NV",36.256479,-115.16139
"89032","North Las Vegas","NV",36.224218,-115.1763
"89033","North Las Vegas","NV",36.284511,-115.134488
"89034","Mesquite","NV",36.81,-114.07
"89036","North Las Vegas","NV",35.927901,-114.972061
"89037","Coyote Springs","NV",36.54,-114.44
"89039","Cal Nev Ari","NV",35.28299,-114.87299
"89040","Overton","NV",36.540495,-114.45478
"89041","Pahrump","NV",36.655797,-116.004795
"89042","Panaca","NV",37.785734,-114.38399
"89043","Pioche","NV",38.122239,-114.40318
"89044","Henderson","NV",35.88,-115.04
"89045","Round Mountain","NV",37.583805,-116.598559
"89046","Searchlight","NV",35.525338,-114.91149
"89047","Silverpeak","NV",37.751386,-117.64225
"89048","Pahrump","NV",36.218341,-116.00994
"89049","Tonopah","NV",38.307931,-116.92779
"89052","Henderson","NV",35.979863,-115.09895
"89053","Henderson","NV",35.927901,-114.972061
"89054","Sloan","NV",35.93,-115.22
"89060","Pahrump","NV",36.264185,-116.038857
"89061","Pahrump","NV",36.119299,-115.938992
"89067","Coyote Springs","NV",36.54,-114.44
"89070","Indian Springs","NV",35.927901,-114.972061
"89074","Henderson","NV",36.038181,-115.086999
"89077","Henderson","NV",36,-115.11
"89081","Indian Springs","NV",36.573377,-115.674671
"89084","North Las Vegas","NV",36.281388,-115.148644
"89085","North Las Vegas","NV",36.31,-115.2
"89086","North Las Vegas","NV",36.28094,-115.132695
"89087","North Las Vegas","NV",36.2,-115.12
"89101","Las Vegas","NV",36.17022,-115.12785
"89102","Las Vegas","NV",36.145303,-115.18358
"89103","Las Vegas","NV",36.113211,-115.21849
"89104","Las Vegas","NV",36.151108,-115.10857
"89105","Las Vegas","NV",35.99,-115.09
"89106","Las Vegas","NV",36.184219,-115.16292
"89107","Las Vegas","NV",36.171219,-115.21682
"89108","Las Vegas","NV",36.205718,-115.22363
"89109","Las Vegas","NV",36.126038,-115.14796
"89110","Las Vegas","NV",36.172744,-115.05795
"89111","Las Vegas","NV",35.927901,-114.972061
"89112","Las Vegas","NV",36.157764,-115.025559
"89113","Las Vegas","NV",36.067495,-115.26039
"89114","Las Vegas","NV",36.011339,-115.101508
"89115","Las Vegas","NV",36.233655,-115.06881
"89116","Las Vegas","NV",35.927901,-114.972061
"89117","Las Vegas","NV",36.140974,-115.28205
"89118","Las Vegas","NV",36.084361,-115.2103
"89119","Las Vegas","NV",36.088922,-115.13905
"89120","Las Vegas","NV",36.087623,-115.08872
"89121","Las Vegas","NV",36.121972,-115.0903
"89122","Las Vegas","NV",36.10524,-115.04592
"89123","Las Vegas","NV",36.026532,-115.14848
"89124","Las Vegas","NV",36.101538,-115.39948
"89125","Las Vegas","NV",36.223528,-115.265529
"89126","Las Vegas","NV",35.927901,-114.972061
"89127","Las Vegas","NV",35.927901,-114.972061
"89128","Las Vegas","NV",36.193501,-115.265
"89129","Las Vegas","NV",36.231139,-115.28461
"89130","Las Vegas","NV",36.257531,-115.22728
"89131","Las Vegas","NV",36.294596,-115.24685
"89132","Las Vegas","NV",36.018981,-115.151937
"89133","Las Vegas","NV",35.927901,-114.972061
"89134","Las Vegas","NV",36.204548,-115.31207
"89135","Las Vegas","NV",36.131341,-115.32331
"89136","Summerlin South","NV",36.129519,-115.322782
"89137","Las Vegas","NV",35.927901,-114.972061
"89138","Las Vegas","NV",35.927901,-114.972061
"89139","Las Vegas","NV",36.031873,-115.20342
"89140","Las Vegas","NV",35.99,-115.09
"89141","Las Vegas","NV",35.998778,-115.19588
"89142","Las Vegas","NV",36.148417,-115.04767
"89143","Las Vegas","NV",36.326315,-115.25788
"89144","Las Vegas","NV",36.181142,-115.32557
"89145","Las Vegas","NV",36.167731,-115.26791
"89146","Las Vegas","NV",36.141119,-115.22493
"89147","Las Vegas","NV",36.113059,-115.27343
"89148","Las Vegas","NV",36.049095,-115.28485
"89149","Las Vegas","NV",36.266266,-115.28656
"89150","Las Vegas","NV",35.927901,-114.972061
"89151","Las Vegas","NV",35.927901,-114.972061
"89152","Las Vegas","NV",35.927901,-114.972061
"89153","Las Vegas","NV",35.927901,-114.972061
"89154","Las Vegas","NV",35.927901,-114.972061
"89155","Las Vegas","NV",35.927901,-114.972061
"89156","Las Vegas","NV",36.201612,-115.03358
"89157","Las Vegas","NV",36.18,-115.14
"89158","Las Vegas","NV",35.927901,-114.972061
"89159","Las Vegas","NV",35.927901,-114.972061
"89160","Las Vegas","NV",35.927901,-114.972061
"89161","Las Vegas","NV",35.99,-115.4
"89162","Las Vegas","NV",36.18,-115.14
"89163","The Lakes","NV",35.927901,-114.972061
"89164","Las Vegas","NV",35.927901,-114.972061
"89165","Las Vegas","NV",35.99,-115.09
"89166","Las Vegas","NV",36.32,-115.35
"89169","Las Vegas","NV",36.12,-115.13
"89170","Las Vegas","NV",35.927901,-114.972061
"89173","Las Vegas","NV",35.927901,-114.972061
"89177","Las Vegas","NV",35.927901,-114.972061
"89178","Las Vegas","NV",35.9,-115.33
"89179","Las Vegas","NV",35.99,-115.25
"89180","Las Vegas","NV",35.927901,-114.972061
"89183","Las Vegas","NV",35.99,-115.15
"89185","Las Vegas","NV",35.927901,-114.972061
"89191","Nellis AFB","NV",36.370315,-115.23128
"89193","Las Vegas","NV",35.927901,-114.972061
"89195","Las Vegas","NV",35.927901,-114.972061
"89199","Las Vegas","NV",35.927901,-114.972061
"89301","Ely","NV",39.282855,-114.9208
"89310","Austin","NV",39.748753,-117.01152
"89311","Baker","NV",38.941805,-114.12592
"89314","Duckwater","NV",38.944921,-115.70749
"89315","Ely","NV",39.332636,-114.824507
"89316","Eureka","NV",39.717627,-116.02944
"89317","Lund","NV",38.835421,-115.02628
"89318","McGill","NV",39.4163,-114.77624
"89319","Ruth","NV",39.342631,-114.885945
"89402","Crystal Bay","NV",39.239457,-119.971133
"89403","Dayton","NV",39.25468,-119.51494
"89404","Denio","NV",41.826461,-118.71295
"89405","Empire","NV",40.555197,-119.35093
"89406","Fallon","NV",39.461072,-118.69306
"89407","Fallon","NV",39.525628,-118.842431
"89408","Fernley","NV",39.617711,-119.17374
"89409","Gabbs","NV",38.872139,-117.78194
"89410","Gardnerville","NV",38.878641,-119.69753
"89411","Genoa","NV",39.012361,-119.83288
