"zip","city","state","latitude","longitude"
"43001","Alexandria","OH",40.091576,-82.61225
"43002","Amlin","OH",40.05991,-83.18299
"43003","Ashley","OH",40.40994,-82.96124
"43004","Blacklick","OH",39.998073,-82.8052
"43005","Bladensburg","OH",40.285043,-82.28218
"43006","Brinkhaven","OH",40.471139,-82.16947
"43007","Broadway","OH",40.340633,-83.416306
"43008","Buckeye Lake","OH",39.93398,-82.47932
"43009","Cable","OH",40.175413,-83.64579
"43010","Catawba","OH",40.000364,-83.62142
"43011","Centerburg","OH",40.304121,-82.68029
"43013","Croton","OH",40.235446,-82.69054
"43014","Danville","OH",40.470806,-82.26422
"43015","Delaware","OH",40.295925,-83.06968
"43016","Dublin","OH",40.089811,-83.13983
"43017","Dublin","OH",40.109478,-83.12713
"43018","Etna","OH",39.956994,-82.68307
"43019","Fredericktown","OH",40.493191,-82.56998
"43021","Galena","OH",40.202298,-82.89437
"43022","Gambier","OH",40.351781,-82.35543
"43023","Granville","OH",40.070985,-82.52134
"43025","Hebron","OH",39.958869,-82.49882
"43026","Hilliard","OH",40.021665,-83.14762
"43027","Homer","OH",40.132821,-82.561556
"43028","Howard","OH",40.42065,-82.31485
"43029","Irwin","OH",40.108356,-83.44868
"43030","Jacksontown","OH",39.968846,-82.430017
"43031","Johnstown","OH",40.151979,-82.66944
"43032","Kilbourne","OH",40.328773,-82.95824
"43033","Kirkersville","OH",39.960661,-82.59613
"43035","Lewis Center","OH",40.173636,-82.99675
"43036","Magnetic Springs","OH",40.353133,-83.26289
"43037","Martinsburg","OH",40.27453,-82.34436
"43040","Marysville","OH",40.255973,-83.36391
"43041","Marysville","OH",40.306924,-83.360645
"43044","Mechanicsburg","OH",40.052907,-83.57223
"43045","Milford Center","OH",40.179696,-83.44266
"43046","Millersport","OH",39.900063,-82.53696
"43047","Mingo","OH",40.204914,-83.646581
"43048","Mount Liberty","OH",40.406113,-82.465777
"43050","Mount Vernon","OH",40.385636,-82.48254
"43054","New Albany","OH",40.080252,-82.82462
"43055","Newark","OH",40.079115,-82.40054
"43056","Heath","OH",40.017096,-82.34322
"43058","Newark","OH",40.095148,-82.482659
"43060","North Lewisburg","OH",40.223286,-83.56172
"43061","Ostrander","OH",40.285343,-83.20426
"43062","Pataskala","OH",39.994001,-82.67652
"43064","Plain City","OH",40.103133,-83.26825
"43065","Powell","OH",40.155515,-83.08415
"43066","Radnor","OH",40.400799,-83.15216
"43067","Raymond","OH",40.355958,-83.46681
"43068","Reynoldsburg","OH",39.956384,-82.7961
"43069","Reynoldsburg","OH",39.95,-82.81
"43070","Rosewood","OH",40.217799,-83.96044
"43071","Saint Louisville","OH",40.173402,-82.36653
"43072","Saint Paris","OH",40.123455,-83.95416
"43073","Summit Station","OH",39.996516,-82.754034
"43074","Sunbury","OH",40.270926,-82.84501
"43076","Thornville","OH",39.909915,-82.41013
"43077","Unionville Center","OH",40.136336,-83.3415
"43078","Urbana","OH",40.112531,-83.76633
"43080","Utica","OH",40.242377,-82.42775
"43081","Westerville","OH",40.109513,-82.91606
"43082","Westerville","OH",40.14852,-82.91278
"43083","Westville","OH",40.102185,-83.83786
"43084","Woodstock","OH",40.145952,-83.52488
"43085","Columbus","OH",40.097796,-83.02076
"43086","Westerville","OH",39.969036,-83.011389
"43093","Newark","OH",40.095148,-82.482659
"43098","Hebron","OH",40.095148,-82.482659
"43101","Adelphi","OH",39.466041,-82.7457
"43102","Amanda","OH",39.651028,-82.76098
"43103","Ashville","OH",39.720751,-82.94842
"43105","Baltimore","OH",39.860353,-82.61356
"43106","Bloomingburg","OH",39.624916,-83.40267
"43107","Bremen","OH",39.703126,-82.41937
"43109","Brice","OH",39.916574,-82.83218
"43110","Canal Winchester","OH",39.854413,-82.80872
"43111","Carbon Hill","OH",39.501342,-82.24434
"43112","Carroll","OH",39.803993,-82.70953
"43113","Circleville","OH",39.598236,-82.94285
"43115","Clarksburg","OH",39.501913,-83.17383
"43116","Commercial Point","OH",39.768502,-83.06007
"43117","Derby","OH",39.773025,-83.199472
"43119","Galloway","OH",39.939871,-83.1667
"43123","Grove City","OH",39.88628,-83.07989
"43125","Groveport","OH",39.852363,-82.89589
"43126","Harrisburg","OH",39.810093,-83.17085
"43127","Haydenville","OH",39.482096,-82.32798
"43128","Jeffersonville","OH",39.651917,-83.57236
"43130","Lancaster","OH",39.712887,-82.61216
"43135","Laurelville","OH",39.473379,-82.71076
"43136","Lithopolis","OH",39.802655,-82.80802
"43137","Lockbourne","OH",39.818249,-82.98115
"43138","Logan","OH",39.530972,-82.40801
"43140","London","OH",39.892676,-83.43643
"43142","Milledgeville","OH",39.593121,-83.5876
"43143","Mount Sterling","OH",39.710455,-83.28776
"43144","Murray City","OH",39.513028,-82.1665
"43145","New Holland","OH",39.555409,-83.26409
"43146","Orient","OH",39.786202,-83.1469
"43147","Pickerington","OH",39.904288,-82.756
"43148","Pleasantville","OH",39.816577,-82.50791
"43149","Rockbridge","OH",39.545786,-82.57704
"43150","Rushville","OH",39.778306,-82.41455
"43151","Sedalia","OH",39.732474,-83.47587
"43152","South Bloomingville","OH",39.387214,-82.62314
"43153","South Solon","OH",39.721965,-83.58093
"43154","Stoutsville","OH",39.605605,-82.82656
"43155","Sugar Grove","OH",39.630003,-82.51459
"43156","Tarlton","OH",39.554697,-82.77917
"43157","Thurston","OH",39.843864,-82.54555
"43158","Union Furnace","OH",39.460218,-82.3572
"43160","Washington Court House","OH",39.533002,-83.43905
"43162","West Jefferson","OH",39.939528,-83.28912
"43163","West Rushville","OH",39.7631,-82.447024
"43164","Williamsport","OH",39.590417,-83.11298
"43187","Pickerington","OH",39.882017,-82.739875
"43194","Lockbourne","OH",39.8,-82.96
"43195","Groveport","OH",39.86,-82.89
"43196","Groveport","OH",39.86,-82.89
"43198","Groveport","OH",39.86,-82.89
"43199","Groveport","OH",39.969036,-83.011389
"43201","Columbus","OH",39.990764,-83.00117
"43202","Columbus","OH",40.018814,-83.00894
"43203","Columbus","OH",39.9718,-82.9688
"43204","Columbus","OH",39.958496,-83.08231
"43205","Columbus","OH",39.957265,-82.96587
"43206","Columbus","OH",39.944564,-82.98085
"43207","Columbus","OH",39.897695,-82.96969
"43209","Columbus","OH",39.958564,-82.92824
"43210","Columbus","OH",40.003681,-83.02148
"43211","Columbus","OH",40.012714,-82.97127
"43212","Columbus","OH",39.988114,-83.04268
"43213","Columbus","OH",39.966814,-82.87413
"43214","Columbus","OH",40.053063,-83.01881
"43215","Columbus","OH",39.965131,-83.00431
"43216","Columbus","OH",39.969036,-83.011389
"43217","Columbus","OH",39.824831,-82.94384
"43218","Columbus","OH",39.969036,-83.011389
"43219","Columbus","OH",40.002514,-82.92589
"43220","Columbus","OH",40.047273,-83.06986
"43221","Columbus","OH",40.02063,-83.07655
"43222","Columbus","OH",39.958664,-83.02856
"43223","Columbus","OH",39.935263,-83.04558
"43224","Columbus","OH",40.039914,-82.96772
"43226","Columbus","OH",39.969036,-83.011389
"43227","Columbus","OH",39.944231,-82.89063
"43228","Columbus","OH",39.954363,-83.123
"43229","Columbus","OH",40.085313,-82.97326
"43230","Columbus","OH",40.039963,-82.87855
"43231","Columbus","OH",40.076042,-82.94064
"43232","Columbus","OH",39.924213,-82.86563
"43234","Columbus","OH",39.969036,-83.011389
"43235","Columbus","OH",40.099204,-83.05567
"43236","Columbus","OH",40.135711,-83.007626
"43240","Columbus","OH",40.146873,-82.98178
"43251","Columbus","OH",39.969036,-83.011389
"43260","Columbus","OH",39.969036,-83.011389
"43265","Columbus","OH",39.969036,-83.011389
"43266","Columbus","OH",39.969036,-83.011389
"43268","Columbus","OH",39.969036,-83.011389
"43270","Columbus","OH",39.969036,-83.011389
"43271","Columbus","OH",39.969036,-83.011389
"43272","Columbus","OH",39.969036,-83.011389
"43279","Columbus","OH",39.969036,-83.011389
"43284","Columbus","OH",39.969036,-83.011389
"43287","Columbus","OH",39.969036,-83.011389
"43291","Columbus","OH",39.969036,-83.011389
"43299","Columbus","OH",39.969036,-83.011389
"43301","Marion","OH",40.616604,-83.069296
"43302","Marion","OH",40.589747,-83.12173
"43306","Marion","OH",40.56941,-83.139341
"43307","Marion","OH",40.56941,-83.139341
"43310","Belle Center","OH",40.518081,-83.78052
"43311","Bellefontaine","OH",40.365923,-83.75816
"43314","Caledonia","OH",40.642604,-82.96158
"43315","Cardington","OH",40.490756,-82.87312
"43316","Carey","OH",40.954293,-83.38068
"43317","Chesterville","OH",40.479649,-82.68356
"43318","De Graff","OH",40.314099,-83.91041
"43319","East Liberty","OH",40.307923,-83.56924
"43320","Edison","OH",40.583666,-82.88443
"43321","Fulton","OH",40.46242,-82.82831
"43322","Green Camp","OH",40.531614,-83.20937
"43323","Harpster","OH",40.730593,-83.24454
"43324","Huntsville","OH",40.460862,-83.83774
"43325","Iberia","OH",40.60796,-82.872954
"43326","Kenton","OH",40.642266,-83.60577
"43330","Kirby","OH",40.813023,-83.419606
"43331","Lakeview","OH",40.507868,-83.90705
"43332","La Rue","OH",40.585905,-83.3828
"43333","Lewistown","OH",40.436172,-83.92528
"43334","Marengo","OH",40.399648,-82.80783
"43335","Martel","OH",40.668497,-82.909984
"43336","Middleburg","OH",40.293691,-83.5827
"43337","Morral","OH",40.687548,-83.22944
"43338","Mount Gilead","OH",40.555366,-82.77273
"43340","Mount Victory","OH",40.547039,-83.49204
"43341","New Bloomington","OH",40.587559,-83.31254
"43342","Prospect","OH",40.470755,-83.18305
"43343","Quincy","OH",40.308916,-83.97325
"43344","Richwood","OH",40.430758,-83.32103
"43345","Ridgeway","OH",40.513261,-83.57736
"43346","Roundhead","OH",40.573227,-83.846199
"43347","Rushsylvania","OH",40.470605,-83.66538
"43348","Russells Point","OH",40.469231,-83.88554
"43349","Shauck","OH",40.614239,-82.661938
"43350","Sparta","OH",40.394773,-82.69952
"43351","Upper Sandusky","OH",40.82732,-83.29921
"43355","Ridgeville","OH",41.438281,-84.254241
"43356","Waldo","OH",40.461613,-83.05047
"43357","West Liberty","OH",40.254824,-83.751
"43358","West Mansfield","OH",40.413252,-83.53853
"43359","Wharton","OH",40.863848,-83.45714
"43360","Zanesfield","OH",40.327984,-83.66884
"43381","Stokes","OH",40.498069,-83.921517
"43400","Danbury","OH",41.532003,-82.797419
"43402","Bowling Green","OH",41.388519,-83.65795
"43403","Bowling Green","OH",41.39235,-83.648996
"43406","Bradner","OH",41.328037,-83.43802
"43407","Burgoon","OH",41.277969,-83.24578
"43408","Clay Center","OH",41.565049,-83.363
"43410","Clyde","OH",41.304387,-82.96925
"43412","Curtice","OH",41.63678,-83.30724
"43413","Cygnet","OH",41.240054,-83.64985
"43414","Dunbridge","OH",41.39235,-83.648996
"43416","Elmore","OH",41.477061,-83.28361
"43420","Fremont","OH",41.35307,-83.11217
"43430","Genoa","OH",41.523309,-83.37072
"43431","Gibsonburg","OH",41.390878,-83.32313
"43432","Graytown","OH",41.553383,-83.25597
"43433","Gypsum","OH",41.503759,-82.87084
"43434","Harbor View","OH",41.645699,-83.620233
"43435","Helena","OH",41.333956,-83.30333
"43436","Isle Saint George","OH",41.715332,-82.822697
"43437","Jerry City","OH",41.252306,-83.60464
"43438","Kelleys Island","OH",41.601343,-82.69744
"43439","Lacarne","OH",41.51751,-83.04293
"43440","Lakeside Marblehead","OH",41.533186,-82.75881
"43441","Lemoyne","OH",41.536132,-83.45938
"43442","Lindsey","OH",41.425328,-83.2253
"43443","Luckey","OH",41.455078,-83.47735
"43445","Martin","OH",41.596682,-83.28985
"43446","Middle Bass","OH",41.683477,-82.804677
"43447","Millbury","OH",41.5678,-83.433
"43449","Oak Harbor","OH",41.53446,-83.13569
"43450","Pemberville","OH",41.4031,-83.47664
"43451","Portage","OH",41.318285,-83.62835
"43452","Port Clinton","OH",41.512855,-82.92948
"43456","Put In Bay","OH",41.671574,-82.81278
"43457","Risingsun","OH",41.269279,-83.43171
"43458","Rocky Ridge","OH",41.532215,-83.21026
"43460","Rossford","OH",41.603797,-83.5619
"43462","Rudolph","OH",41.28447,-83.69515
"43463","Stony Ridge","OH",41.509051,-83.508531
"43464","Vickery","OH",41.404156,-82.92509
"43465","Walbridge","OH",41.57725,-83.49795
"43466","Wayne","OH",41.28953,-83.50215
"43467","West Millgrove","OH",41.245763,-83.48948
"43468","Williston","OH",41.602898,-83.33988
"43469","Woodville","OH",41.455129,-83.36565
"43501","Alvordton","OH",41.673094,-84.44711
"43502","Archbold","OH",41.529231,-84.30866
"43504","Berkey","OH",41.697701,-83.83446
"43505","Blakeslee","OH",41.523945,-84.730275
"43506","Bryan","OH",41.471569,-84.55459
"43510","Colton","OH",41.419878,-84.013674
"43511","Custar","OH",41.26256,-83.82917
"43512","Defiance","OH",41.29037,-84.36539
"43515","Delta","OH",41.585627,-84.00778
"43516","Deshler","OH",41.211032,-83.89827
"43517","Edgerton","OH",41.441679,-84.73356
"43518","Edon","OH",41.572443,-84.75333
"43519","Evansport","OH",41.422158,-84.396619
"43520","Farmer","OH",41.39066,-84.631322
"43521","Fayette","OH",41.66143,-84.29732
"43522","Grand Rapids","OH",41.427352,-83.84944
"43523","Grelton","OH",41.341081,-84.000532
"43524","Hamler","OH",41.229001,-84.03567
"43525","Haskins","OH",41.466185,-83.70725
"43526","Hicksville","OH",41.30569,-84.74496
"43527","Holgate","OH",41.253169,-84.14754
"43528","Holland","OH",41.626651,-83.73047
"43529","Hoytville","OH",41.190401,-83.78249
"43530","Jewell","OH",41.325764,-84.279306
"43531","Kunkle","OH",41.635979,-84.49453
"43532","Liberty Center","OH",41.450082,-83.97563
"43533","Lyons","OH",41.696808,-84.07558
"43534","McClure","OH",41.368743,-83.93422
"43535","Malinta","OH",41.315943,-84.03021
"43536","Mark Center","OH",41.299247,-84.63748
"43537","Maumee","OH",41.576992,-83.672
"43538","Monclova","OH",41.597362,-83.806053
"43540","Metamora","OH",41.702622,-83.93725
"43541","Milton Center","OH",41.301347,-83.82923
"43542","Monclova","OH",41.577428,-83.76396
"43543","Montpelier","OH",41.609365,-84.62292
"43545","Napoleon","OH",41.388278,-84.12511
"43547","Neapolis","OH",41.491702,-83.87108
"43548","New Bavaria","OH",41.190188,-84.17549
"43549","Ney","OH",41.380047,-84.51313
"43550","Okolona","OH",41.326664,-84.111701
"43551","Perrysburg","OH",41.540724,-83.58904
"43552","Perrysburg","OH",41.39235,-83.648996
"43553","Pettisville","OH",41.531159,-84.22716
"43554","Pioneer","OH",41.65973,-84.56225
"43555","Ridgeville Corners","OH",41.437905,-84.255
"43556","Sherwood","OH",41.298409,-84.55885
"43557","Stryker","OH",41.491112,-84.40709
"43558","Swanton","OH",41.585948,-83.87384
"43560","Sylvania","OH",41.706383,-83.7102
"43565","Tontogany","OH",41.419152,-83.74024
"43566","Waterville","OH",41.501902,-83.73685
"43567","Wauseon","OH",41.5615,-84.15574
"43569","Weston","OH",41.349205,-83.78953
"43570","West Unity","OH",41.586794,-84.43574
