"zip","city","state","latitude","longitude"
"73001","Albert","OK",35.203206,-98.357423
"73002","Alex","OK",34.936221,-97.74453
"73003","Edmond","OK",35.681402,-97.5331
"73004","Amber","OK",35.152892,-97.85582
"73005","Anadarko","OK",35.050671,-98.23984
"73006","Apache","OK",34.894964,-98.38697
"73007","Arcadia","OK",35.685368,-97.32739
"73008","Bethany","OK",35.506456,-97.63934
"73009","Binger","OK",35.292476,-98.35804
"73010","Blanchard","OK",35.118392,-97.66381
"73011","Bradley","OK",34.868514,-97.71386
"73012","Bray","OK",34.48532,-97.852223
"73013","Edmond","OK",35.623805,-97.47909
"73014","Calumet","OK",35.587497,-98.14506
"73015","Carnegie","OK",35.113271,-98.58643
"73016","Cashion","OK",35.805831,-97.68754
"73017","Cement","OK",34.932493,-98.11946
"73018","Chickasha","OK",35.040526,-97.94723
"73019","Norman","OK",35.208566,-97.44451
"73020","Choctaw","OK",35.465363,-97.26645
"73021","Colony","OK",35.34525,-98.66403
"73022","Concho","OK",35.618487,-97.99188
"73023","Chickasha","OK",35.031247,-97.881959
"73024","Corn","OK",35.370775,-98.80897
"73025","Edmond","OK",35.65,-97.47
"73026","Norman","OK",35.22704,-97.28198
"73027","Coyle","OK",35.975057,-97.25088
"73028","Crescent","OK",35.96375,-97.63071
"73029","Cyril","OK",34.907566,-98.19738
"73030","Davis","OK",34.485896,-97.14753
"73031","Dibble","OK",35.027,-97.62801
"73032","Dougherty","OK",34.400476,-97.05041
"73033","Eakly","OK",35.303547,-98.55543
"73034","Edmond","OK",35.683768,-97.44686
"73036","El Reno","OK",35.519046,-97.95534
"73038","Fort Cobb","OK",35.137863,-98.43667
"73039","Davis","OK",34.62,-97.48
"73040","Geary","OK",35.631117,-98.35764
"73041","Gotebo","OK",35.045196,-98.87586
"73042","Gracemont","OK",35.218293,-98.2484
"73043","Greenfield","OK",35.730049,-98.38577
"73044","Guthrie","OK",35.857303,-97.43176
"73045","Harrah","OK",35.491184,-97.16132
"73047","Hinton","OK",35.463837,-98.32451
"73048","Hydro","OK",35.471566,-98.54418
"73049","Jones","OK",35.572909,-97.29596
"73050","Langston","OK",35.941421,-97.25495
"73051","Lexington","OK",35.039068,-97.29276
"73052","Lindsay","OK",34.839562,-97.60045
"73053","Lookeba","OK",35.372736,-98.41223
"73054","Luther","OK",35.662619,-97.18976
