"zip","city","state","latitude","longitude"
"97001","Antelope","OR",44.904051,-120.67244
"97002","Aurora","OR",45.234609,-122.79749
"97004","Beavercreek","OR",45.255392,-122.4749
"97005","Beaverton","OR",45.49106,-122.80359
"97006","Beaverton","OR",45.517695,-122.85826
"97007","Beaverton","OR",45.469079,-122.85602
"97008","Beaverton","OR",45.46059,-122.80683
"97009","Boring","OR",45.428663,-122.3809
"97010","Bridal Veil","OR",45.582981,-122.101103
"97011","Brightwood","OR",45.371086,-122.01227
"97013","Canby","OR",45.247004,-122.68208
"97014","Cascade Locks","OR",45.655523,-121.89435
"97015","Clackamas","OR",45.416785,-122.52859
"97016","Clatskanie","OR",46.078338,-123.26993
"97017","Colton","OR",45.181819,-122.39802
"97018","Columbia City","OR",45.891952,-122.8132
"97019","Corbett","OR",45.514515,-122.23283
"97020","Donald","OR",45.224154,-122.83989
"97021","Dufur","OR",45.430024,-121.17922
"97022","Eagle Creek","OR",45.349244,-122.33554
"97023","Estacada","OR",45.267354,-122.28464
"97024","Fairview","OR",45.542239,-122.44553
"97026","Gervais","OR",45.10649,-122.90363
"97027","Gladstone","OR",45.385642,-122.59272
"97028","Government Camp","OR",45.305113,-121.78441
"97029","Grass Valley","OR",45.335199,-120.7798
"97030","Gresham","OR",45.507752,-122.4323
"97031","Hood River","OR",45.673147,-121.5368
"97032","Hubbard","OR",45.183167,-122.80193
"97033","Kent","OR",45.195235,-120.59745
"97034","Lake Oswego","OR",45.40765,-122.6811
"97035","Lake Oswego","OR",45.41387,-122.72492
"97036","Marylhurst","OR",45.173284,-122.259861
"97037","Maupin","OR",45.093643,-121.10814
"97038","Molalla","OR",45.10799,-122.56555
"97039","Moro","OR",45.479419,-120.75969
"97040","Mosier","OR",45.636848,-121.40926
"97041","Mount Hood Parkdale","OR",45.503224,-121.59252
"97042","Mulino","OR",45.21307,-122.54321
"97044","Odell","OR",45.643738,-121.536658
"97045","Oregon City","OR",45.344246,-122.58464
"97048","Rainier","OR",46.054948,-122.95714
"97049","Rhododendron","OR",45.369468,-121.92558
"97050","Rufus","OR",45.693219,-120.73221
"97051","Saint Helens","OR",45.862489,-122.84824
"97053","Warren","OR",45.821358,-122.86404
"97054","Deer Island","OR",45.946314,-122.90416
"97055","Sandy","OR",45.375143,-122.21021
"97056","Scappoose","OR",45.778892,-122.92065
"97057","Shaniko","OR",45.263301,-121.088513
"97058","The Dalles","OR",45.594257,-121.18944
"97060","Troutdale","OR",45.529551,-122.39156
"97062","Tualatin","OR",45.373991,-122.77127
"97063","Tygh Valley","OR",45.262423,-121.23304
