"zip","city","state","latitude","longitude"
"15001","Aliquippa","PA",40.603966,-80.28776
"15003","Ambridge","PA",40.593917,-80.22181
"15004","Atlasburg","PA",40.341487,-80.38408
"15005","Baden","PA",40.641066,-80.20599
"15006","Bairdford","PA",40.630894,-79.88057
"15007","Bakerstown","PA",40.652311,-79.93303
"15009","Beaver","PA",40.695281,-80.3299
"15010","Beaver Falls","PA",40.763899,-80.33572
"15012","Belle Vernon","PA",40.140248,-79.84251
"15014","Brackenridge","PA",40.608403,-79.74234
"15015","Bradfordwoods","PA",40.635147,-80.08369
"15017","Bridgeville","PA",40.351802,-80.11534
"15018","Buena Vista","PA",40.266358,-79.79325
"15019","Bulger","PA",40.417545,-80.33625
"15020","Bunola","PA",40.238657,-79.94493
"15021","Burgettstown","PA",40.383884,-80.41364
"15022","Charleroi","PA",40.136537,-79.91321
"15024","Cheswick","PA",40.569723,-79.83242
"15025","Clairton","PA",40.292974,-79.90179
"15026","Clinton","PA",40.508376,-80.35953
"15027","Conway","PA",40.663816,-80.23494
"15028","Coulters","PA",40.297336,-79.80192
"15030","Creighton","PA",40.583218,-79.77947
"15031","Cuddy","PA",40.347826,-80.1656
"15032","Curtisville","PA",40.434436,-80.024817
"15033","Donora","PA",40.176375,-79.86138
"15034","Dravosburg","PA",40.350519,-79.89008
"15035","East McKeesport","PA",40.384223,-79.80792
"15036","Eldersville","PA",40.214896,-80.179139
"15037","Elizabeth","PA",40.258438,-79.85946
"15038","Elrama","PA",40.251586,-79.92474
"15042","Freedom","PA",40.682566,-80.23208
"15043","Georgetown","PA",40.582316,-80.50182
"15044","Gibsonia","PA",40.631011,-79.95766
"15045","Glassport","PA",40.326919,-79.88869
"15046","Crescent","PA",40.558477,-80.2261
"15047","Greenock","PA",40.434436,-80.024817
"15049","Harwick","PA",40.555627,-79.8064
"15050","Hookstown","PA",40.557889,-80.44529
"15051","Indianola","PA",40.565907,-79.85848
"15052","Industry","PA",40.665001,-80.42534
"15053","Joffre","PA",40.379884,-80.36087
"15054","Langeloth","PA",40.363006,-80.40861
"15055","Lawrence","PA",40.304019,-80.12246
"15056","Leetsdale","PA",40.565367,-80.20977
"15057","McDonald","PA",40.357286,-80.23629
"15059","Midland","PA",40.649081,-80.47218
"15060","Midway","PA",40.368154,-80.2924
"15061","Monaca","PA",40.677132,-80.28881
