"zip","city","state","latitude","longitude"
"02029","Providence","RI",41.817398,-71.453674
"02789","South Kingstown","RI",41.487831,-71.457592
"02801","Adamsville","RI",41.530131,-71.284066
"02802","Albion","RI",41.954098,-71.462053
"02804","Ashaway","RI",41.430068,-71.78101
"02805","Foster","RI",41.830469,-71.711713
"02806","Barrington","RI",41.746834,-71.32031
"02807","Block Island","RI",41.171389,-71.58358
"02808","Bradford","RI",41.402009,-71.74785
"02809","Bristol","RI",41.6842,-71.26866
"02812","Carolina","RI",41.46603,-71.66408
"02813","Charlestown","RI",41.385256,-71.66813
"02814","Chepachet","RI",41.896002,-71.70335
"02815","Clayville","RI",41.777861,-71.67009
"02816","Coventry","RI",41.69105,-71.57462
"02817","West Greenwich","RI",41.625874,-71.67023
"02818","East Greenwich","RI",41.649733,-71.46815
"02822","Exeter","RI",41.563937,-71.60547
"02823","Fiskeville","RI",41.7312,-71.546756
"02824","Forestdale","RI",42.000248,-71.563057
"02825","Foster","RI",41.785151,-71.72021
"02826","Glendale","RI",41.982417,-71.600848
"02827","Greene","RI",41.695419,-71.74472
"02828","Greenville","RI",41.870799,-71.5539
"02829","Harmony","RI",41.879298,-71.589357
"02830","Harrisville","RI",41.976659,-71.64969
"02831","Hope","RI",41.73865,-71.57482
"02832","Hope Valley","RI",41.511414,-71.72737
"02833","Hopkinton","RI",41.470822,-71.77722
"02835","Jamestown","RI",41.520312,-71.3718
"02836","Kenyon","RI",41.448844,-71.62145
"02837","Little Compton","RI",41.518038,-71.16548
"02838","Manville","RI",41.968698,-71.47503
"02839","Mapleville","RI",41.948108,-71.64003
"02840","Newport","RI",41.488002,-71.31262
"02841","Newport","RI",41.498977,-71.299004
"02842","Middletown","RI",41.511739,-71.28658
"02852","North Kingstown","RI",41.589701,-71.454
"02854","North Kingstown","RI",41.375317,-71.64393
"02857","North Scituate","RI",41.83902,-71.6257
"02858","Oakland","RI",41.96186,-71.64661
"02859","Pascoag","RI",41.964896,-71.72311
"02860","Pawtucket","RI",41.872099,-71.39007
"02861","Pawtucket","RI",41.881632,-71.35583
"02862","Pawtucket","RI",41.86125,-71.369099
"02863","Central Falls","RI",41.889863,-71.3926
"02864","Cumberland","RI",41.949099,-71.41181
"02865","Lincoln","RI",41.905666,-71.43023
"02871","Portsmouth","RI",41.603929,-71.26099
"02872","Prudence Island","RI",41.707119,-71.286834
"02873","Rockville","RI",41.519922,-71.774023
"02874","Saunderstown","RI",41.515135,-71.45692
"02875","Shannock","RI",41.447642,-71.63877
"02876","Slatersville","RI",41.998398,-71.576307
"02877","Slocum","RI",41.5289,-71.529854
"02878","Tiverton","RI",41.629413,-71.18724
"02879","Wakefield","RI",41.423601,-71.52322
"02880","Wakefield","RI",41.375317,-71.64393
"02881","Kingston","RI",41.481001,-71.52689
"02882","Narragansett","RI",41.432452,-71.46352
"02883","Peace Dale","RI",41.375317,-71.64393
"02885","Warren","RI",41.726184,-71.27049
"02886","Warwick","RI",41.705478,-71.45119
"02887","Warwick","RI",41.682455,-71.557732
"02888","Warwick","RI",41.74805,-71.40982
"02889","Warwick","RI",41.706814,-71.3911
"02891","Westerly","RI",41.354881,-71.80387
"02892","West Kingston","RI",41.50155,-71.58465
"02893","West Warwick","RI",41.70375,-71.51857
"02894","Wood River Junction","RI",41.444078,-71.69556
"02895","Woonsocket","RI",42.001731,-71.50722
"02896","North Smithfield","RI",41.988166,-71.55188
"02898","Wyoming","RI",41.51495,-71.68484
"02901","Providence","RI",41.82275,-71.414451
"02902","Providence","RI",41.81835,-71.424851
"02903","Providence","RI",41.8208,-71.41306
"02904","Providence","RI",41.859199,-71.43142
"02905","Providence","RI",41.7883,-71.40431
"02906","Providence","RI",41.83635,-71.39427
"02907","Providence","RI",41.79855,-71.42449
"02908","Providence","RI",41.839296,-71.43802
"02909","Providence","RI",41.8191,-71.44775
"02910","Cranston","RI",41.776867,-71.43672
"02911","North Providence","RI",41.853699,-71.47354
"02912","Providence","RI",41.826737,-71.397699
"02914","East Providence","RI",41.8124,-71.36834
"02915","Riverside","RI",41.7695,-71.35564
"02916","Rumford","RI",41.84325,-71.35391
"02917","Smithfield","RI",41.894499,-71.51646
"02918","Providence","RI",41.841499,-71.440352
"02919","Johnston","RI",41.825132,-71.49468
"02920","Cranston","RI",41.7715,-71.46485
"02921","Cranston","RI",41.76435,-71.50972
"02940","Providence","RI",41.871766,-71.558518
