"zip","city","state","latitude","longitude"
"29001","Alcolu","SC",33.76993,-80.17278
"29002","Ballentine","SC",34.126535,-81.234811
"29003","Bamberg","SC",33.272026,-81.03203
"29006","Batesburg","SC",33.872503,-81.55245
"29009","Bethune","SC",34.422793,-80.36129
"29010","Bishopville","SC",34.213582,-80.26083
"29014","Blackstock","SC",34.552119,-81.13542
"29015","Blair","SC",34.428673,-81.35898
"29016","Blythewood","SC",34.200042,-80.98653
"29018","Bowman","SC",33.354403,-80.65134
"29020","Camden","SC",34.278935,-80.59142
"29021","Camden","SC",34.56,-80.58
"29030","Cameron","SC",33.572356,-80.67158
"29031","Carlisle","SC",34.603967,-81.4496
"29032","Cassatt","SC",34.349725,-80.48117
"29033","Cayce","SC",33.964753,-81.06618
"29036","Chapin","SC",34.128998,-81.33822
"29037","Chappells","SC",34.188584,-81.87043
"29038","Cope","SC",33.372063,-80.98409
"29039","Cordova","SC",33.425547,-80.90083
"29040","Dalzell","SC",34.029407,-80.44405
"29041","Davis Station","SC",33.688373,-80.208109
"29042","Denmark","SC",33.321406,-81.14318
"29044","Eastover","SC",33.911025,-80.70157
"29045","Elgin","SC",34.1699,-80.81448
"29046","Elliott","SC",34.107967,-80.161
"29047","Elloree","SC",33.52803,-80.58127
"29048","Eutawville","SC",33.399511,-80.32069
"29051","Gable","SC",33.845399,-80.13052
"29052","Gadsden","SC",33.839441,-80.74802
"29053","Gaston","SC",33.830405,-81.09219
"29054","Gilbert","SC",33.947764,-81.3823
"29055","Great Falls","SC",34.569908,-80.90972
"29056","Greeleyville","SC",33.634675,-79.99205
"29058","Heath Springs","SC",34.588329,-80.70107
"29059","Holly Hill","SC",33.332666,-80.42251
"29061","Hopkins","SC",33.920721,-80.84535
"29062","Horatio","SC",34.020978,-80.56786
"29063","Irmo","SC",34.120487,-81.19686
"29065","Jenkinsville","SC",34.295632,-81.30068
"29066","Batesburg-Leesville","SC",33.905722,-81.530165
"29067","Kershaw","SC",34.545825,-80.54807
"29069","Lamar","SC",34.183978,-80.07629
"29070","Leesville","SC",33.931279,-81.465
"29071","Lexington","SC",33.925183,-81.248345
"29072","Lexington","SC",33.991362,-81.25047
"29073","Lexington","SC",33.917812,-81.21854
"29074","Liberty Hill","SC",34.450789,-80.79844
"29075","Little Mountain","SC",34.194914,-81.39016
"29078","Lugoff","SC",34.204467,-80.70776
"29079","Lydia","SC",34.296064,-80.11319
"29080","Lynchburg","SC",34.007854,-80.0675
"29081","Ehrhardt","SC",33.094711,-81.04345
"29082","Lodge","SC",33.040507,-80.95448
"29101","McBee","SC",34.461353,-80.2506
"29102","Manning","SC",33.647611,-80.21281
"29103","Mayesville","SC",33.989924,-80.208361
"29104","Mayesville","SC",34.000732,-80.2136
"29105","Monetta","SC",33.831118,-81.59772
"29106","Monticello","SC",34.373596,-81.098735
"29107","Neeses","SC",33.532767,-81.12298
"29108","Newberry","SC",34.282877,-81.61641
"29111","New Zion","SC",33.795243,-80.04196
"29112","North","SC",33.629017,-81.09763
"29113","Norway","SC",33.445032,-81.12334
"29114","Olanta","SC",33.9413,-79.93219
"29115","Orangeburg","SC",33.487767,-80.8564
"29116","Orangeburg","SC",33.49593,-80.824603
"29117","Orangeburg","SC",33.442019,-80.797486
"29118","Orangeburg","SC",33.548282,-80.88513
"29122","Peak","SC",34.242848,-81.32649
"29123","Pelion","SC",33.771358,-81.25987
"29124","Perry","SC",33.630125,-81.30861
"29125","Pinewood","SC",33.71469,-80.4548
"29126","Pomaria","SC",34.305501,-81.4218
"29127","Prosperity","SC",34.14854,-81.511
"29128","Rembert","SC",34.094472,-80.54447
"29129","Ridge Spring","SC",33.804368,-81.65577
"29130","Ridgeway","SC",34.328826,-80.88762
"29132","Rion","SC",34.309957,-81.12724
"29133","Rowesville","SC",33.37731,-80.81601
"29135","Saint Matthews","SC",33.675533,-80.79563
"29137","Salley","SC",33.593634,-81.32226
"29138","Saluda","SC",34.029635,-81.77579
"29142","Santee","SC",33.462378,-80.50903
"29143","Sardinia","SC",33.688373,-80.208109
"29145","Silverstreet","SC",34.215881,-81.75318
"29146","Springfield","SC",33.506999,-81.28947
"29147","State Park","SC",34.005992,-80.970766
"29148","Summerton","SC",33.570595,-80.33969
"29150","Sumter","SC",33.916418,-80.35738
"29151","Sumter","SC",33.899856,-80.37434
"29152","Shaw A F B","SC",33.972863,-80.46534
"29153","Sumter","SC",33.948928,-80.32025
"29154","Sumter","SC",33.899155,-80.43433
"29160","Swansea","SC",33.734171,-81.07563
"29161","Timmonsville","SC",34.115691,-79.94482
"29162","Turbeville","SC",33.88759,-80.01013
"29163","Vance","SC",33.434712,-80.43046
"29164","Wagener","SC",33.659078,-81.40845
"29166","Ward","SC",33.90529,-81.70607
"29168","Wedgefield","SC",33.881986,-80.50487
"29169","West Columbia","SC",33.990952,-81.08956
"29170","West Columbia","SC",33.943251,-81.14142
"29171","West Columbia","SC",33.925183,-81.248345
"29172","West Columbia","SC",33.902216,-81.08256
"29175","Westville","SC",34.443733,-80.60138
"29176","White Oak","SC",34.373596,-81.098735
"29177","White Rock","SC",34.143934,-81.27281
"29178","Whitmire","SC",34.502577,-81.60777
"29180","Winnsboro","SC",34.369441,-81.08218
"29201","Columbia","SC",33.998454,-81.03519
"29202","Columbia","SC",34.022921,-81.02886
"29203","Columbia","SC",34.066271,-81.02492
"29204","Columbia","SC",34.027955,-81.00008
"29205","Columbia","SC",33.990555,-80.99826
"29206","Columbia","SC",34.037557,-80.96024
"29207","Columbia","SC",34.021442,-80.94144
"29208","Columbia","SC",33.993705,-81.019913
"29209","Columbia","SC",33.968011,-80.93844
"29210","Columbia","SC",34.041646,-81.10624
"29211","Columbia","SC",34.096716,-80.922338
"29212","Columbia","SC",34.075611,-81.17611
"29214","Columbia","SC",34.005992,-80.970766
"29215","Columbia","SC",34.005992,-80.970766
"29216","Columbia","SC",34.005992,-80.970766
"29217","Columbia","SC",34.005992,-80.970766
