"zip","city","state","latitude","longitude"
"57001","Alcester","SD",42.974216,-96.63848
"57002","Aurora","SD",44.287058,-96.67784
"57003","Baltic","SD",43.726266,-96.74702
"57004","Beresford","SD",43.069991,-96.79091
"57005","Brandon","SD",43.590014,-96.58362
"57006","Brookings","SD",44.305418,-96.7906
"57007","Brookings","SD",44.369696,-96.790705
"57010","Burbank","SD",42.819124,-96.8163
"57012","Canistota","SD",43.608442,-97.25757
"57013","Canton","SD",43.294672,-96.60442
"57014","Centerville","SD",43.111838,-96.9563
"57015","Chancellor","SD",43.410132,-96.97587
"57016","Chester","SD",43.89916,-96.95926
"57017","Colman","SD",44.001123,-96.81166
"57018","Colton","SD",43.797629,-96.96107
"57020","Crooks","SD",43.672525,-96.81757
"57021","Davis","SD",43.268424,-96.99369
"57022","Dell Rapids","SD",43.833265,-96.70684
"57024","Egan","SD",43.997522,-96.65717
"57025","Elk Point","SD",42.728534,-96.69785
"57026","Elkton","SD",44.252315,-96.5166
"57027","Fairview","SD",43.192357,-96.51982
"57028","Flandreau","SD",44.047857,-96.58896
"57029","Freeman","SD",43.335663,-97.47022
"57030","Garretson","SD",43.735778,-96.54332
"57031","Gayville","SD",42.886177,-97.18884
"57032","Harrisburg","SD",43.424257,-96.67817
"57033","Hartford","SD",43.614888,-96.95463
"57034","Hudson","SD",43.134318,-96.51959
"57035","Humboldt","SD",43.643112,-97.07195
"57036","Hurley","SD",43.281047,-97.15149
"57037","Irene","SD",43.104527,-97.24905
"57038","Jefferson","SD",42.585305,-96.57657
"57039","Lennox","SD",43.350093,-96.87487
"57040","Lesterville","SD",43.060656,-97.58708
"57041","Lyons","SD",43.723468,-96.86695
"57042","Madison","SD",43.995586,-97.134
"57043","Marion","SD",43.42258,-97.29026
"57044","Meckling","SD",42.846853,-97.08438
"57045","Menno","SD",43.214133,-97.53946
"57046","Mission Hill","SD",42.945468,-97.2884
"57047","Monroe","SD",43.50934,-97.21919
"57048","Montrose","SD",43.734095,-97.18706
"57049","North Sioux City","SD",42.524771,-96.49955
"57050","Nunda","SD",44.159515,-97.00957
"57051","Oldham","SD",44.219545,-97.34057
"57052","Olivet","SD",43.29183,-97.7082
"57053","Parker","SD",43.414257,-97.13198
"57054","Ramona","SD",44.129029,-97.23971
