"zip","city","state","latitude","longitude"
"31788","White House","TN",31.138011,-83.716729
"37010","Adams","TN",36.569635,-87.10026
"37011","Antioch","TN",36.170556,-86.8825
"37012","Alexandria","TN",36.076635,-86.01978
"37013","Antioch","TN",36.055115,-86.64782
"37014","Arrington","TN",35.856372,-86.66189
"37015","Ashland City","TN",36.299293,-87.06949
"37016","Auburntown","TN",35.951494,-86.09259
"37018","Beechgrove","TN",35.642797,-86.1669
"37019","Belfast","TN",35.390308,-86.70969
"37020","Bell Buckle","TN",35.616935,-86.39629
"37022","Bethpage","TN",36.501049,-86.3
"37023","Big Rock","TN",36.574224,-87.79018
"37024","Brentwood","TN",35.874553,-86.907565
"37025","Bon Aqua","TN",35.943598,-87.28991
"37026","Bradyville","TN",35.699599,-86.10976
"37027","Brentwood","TN",36.007373,-86.79121
"37028","Bumpus Mills","TN",36.633539,-87.86841
"37029","Burns","TN",36.047742,-87.28938
"37030","Carthage","TN",36.264959,-85.94893
"37031","Castalian Springs","TN",36.377228,-86.30112
"37032","Cedar Hill","TN",36.522355,-87.02542
"37033","Centerville","TN",35.76714,-87.49418
"37034","Chapel Hill","TN",35.639491,-86.6865
"37035","Chapmansboro","TN",36.388731,-87.13175
"37036","Charlotte","TN",36.225389,-87.29179
"37037","Christiana","TN",35.702877,-86.35134
"37040","Clarksville","TN",36.528448,-87.34142
"37041","Clarksville","TN",36.477428,-87.377197
"37042","Clarksville","TN",36.58068,-87.4056
"37043","Clarksville","TN",36.506407,-87.2572
"37044","Clarksville","TN",36.531398,-87.353008
"37046","College Grove","TN",35.7557,-86.72272
"37047","Cornersville","TN",35.330683,-86.8406
"37048","Cottontown","TN",36.491753,-86.59963
"37049","Cross Plains","TN",36.548569,-86.67907
"37050","Cumberland City","TN",36.373626,-87.63158
"37051","Cumberland Furnace","TN",36.310027,-87.4128
"37052","Cunningham","TN",36.371609,-87.4039
"37055","Dickson","TN",36.065779,-87.40831
"37056","Dickson","TN",36.146949,-87.352971
"37057","Dixon Springs","TN",36.389736,-86.04135
"37058","Dover","TN",36.477136,-87.85877
"37059","Dowelltown","TN",35.993983,-85.92851
"37060","Eagleville","TN",35.73843,-86.64441
"37061","Erin","TN",36.301089,-87.68198
"37062","Fairview","TN",35.976983,-87.14128
"37063","Fosterville","TN",35.859565,-86.420958
"37064","Franklin","TN",35.893823,-86.89919
"37065","Franklin","TN",35.895085,-86.921416
"37066","Gallatin","TN",36.388997,-86.4548
"37067","Franklin","TN",35.921811,-86.7952
"37068","Franklin","TN",35.874553,-86.907565
"37069","Franklin","TN",35.97706,-86.89653
"37070","Goodlettsville","TN",36.186605,-86.785248
"37071","Gladeville","TN",36.156231,-86.304922
"37072","Goodlettsville","TN",36.35465,-86.71879
"37073","Greenbrier","TN",36.427758,-86.81023
"37074","Hartsville","TN",36.407653,-86.15305
"37075","Hendersonville","TN",36.311047,-86.61173
"37076","Hermitage","TN",36.180507,-86.60111
"37077","Hendersonville","TN",36.304701,-86.621095
"37078","Hurricane Mills","TN",35.924976,-87.77219
"37079","Indian Mound","TN",36.48677,-87.66331
"37080","Joelton","TN",36.329551,-86.90949
"37082","Kingston Springs","TN",36.084917,-87.1106
"37083","Lafayette","TN",36.537994,-86.01497
"37085","Lascassas","TN",35.950979,-86.29596
"37086","La Vergne","TN",36.01333,-86.56268
"37087","Lebanon","TN",36.240331,-86.29271
"37088","Lebanon","TN",36.156231,-86.304922
"37089","La Vergne","TN",35.859565,-86.420958
"37090","Lebanon","TN",36.147433,-86.31061
"37091","Lewisburg","TN",35.461359,-86.7792
"37095","Liberty","TN",36.000953,-85.97669
"37096","Linden","TN",35.61432,-87.87486
"37097","Lobelville","TN",35.769743,-87.80286
"37098","Lyles","TN",35.882639,-87.31395
"37101","McEwen","TN",36.069712,-87.64489
"37110","McMinnville","TN",35.687286,-85.787
"37111","McMinnville","TN",35.678368,-85.777633
"37115","Madison","TN",36.264069,-86.70566
"37116","Madison","TN",36.186605,-86.785248
"37118","Milton","TN",35.929221,-86.18393
"37119","Mitchellville","TN",36.631981,-86.539028
"37121","Mount Juliet","TN",36.156231,-86.304922
"37122","Mount Juliet","TN",36.195016,-86.49732
"37127","Murfreesboro","TN",35.791021,-86.34445
"37128","Murfreesboro","TN",35.813319,-86.4455
"37129","Murfreesboro","TN",35.896645,-86.42425
"37130","Murfreesboro","TN",35.860152,-86.3648
"37131","Murfreesboro","TN",35.859565,-86.420958
"37132","Murfreesboro","TN",35.859565,-86.420958
"37133","Murfreesboro","TN",35.859565,-86.420958
"37134","New Johnsonville","TN",36.022057,-87.9564
"37135","Nolensville","TN",35.940383,-86.6686
"37136","Norene","TN",36.156231,-86.304922
"37137","Nunnelly","TN",35.88662,-87.50471
"37138","Old Hickory","TN",36.243698,-86.62308
"37140","Only","TN",35.863362,-87.67179
"37141","Orlinda","TN",36.60983,-86.69226
"37142","Palmyra","TN",36.421075,-87.49893
"37143","Pegram","TN",36.121471,-87.04467
"37144","Petersburg","TN",35.301331,-86.63337
"37145","Pleasant Shade","TN",36.377253,-85.90866
"37146","Pleasant View","TN",36.393153,-87.0285
"37147","Pleasantville","TN",35.679617,-87.65472
"37148","Portland","TN",36.576137,-86.51355
"37149","Readyville","TN",35.800108,-86.19391
"37150","Red Boiling Springs","TN",36.543183,-85.81114
"37151","Riddleton","TN",36.335403,-86.0317
"37152","Ridgetop","TN",36.396821,-86.76679
"37153","Rockvale","TN",35.751016,-86.55056
"37155","Saint Bethlehem","TN",36.477428,-87.377197
"37160","Shelbyville","TN",35.47066,-86.45974
"37161","Shelbyville","TN",35.471531,-86.489019
"37162","Shelbyville","TN",35.510825,-86.450042
"37165","Slayden","TN",36.283543,-87.458058
"37166","Smithville","TN",35.922583,-85.80108
"37167","Smyrna","TN",35.968513,-86.52231
"37171","Southside","TN",36.354736,-87.30571
"37172","Springfield","TN",36.513979,-86.86892
"37174","Spring Hill","TN",35.73062,-86.91144
"37175","Stewart","TN",36.316042,-87.89028
"37178","Tennessee Ridge","TN",36.323799,-87.77676
"37179","Thompsons Station","TN",35.79867,-86.90734
"37180","Unionville","TN",35.621614,-86.57353
"37181","Vanleer","TN",36.237999,-87.49831
"37183","Wartrace","TN",35.508541,-86.30889
"37184","Watertown","TN",36.096166,-86.13715
"37185","Waverly","TN",36.085376,-87.81626
"37186","Westmoreland","TN",36.579247,-86.23954
"37187","White Bluff","TN",36.117433,-87.21761
"37188","White House","TN",36.467624,-86.66941
"37189","Whites Creek","TN",36.27062,-86.82052
"37190","Woodbury","TN",35.813335,-86.05538
"37191","Woodlawn","TN",36.503792,-87.54263
"37201","Nashville","TN",36.164556,-86.77738
"37202","Nashville","TN",36.340304,-86.827254
"37203","Nashville","TN",36.152607,-86.78927
"37204","Nashville","TN",36.112058,-86.77626
"37205","Nashville","TN",36.113558,-86.86207
"37206","Nashville","TN",36.180806,-86.74176
"37207","Nashville","TN",36.215535,-86.77317
"37208","Nashville","TN",36.174806,-86.80252
"37209","Nashville","TN",36.151324,-86.8559
"37210","Nashville","TN",36.140857,-86.74437
"37211","Nashville","TN",36.079259,-86.72584
"37212","Nashville","TN",36.133251,-86.80057
"37213","Nashville","TN",36.167179,-86.76777
"37214","Nashville","TN",36.166956,-86.66869
"37215","Nashville","TN",36.098408,-86.82522
"37216","Nashville","TN",36.213004,-86.72594
"37217","Nashville","TN",36.103408,-86.66616
"37218","Nashville","TN",36.206755,-86.85215
"37219","Nashville","TN",36.166806,-86.78172
"37220","Nashville","TN",36.069659,-86.77266
"37221","Nashville","TN",36.065032,-86.94674
"37222","Nashville","TN",36.056164,-86.980116
"37224","Nashville","TN",36.186605,-86.785248
"37227","Nashville","TN",36.186605,-86.785248
"37228","Nashville","TN",36.190205,-86.80078
"37229","Nashville","TN",36.186605,-86.785248
"37230","Nashville","TN",36.186605,-86.785248
"37232","Nashville","TN",36.186605,-86.785248
"37234","Nashville","TN",36.186605,-86.785248
"37235","Nashville","TN",36.186605,-86.785248
"37236","Nashville","TN",36.186605,-86.785248
"37237","Nashville","TN",36.186605,-86.785248
"37238","Nashville","TN",36.186605,-86.785248
"37239","Nashville","TN",36.186605,-86.785248
"37240","Nashville","TN",36.186605,-86.785248
"37241","Nashville","TN",36.186605,-86.785248
"37242","Nashville","TN",36.186605,-86.785248
"37243","Nashville","TN",36.167606,-86.784498
"37244","Nashville","TN",36.186605,-86.785248
"37245","Nashville","TN",36.186605,-86.785248
"37246","Nashville","TN",36.158606,-86.789998
"37247","Nashville","TN",36.186605,-86.785248
"37248","Nashville","TN",36.186605,-86.785248
"37249","Nashville","TN",36.186605,-86.785248
"37250","Nashville","TN",36.186605,-86.785248
"37301","Altamont","TN",35.429018,-85.77679
"37302","Apison","TN",35.017404,-85.01322
"37303","Athens","TN",35.441378,-84.61975
"37304","Bakewell","TN",35.345216,-85.138046
"37305","Beersheba Springs","TN",35.467486,-85.67736
"37306","Belvidere","TN",35.106467,-86.2035
"37307","Benton","TN",35.172376,-84.63913
"37308","Birchwood","TN",35.357001,-84.99288
"37309","Calhoun","TN",35.302952,-84.74359
"37310","Charleston","TN",35.275808,-84.76927
"37311","Cleveland","TN",35.146362,-84.88723
"37312","Cleveland","TN",35.219532,-84.86489
"37313","Coalmont","TN",35.361678,-85.70288
"37314","Cokercreek","TN",35.246689,-84.303121
"37315","Collegedale","TN",35.047891,-85.057359
"37316","Conasauga","TN",34.995039,-84.72951
"37317","Copperhill","TN",35.008596,-84.3859
"37318","Cowan","TN",35.168862,-86.00538
"37320","Cleveland","TN",35.17272,-84.861885
"37321","Dayton","TN",35.495894,-85.01032
"37322","Decatur","TN",35.503723,-84.80741
"37323","Cleveland","TN",35.114482,-84.82836
"37324","Decherd","TN",35.234156,-86.0324
"37325","Delano","TN",35.245578,-84.58812
"37326","Ducktown","TN",35.030319,-84.38284
"37327","Dunlap","TN",35.399109,-85.38755
"37328","Elora","TN",35.018508,-86.36085
"37329","Englewood","TN",35.41142,-84.47473
"37330","Estill Springs","TN",35.280936,-86.12247
"37331","Etowah","TN",35.325991,-84.53015
"37332","Evensville","TN",35.585467,-84.94125
"37333","Farner","TN",35.14864,-84.31707
"37334","Fayetteville","TN",35.136177,-86.57433
"37335","Flintville","TN",35.063253,-86.41866
"37336","Georgetown","TN",35.308786,-84.93042
"37337","Grandview","TN",35.78168,-84.87955
"37338","Graysville","TN",35.443503,-85.18397
"37339","Gruetli Laager","TN",35.373152,-85.62361
"37340","Guild","TN",35.013853,-85.53107
"37341","Harrison","TN",35.19154,-85.09827
"37342","Hillsboro","TN",35.39156,-85.96367
"37343","Hixson","TN",35.167987,-85.21158
"37345","Huntland","TN",35.052678,-86.27141
"37347","Jasper","TN",35.065007,-85.61818
"37348","Kelso","TN",35.1149,-86.4421
"37349","Manchester","TN",35.497637,-86.07482
"37350","Lookout Mountain","TN",34.998375,-85.34865
"37351","Lupton City","TN",35.104789,-85.26415
