"zip","city","state","latitude","longitude"
"84001","Altamont","UT",40.395531,-110.27969
"84002","Altonah","UT",40.45679,-110.32673
"84003","American Fork","UT",40.394235,-111.79449
"84004","Alpine","UT",40.465161,-111.76279
"84005","Eagle Mountain","UT",40.37,-112.02
"84006","Bingham Canyon","UT",40.563896,-112.1281
"84007","Bluebell","UT",40.349644,-110.19776
"84008","Bonanza","UT",40.443106,-109.505593
"84010","Bountiful","UT",40.876312,-111.87249
"84011","Bountiful","UT",40.963547,-112.115984
"84013","Cedar Valley","UT",40.288953,-112.09859
"84014","Centerville","UT",40.927244,-111.87682
"84015","Clearfield","UT",41.126476,-112.04427
"84016","Clearfield","UT",40.892995,-111.888121
"84017","Coalville","UT",40.88097,-111.37752
"84018","Croydon","UT",41.084479,-111.53153
"84020","Draper","UT",40.514843,-111.87294
"84021","Duchesne","UT",40.169399,-110.46066
"84022","Dugway","UT",40.212316,-112.70012
"84023","Dutch John","UT",40.881951,-109.46319
"84024","Echo","UT",40.959532,-111.42743
"84025","Farmington","UT",40.988347,-111.88847
"84026","Fort Duchesne","UT",40.294693,-109.82903
"84027","Fruitland","UT",40.156858,-110.95449
"84028","Garden City","UT",41.91021,-111.40328
"84029","Grantsville","UT",40.689007,-112.6698
"84030","Gusher","UT",40.160179,-109.547839
"84031","Hanna","UT",40.535823,-110.46651
"84032","Heber City","UT",40.511413,-111.33259
"84033","Henefer","UT",40.996895,-111.50264
"84034","Ibapah","UT",40.105506,-113.94372
"84035","Jensen","UT",40.443203,-109.25255
"84036","Kamas","UT",40.625883,-111.20141
"84037","Kaysville","UT",41.032893,-111.93004
"84038","Laketown","UT",41.797569,-111.3702
"84039","Lapoint","UT",40.401201,-109.81677
"84040","Layton","UT",41.086894,-111.9271
"84041","Layton","UT",41.07221,-111.97625
"84042","Lindon","UT",40.338552,-111.7162
"84043","Lehi","UT",40.366648,-111.89052
"84044","Magna","UT",40.700162,-112.08318
