"zip","city","state","latitude","longitude"
"98001","Auburn","WA",47.303722,-122.26608
"98002","Auburn","WA",47.304221,-122.21602
"98003","Federal Way","WA",47.311072,-122.31188
"98004","Bellevue","WA",47.618371,-122.20308
"98005","Bellevue","WA",47.611021,-122.16858
"98006","Bellevue","WA",47.562975,-122.1526
"98007","Bellevue","WA",47.610935,-122.14104
"98008","Bellevue","WA",47.609222,-122.1155
"98009","Bellevue","WA",47.432251,-121.803388
"98010","Black Diamond","WA",47.317802,-122.01479
"98011","Bothell","WA",47.751471,-122.20257
"98012","Bothell","WA",47.84311,-122.20457
"98013","Burton","WA",47.432251,-121.803388
"98014","Carnation","WA",47.648232,-121.91265
"98015","Bellevue","WA",47.432251,-121.803388
"98019","Duvall","WA",47.7353,-121.96222
"98020","Edmonds","WA",47.803668,-122.37096
"98021","Bothell","WA",47.790653,-122.22021
"98022","Enumclaw","WA",47.193729,-121.91915
"98023","Federal Way","WA",47.309021,-122.36178
"98024","Fall City","WA",47.565642,-121.88638
"98025","Hobart","WA",47.430704,-121.88496
"98026","Edmonds","WA",47.821568,-122.33651
"98027","Issaquah","WA",47.522828,-122.02921
"98028","Kenmore","WA",47.75287,-122.24736
"98029","Issaquah","WA",47.572401,-122.02065
"98030","Kent","WA",47.369098,-122.192276
"98031","Kent","WA",47.388461,-122.19644
"98032","Kent","WA",47.388254,-122.25932
"98033","Kirkland","WA",47.67903,-122.1934
"98034","Kirkland","WA",47.71828,-122.19702
"98035","Kent","WA",47.432251,-121.803388
"98036","Lynnwood","WA",47.808816,-122.28394
"98037","Lynnwood","WA",47.848237,-122.28348
"98038","Maple Valley","WA",47.381989,-122.03553
"98039","Medina","WA",47.626571,-122.2328
"98040","Mercer Island","WA",47.569271,-122.23233
"98041","Bothell","WA",47.432251,-121.803388
"98042","Kent","WA",47.363382,-122.11451
"98043","Mountlake Terrace","WA",47.790969,-122.30539
"98045","North Bend","WA",47.483057,-121.73254
"98046","Lynnwood","WA",48.037258,-121.682271
"98047","Pacific","WA",47.26619,-122.24463
"98050","Preston","WA",47.536015,-121.931195
"98051","Ravensdale","WA",47.359414,-121.88657
"98052","Redmond","WA",47.677471,-122.12138
"98053","Redmond","WA",47.640972,-122.03318
"98054","Redondo","WA",47.432251,-121.803388
"98055","Renton","WA",47.467422,-122.21005
"98056","Renton","WA",47.510739,-122.18372
"98057","Renton","WA",47.432251,-121.803388
"98058","Renton","WA",47.448322,-122.14584
"98059","Renton","WA",47.493031,-122.14169
"98060","Seattle","WA",47.432251,-121.803388
"98061","Rollingbay","WA",47.680763,-122.576199
"98062","Seahurst","WA",47.432251,-121.803388
"98063","Federal Way","WA",47.432251,-121.803388
"98064","Kent","WA",47.432251,-121.803388
"98065","Snoqualmie","WA",47.530639,-121.83053
"98067","Bellevue","WA",47.617634,-122.140193
