"zip","city","state","latitude","longitude"
"52820","Tennyson","WI",42.689339,-90.682257
"53001","Adell","WI",43.61014,-88.03047
"53002","Allenton","WI",43.461969,-88.36432
"53003","Ashippun","WI",43.211067,-88.51649
"53004","Belgium","WI",43.498943,-87.86211
"53005","Brookfield","WI",43.060872,-88.09478
"53006","Brownsville","WI",43.623996,-88.51089
"53007","Butler","WI",43.10836,-88.06893
"53008","Brookfield","WI",43.018696,-88.302997
"53009","Byron","WI",43.76983,-88.494357
"53010","Campbellsport","WI",43.602787,-88.2653
"53011","Cascade","WI",43.657079,-88.08008
"53012","Cedarburg","WI",43.305412,-87.99794
"53013","Cedar Grove","WI",43.575272,-87.84597
"53014","Chilton","WI",44.033215,-88.17626
"53015","Cleveland","WI",43.914168,-87.76689
"53016","Clyman","WI",43.313002,-88.71989
"53017","Colgate","WI",43.199526,-88.26177
"53018","Delafield","WI",43.05348,-88.39844
"53019","Eden","WI",43.699527,-88.32233
"53020","Elkhart Lake","WI",43.85255,-88.01085
"53021","Fredonia","WI",43.483263,-87.98908
"53022","Germantown","WI",43.219155,-88.12043
"53023","Glenbeulah","WI",43.777582,-88.10103
"53024","Grafton","WI",43.32546,-87.94573
"53026","Greenbush","WI",43.718294,-87.618716
"53027","Hartford","WI",43.313361,-88.37332
"53029","Hartland","WI",43.132743,-88.34737
"53031","Hingham","WI",43.639395,-87.915705
"53032","Horicon","WI",43.446666,-88.62795
"53033","Hubertus","WI",43.233282,-88.2396
"53034","Hustisford","WI",43.345528,-88.60135
"53035","Iron Ridge","WI",43.395861,-88.53606
"53036","Ixonia","WI",43.178685,-88.5739
"53037","Jackson","WI",43.322213,-88.17011
"53038","Johnson Creek","WI",43.075784,-88.77595
"53039","Juneau","WI",43.378828,-88.70876
"53040","Kewaskum","WI",43.52413,-88.19215
"53042","Kiel","WI",43.924095,-88.00285
"53044","Kohler","WI",43.740794,-87.78303
"53045","Brookfield","WI",43.055315,-88.1503
"53046","Lannon","WI",43.153447,-88.16124
"53047","Lebanon","WI",43.257364,-88.62873
"53048","Lomira","WI",43.584926,-88.44594
"53049","Malone","WI",43.887372,-88.28802
"53050","Mayville","WI",43.499518,-88.53911
"53051","Menomonee Falls","WI",43.151183,-88.11034
"53052","Menomonee Falls","WI",43.018696,-88.302997
"53056","Merton","WI",43.146023,-88.30975
"53057","Mount Calvary","WI",43.80576,-88.25436
"53058","Nashotah","WI",43.108775,-88.40276
"53059","Neosho","WI",43.289159,-88.52623
"53060","Newburg","WI",43.433807,-88.062338
"53061","New Holstein","WI",43.949961,-88.09962
"53062","New Holstein","WI",44.067942,-88.223131
"53063","Newton","WI",43.97207,-87.7766
"53064","North Lake","WI",43.018696,-88.302997
"53065","Oakfield","WI",43.689915,-88.56586
"53066","Oconomowoc","WI",43.108241,-88.48935
"53069","Okauchee","WI",43.114118,-88.43771
"53070","Oostburg","WI",43.622793,-87.80364
"53072","Pewaukee","WI",43.076953,-88.268
"53073","Plymouth","WI",43.758674,-87.98005
"53074","Port Washington","WI",43.40181,-87.88001
"53075","Random Lake","WI",43.564477,-87.99094
"53076","Richfield","WI",43.265289,-88.20144
"53078","Rubicon","WI",43.3182,-88.45169
"53079","Saint Cloud","WI",43.808108,-88.18164
"53080","Saukville","WI",43.394676,-87.95887
"53081","Sheboygan","WI",43.736145,-87.72893
"53082","Sheboygan","WI",43.718294,-87.618716
"53083","Sheboygan","WI",43.797567,-87.75664
"53085","Sheboygan Falls","WI",43.731685,-87.83406
"53086","Slinger","WI",43.33278,-88.27907
"53088","Stockbridge","WI",44.075128,-88.30106
"53089","Sussex","WI",43.14004,-88.22641
"53090","West Bend","WI",43.446623,-88.17879
"53091","Theresa","WI",43.502688,-88.43299
"53092","Thiensville","WI",43.223907,-87.95085
"53093","Waldo","WI",43.665399,-87.94735
"53094","Watertown","WI",43.170606,-88.73058
"53095","West Bend","WI",43.40328,-88.18026
"53097","Mequon","WI",43.234506,-88.00914
"53098","Watertown","WI",43.231506,-88.70634
"53099","Woodland","WI",43.414202,-88.704914
"53101","Bassett","WI",42.58098,-87.662878
"53102","Benet Lake","WI",42.500141,-88.079983
"53103","Big Bend","WI",42.886982,-88.20955
"53104","Bristol","WI",42.551693,-88.04908
"53105","Burlington","WI",42.662671,-88.28132
"53108","Caledonia","WI",42.825711,-87.94293
"53109","Camp Lake","WI",42.535968,-88.144386
"53110","Cudahy","WI",42.948416,-87.86101
"53114","Darien","WI",42.60027,-88.74978
"53115","Delavan","WI",42.63427,-88.6383
"53118","Dousman","WI",42.991622,-88.47085
"53119","Eagle","WI",42.881035,-88.47117
"53120","East Troy","WI",42.797775,-88.40435
"53121","Elkhorn","WI",42.711105,-88.54214
"53122","Elm Grove","WI",43.050762,-88.0842
"53125","Fontana","WI",42.546003,-88.56234
"53126","Franksville","WI",42.778642,-87.96609
"53127","Genesee Depot","WI",42.960098,-88.374455
"53128","Genoa City","WI",42.526028,-88.33443
"53129","Greendale","WI",42.937448,-87.99839
"53130","Hales Corners","WI",42.941264,-88.05121
"53132","Franklin","WI",42.896145,-88.00891
"53134","Walworth","WI",42.560001,-88.594815
"53137","Helenville","WI",43.000999,-88.66382
"53138","Honey Creek","WI",42.66749,-88.541721
"53139","Kansasville","WI",42.691937,-88.12599
"53140","Kenosha","WI",42.60217,-87.82979
"53141","Kenosha","WI",42.58098,-87.662878
"53142","Kenosha","WI",42.559823,-87.87878
"53143","Kenosha","WI",42.56427,-87.83043
"53144","Kenosha","WI",42.601842,-87.87617
"53146","New Berlin","WI",42.973663,-88.15414
"53147","Lake Geneva","WI",42.587613,-88.45828
"53148","Lyons","WI",42.649557,-88.35965
"53149","Mukwonago","WI",42.872477,-88.34409
"53150","Muskego","WI",42.901235,-88.12464
"53151","New Berlin","WI",42.980163,-88.09438
"53152","New Munster","WI",42.574616,-88.232632
"53153","North Prairie","WI",42.935259,-88.40501
"53154","Oak Creek","WI",42.884347,-87.8992
"53156","Palmyra","WI",42.879242,-88.58987
"53157","Pell Lake","WI",42.540048,-88.358167
"53158","Pleasant Prairie","WI",42.529075,-87.87201
"53159","Powers Lake","WI",42.555695,-88.296914
"53167","Rochester","WI",42.742629,-88.22308
"53168","Salem","WI",42.573081,-88.12444
"53170","Silver Lake","WI",42.550263,-88.17065
"53171","Somers","WI",42.642298,-87.903161
"53172","South Milwaukee","WI",42.909816,-87.86395
"53176","Springfield","WI",42.642223,-88.41179
"53177","Sturtevant","WI",42.699169,-87.91692
"53178","Sullivan","WI",43.015999,-88.59572
"53179","Trevor","WI",42.515668,-88.13454
"53181","Twin Lakes","WI",42.515596,-88.25761
"53182","Union Grove","WI",42.696322,-88.04658
"53183","Wales","WI",43.002534,-88.37771
"53184","Walworth","WI",42.532636,-88.59862
"53185","Waterford","WI",42.798555,-88.19409
"53186","Waukesha","WI",43.015289,-88.20924
"53187","Waukesha","WI",43.018696,-88.302997
"53188","Waukesha","WI",43.020762,-88.26852
"53189","Waukesha","WI",42.967394,-88.264
"53190","Whitewater","WI",42.818747,-88.73279
"53191","Williams Bay","WI",42.573162,-88.54021
