"zip","city","state","latitude","longitude"
"24701","Bluefield","WV",37.2757,-81.2145
"24704","Bluefield","WV",37.264098,-81.229646
"24712","Athens","WV",37.448532,-81.0032
"24714","Beeson","WV",37.501743,-81.22148
"24715","Bramwell","WV",37.335297,-81.31112
"24716","Bud","WV",37.532524,-81.37275
"24719","Covel","WV",37.48929,-81.29736
"24724","Freeman","WV",37.32767,-81.29994
"24726","Herndon","WV",37.520914,-81.33026
"24729","Hiawatha","WV",37.416395,-81.105803
"24731","Kegley","WV",37.404113,-81.14078
"24732","Kellysville","WV",37.416395,-81.105803
"24733","Lashmeet","WV",37.431153,-81.22628
"24736","Matoaka","WV",37.425866,-81.27625
"24737","Montcalm","WV",37.352655,-81.24781
"24738","Nemours","WV",37.416395,-81.105803
"24739","Oakvale","WV",37.336554,-80.95523
"24740","Princeton","WV",37.368167,-81.07307
"24747","Rock","WV",37.394221,-81.21868
"24751","Wolfe","WV",37.416395,-81.105803
"24801","Welch","WV",37.424498,-81.57835
"24808","Anawalt","WV",37.338242,-81.43081
"24811","Avondale","WV",37.399793,-81.78312
"24813","Bartley","WV",37.355111,-81.73002
"24815","Berwind","WV",37.25068,-81.65044
"24816","Big Sandy","WV",37.459251,-81.70173
"24817","Bradshaw","WV",37.358272,-81.8013
"24818","Brenton","WV",37.594959,-81.62947
"24820","Capels","WV",37.375246,-81.653889
"24821","Caretta","WV",37.345693,-81.66789
"24822","Clear Fork","WV",37.62127,-81.69408
"24823","Coal Mountain","WV",37.664172,-81.7338
"24824","Coalwood","WV",37.416947,-81.69288
"24825","Crumpler","WV",37.421641,-81.34504
"24826","Cucumber","WV",37.375246,-81.653889
"24827","Cyclone","WV",37.742953,-81.67951
"24828","Davy","WV",37.478583,-81.66169
"24829","Eckman","WV",37.40273,-81.4629
"24830","Elbert","WV",37.319439,-81.5432
"24831","Elkhorn","WV",37.385757,-81.41415
"24832","English","WV",37.375246,-81.653889
"24834","Fanrock","WV",37.603344,-81.53998
"24836","Gary","WV",37.352131,-81.54688
"24839","Hanover","WV",37.567007,-81.77969
"24841","Havaco","WV",37.405828,-81.576548
"24842","Hemphill","WV",37.444465,-81.59684
"24843","Hensley","WV",37.474577,-81.69961
"24844","Iaeger","WV",37.469496,-81.79548
"24845","Ikes Fork","WV",37.530418,-81.79553
"24846","Isaban","WV",37.530963,-81.8885
"24847","Itmann","WV",37.603344,-81.53998
"24848","Jenkinjones","WV",37.296401,-81.43135
"24849","Jesse","WV",37.666079,-81.57309
"24850","Jolo","WV",37.312239,-81.82478
"24851","Justice","WV",37.602126,-81.84968
"24852","Keystone","WV",37.417857,-81.44874
"24853","Kimball","WV",37.427781,-81.48654
"24854","Kopperston","WV",37.741813,-81.53722
"24855","Kyle","WV",37.409655,-81.42559
"24856","Leckie","WV",37.343452,-81.40244
"24857","Lynco","WV",37.683273,-81.66048
"24859","Marianna","WV",37.603344,-81.53998
"24860","Matheny","WV",37.664685,-81.5967
"24861","Maybeury","WV",37.363882,-81.36531
"24862","Mohawk","WV",37.485276,-81.93955
"24866","Newhall","WV",37.265686,-81.6155
"24867","New Richmond","WV",37.568981,-81.49308
"24868","Northfork","WV",37.418471,-81.41706
"24869","North Spring","WV",37.551372,-81.84229
"24870","Oceana","WV",37.69629,-81.60845
"24871","Pageton","WV",37.325163,-81.47554
"24872","Panther","WV",37.45926,-81.89024
"24873","Paynesville","WV",37.357831,-81.89583
"24874","Pineville","WV",37.562494,-81.51746
"24877","Powhatan","WV",37.375246,-81.653889
"24878","Premier","WV",37.375246,-81.653889
"24879","Raysal","WV",37.35294,-81.768
"24880","Rock View","WV",37.641027,-81.53625
"24881","Roderfield","WV",37.444527,-81.69146
"24882","Simon","WV",37.609388,-81.75668
"24883","Skygusty","WV",37.375246,-81.653889
"24884","Squire","WV",37.249595,-81.55208
"24887","Switchback","WV",37.371122,-81.384
"24888","Thorpe","WV",37.365675,-81.50968
"24889","Twin Branch","WV",37.375246,-81.653889
"24892","War","WV",37.309666,-81.69546
"24894","Warriormine","WV",37.291157,-81.69541
"24895","Wilcoe","WV",37.381834,-81.56342
"24896","Wolf Pen","WV",37.603344,-81.53998
"24897","Worth","WV",37.422523,-81.38363
"24898","Wyoming","WV",37.585536,-81.60347
"24899","Yukon","WV",37.375246,-81.653889
"24901","Lewisburg","WV",37.80848,-80.44493
"24902","Fairlea","WV",37.774666,-80.461492
"24910","Alderson","WV",37.731717,-80.65942
"24915","Arbovale","WV",38.462522,-79.80308
"24916","Asbury","WV",37.841919,-80.55325
"24917","Auto","WV",37.975595,-80.426874
"24918","Ballard","WV",37.515724,-80.76748
"24919","Ballengee","WV",37.620418,-80.71636
"24920","Bartow","WV",38.552106,-79.7315
"24924","Buckeye","WV",38.185341,-80.13261
"24925","Caldwell","WV",37.741887,-80.37481
"24927","Cass","WV",38.380196,-79.93278
"24931","Crawley","WV",37.901788,-80.59452
"24934","Dunmore","WV",38.325205,-79.90179
"24935","Forest Hill","WV",37.549702,-80.80017
"24936","Fort Spring","WV",37.743322,-80.52942
"24938","Frankford","WV",37.918994,-80.36331
"24941","Gap Mills","WV",37.602172,-80.3464
"24942","Glace","WV",37.552029,-80.539672
"24943","Grassy Meadows","WV",37.838288,-80.75393
"24944","Green Bank","WV",38.412244,-79.79796
"24945","Greenville","WV",37.543667,-80.69604
"24946","Hillsboro","WV",38.114627,-80.22808
"24950","Kieffer","WV",37.94046,-80.61007
"24951","Lindside","WV",37.485348,-80.64293
"24954","Marlinton","WV",38.196374,-80.05957
"24957","Maxwelton","WV",37.869998,-80.41067
"24958","Meadow Bluff","WV",37.975595,-80.426874
"24961","Neola","WV",37.975595,-80.426874
"24962","Pence Springs","WV",37.675571,-80.73336
"24963","Peterstown","WV",37.424195,-80.78465
"24966","Renick","WV",38.059474,-80.35569
"24970","Ronceverte","WV",37.742719,-80.47151
"24971","Lewisburg","WV",37.792525,-80.443556
"24974","Secondcreek","WV",37.665867,-80.44338
"24976","Sinks Grove","WV",37.667594,-80.54184
"24977","Smoot","WV",37.893306,-80.65773
"24981","Talcott","WV",37.654267,-80.72899
"24983","Union","WV",37.590774,-80.53448
"24984","Waiteville","WV",37.515131,-80.38284
"24985","Wayside","WV",37.597231,-80.74638
"24986","White Sulphur Springs","WV",37.861237,-80.24008
"24991","Williamsburg","WV",38.001124,-80.48027
"24993","Wolfcreek","WV",37.552029,-80.539672
"25002","Alloy","WV",38.129903,-81.25882
"25003","Alum Creek","WV",38.254483,-81.79045
"25004","Ameagle","WV",37.784459,-81.118491
"25005","Amma","WV",38.552755,-81.24219
"25007","Arnett","WV",37.832443,-81.42991
"25008","Artie","WV",37.933384,-81.36076
"25009","Ashford","WV",38.179811,-81.72566
"25010","Bald Knob","WV",37.842289,-81.61919
"25011","Bancroft","WV",38.508675,-81.84134
"25015","Belle","WV",38.224918,-81.5151
"25018","Bentree","WV",38.465777,-81.050662
"25019","Bickmore","WV",38.38338,-81.08555
"25021","Bim","WV",37.922612,-81.68729
"25022","Blair","WV",37.858735,-81.81253
"25024","Bloomingrose","WV",38.143324,-81.63578
"25025","Blount","WV",38.324795,-81.38164
"25026","Blue Creek","WV",38.490789,-81.392845
"25028","Bob White","WV",37.948618,-81.71199
"25030","Bomont","WV",38.453331,-81.22481
"25031","Boomer","WV",38.151116,-81.28483
"25033","Buffalo","WV",38.61324,-81.95406
"25035","Cabin Creek","WV",38.177823,-81.49148
"25036","Cannelton","WV",38.199924,-81.28865
"25039","Cedar Grove","WV",38.242575,-81.39377
"25040","Charlton Heights","WV",38.12563,-81.24499
"25043","Clay","WV",38.46791,-81.0082
"25044","Clear Creek","WV",37.90907,-81.35066
"25045","Clendenin","WV",38.464079,-81.33836
"25046","Clio","WV",38.731737,-81.314633
"25047","Clothier","WV",37.950033,-81.78924
"25048","Colcord","WV",37.949813,-81.42024
"25049","Comfort","WV",38.131663,-81.56282
"25051","Costa","WV",38.161661,-81.70438
"25053","Danville","WV",38.05738,-81.86082
"25054","Dawes","WV",38.108987,-81.46418
"25057","Deep Water","WV",38.126873,-81.25954
"25059","Dixie","WV",38.260339,-81.19697
"25060","Dorothy","WV",37.958702,-81.47577
"25061","Drybranch","WV",38.296818,-81.554655
"25062","Dry Creek","WV",37.854572,-81.453786
"25063","Duck","WV",38.583094,-80.94056
"25064","Dunbar","WV",38.367255,-81.74473
"25067","East Bank","WV",38.198471,-81.44797
"25070","Eleanor","WV",38.538953,-81.93548
"25071","Elkview","WV",38.451344,-81.46602
"25075","Eskdale","WV",38.046638,-81.4311
"25076","Ethel","WV",37.861621,-81.90361
"25079","Falling Rock","WV",38.495072,-81.398422
"25081","Foster","WV",38.092103,-81.75855
"25082","Fraziers Bottom","WV",38.621761,-82.02827
"25083","Gallagher","WV",38.077863,-81.37333
"25085","Gauley Bridge","WV",38.176834,-81.19688
"25086","Glasgow","WV",38.214254,-81.42028
"25088","Glen","WV",38.382145,-81.19842
"25090","Glen Ferris","WV",38.149058,-81.21276
"25093","Gordon","WV",37.997105,-81.71704
"25095","Grimms Landing","WV",38.752312,-81.997278
"25102","Handley","WV",38.186707,-81.3639
"25103","Hansford","WV",38.202669,-81.39427
"25106","Henderson","WV",38.805615,-82.11034
