"zip","city","state","latitude","longitude"
"82001","Cheyenne","WY",41.141281,-104.80208
"82002","Cheyenne","WY",41.327351,-104.666365
"82003","Cheyenne","WY",41.219107,-104.661244
"82005","Fe Warren AFB","WY",41.139057,-104.862947
"82006","Cheyenne","WY",41.327351,-104.666365
"82007","Cheyenne","WY",41.101731,-104.80582
"82008","Cheyenne","WY",41.327351,-104.666365
"82009","Cheyenne","WY",41.275932,-104.88279
"82010","Cheyenne","WY",41.327351,-104.666365
"82050","Albin","WY",41.425769,-104.18805
"82051","Bosler","WY",41.601379,-105.65207
"82052","Buford","WY",41.105595,-105.3549
"82053","Burns","WY",41.209041,-104.35907
"82054","Carpenter","WY",41.064212,-104.34107
"82055","Centennial","WY",41.33144,-106.17649
"82058","Garrett","WY",42.22772,-105.66184
"82059","Granite Canon","WY",41.051097,-105.19216
"82060","Hillsdale","WY",41.210012,-104.48095
"82061","Horse Creek","WY",41.422733,-105.19881
"82070","Laramie","WY",41.232815,-105.75364
"82071","Laramie","WY",41.715061,-105.797388
"82072","Laramie","WY",41.344843,-105.58626
"82073","Laramie","WY",41.307065,-105.624667
"82081","Meriden","WY",41.552531,-104.39118
"82083","Rock River","WY",41.724691,-105.99071
"82084","Tie Siding","WY",41.024827,-105.46188
"82190","Yellowstone National Park","WY",44.890668,-110.89421
"82201","Wheatland","WY",42.038694,-105.05069
"82210","Chugwater","WY",41.742212,-104.82923
"82212","Fort Laramie","WY",42.321548,-104.53453
"82213","Glendo","WY",42.489239,-104.97591
"82214","Guernsey","WY",42.27774,-104.76034
"82215","Hartville","WY",42.382338,-104.71135
"82217","Hawk Springs","WY",41.76916,-104.24488
"82218","Huntley","WY",41.865935,-104.11451
"82219","Jay Em","WY",42.507335,-104.4242
"82221","Lagrange","WY",41.646277,-104.2877
"82222","Lance Creek","WY",43.149226,-104.61635
"82223","Lingle","WY",42.121155,-104.37708
"82224","Lost Springs","WY",42.792664,-104.94156
"82225","Lusk","WY",43.034269,-104.35784
"82226","Lusk","WY",42.757317,-104.448288
"82227","Manville","WY",42.785056,-104.75034
"82229","Shawnee","WY",42.787675,-105.063337
"82240","Torrington","WY",42.119328,-104.19228
"82242","Van Tassell","WY",42.706475,-104.12045
"82243","Veteran","WY",41.979994,-104.38969
"82244","Yoder","WY",41.907756,-104.3721
"82301","Rawlins","WY",41.971581,-107.29475
"82310","Jeffrey City","WY",42.444748,-107.7646
"82321","Baggs","WY",41.347337,-107.71062
"82322","Bairoil","WY",42.180259,-107.73911
"82323","Dixon","WY",41.034747,-107.53257
"82324","Elk Mountain","WY",41.620507,-106.43594
"82325","Encampment","WY",41.159654,-106.66284
